frame1 #-0,02773133#0,9702008#3,362477#0,007838003#0,7763823#3,392225# 0,152232#0,4236072#2,781905#-0,234817#0,39175#3,335172#0,1502708#0,40193#2,92856#-0,2478967#0,4748505#3,348441#0,195203#0,5134787#3,163048#-0,2871355#0,724152#3,401555#0,1259146#0,6396316#3,311419#-0,1006829#0,7070542#3,403097#-0,00429718#0,4113302#3,386828#-0,02577699#0,3490103#3,334047#0,02070553#0,2766042#3,300844#-0,08126333#0,3069443#3,348103#0,0732866#-0,2632203#3,173755#-0,09152551#-0,2759823#3,463829#0,05500111#-0,5875421#3,034391#-0,03910823#-0,5800561#3,558541#0,0289895#-0,6268252#2,962235#-0,07053933#-0,6397868#3,586999#0  
frame2 #-0,02882903#0,9676653#3,373038#0,008128534#0,7762173#3,398309# 0,1504546#0,4233769#2,779573#-0,09696072#0,6072095#3,131934#0,151827#0,3978152#2,976072#-0,1371122#0,6402745#3,20539#0,1960564#0,5122723#3,165154#-0,2848108#0,7249463#3,410662#0,1265054#0,6380284#3,316345#-0,09961353#0,7065875#3,406178#-0,01061149#0,3411526#3,390327#-0,03403829#0,264377#3,336121#0,01162382#0,1910141#3,305284#-0,08972808#0,224164#3,349327#0,07293335#-0,2635004#3,179985#-0,09172671#-0,2761051#3,46942#0,05552426#-0,5888347#3,036785#-0,03900221#-0,5797221#3,561985#0,03014154#-0,6275828#2,965601#-0,06712974#-0,6394254#3,591237#0  
frame3 #-0,02733651#0,9695395#3,371568#0,008107289#0,7762507#3,396239# 0,1504501#0,4222058#2,789001#-0,0388709#0,5964561#3,21435#0,1531713#0,3968879#2,975381#-0,0742325#0,622411#3,289749#0,1864593#0,5191903#3,161083#-0,2805906#0,7039751#3,348823#0,1266497#0,6383711#3,314405#-0,09957374#0,7066057#3,404427#-0,002228066#0,4098992#3,38905#-0,02313025#0,3476241#3,335968#0,02362205#0,2750585#3,301075#-0,07824153#0,304505#3,351799#0,07336075#-0,263514#3,178574#-0,09110397#-0,2586705#3,463506#0,05565871#-0,5886801#3,035684#-0,03893137#-0,5802526#3,561318#0,03083834#-0,6270223#2,965077#-0,06457612#-0,6413097#3,588216#0  
frame4 #-0,02727773#0,9691159#3,369055#0,007727748#0,7760324#3,394396# 0,1504988#0,4222913#2,789962#-0,03926347#0,5935082#3,210791#0,1551757#0,3980105#2,955454#-0,07520592#0,6191527#3,285241#0,1882779#0,5217957#3,160947#-0,2764434#0,701952#3,335819#0,1266377#0,6383613#3,313385#-0,09911253#0,706977#3,402706#-0,002241578#0,4099444#3,388094#-0,02309567#0,3476032#3,334747#0,02369593#0,2750432#3,300201#-0,07795917#0,3047642#3,350221#0,07331797#-0,2635199#3,177433#-0,09116469#-0,2393778#3,45762#0,05486175#-0,5891286#3,03367#-0,03778073#-0,5805685#3,56175#0,03056397#-0,6268758#2,964118#-0,06701172#-0,6408967#3,583131#0  
frame5 #-0,0246136#0,9757531#3,36906#0,006516582#0,7782651#3,389554# 0,1480379#0,4225219#2,785045#-0,03748205#0,5971599#3,208666#0,155461#0,3987988#2,93821#-0,07373816#0,6233544#3,282588#0,1873277#0,5233204#3,159244#-0,2733469#0,6975421#3,326332#0,126718#0,6387188#3,31254#-0,09839508#0,706466#3,400628#-0,002193453#0,4107753#3,387371#-0,02304598#0,3478048#3,333954#0,02375878#0,2755196#3,29957#-0,07780936#0,3049816#3,349502#0,07271793#-0,2573053#3,177797#-0,09099566#-0,227657#3,454346#0,05461529#-0,5904132#3,032259#-0,03771466#-0,5805107#3,561336#0,03065336#-0,627703#2,96357#-0,06167658#-0,6178005#3,492647#0  
frame6 #-0,0252487#0,9755637#3,367991#0,004771535#0,7794465#3,387089# 0,1491731#0,4247905#2,778712#-0,0786786#0,6233538#3,087494#0,1534041#0,3994597#2,937601#-0,1186185#0,6594695#3,155847#0,1878788#0,5258257#3,153028#-0,2729288#0,7532673#3,338421#0,1259168#0,6386085#3,309742#-0,09923212#0,7071431#3,398391#-0,002286298#0,4107756#3,386181#-0,02313163#0,347398#3,332786#0,02378528#0,2752591#3,299119#-0,07773753#0,3048553#3,347569#0,0741485#-0,2637298#3,175076#-0,09169191#-0,2492241#3,458867#0,05634304#-0,5888866#3,032079#-0,03653576#-0,5793048#3,560728#0,03221196#-0,6261302#2,963565#-0,06126386#-0,6339412#3,595625#0  
frame7 #-0,02598954#0,9749589#3,36513#0,003705409#0,7810682#3,383691# 0,1468807#0,4241925#2,777736#-0,1023192#0,6168407#3,083691#0,1534677#0,4033022#2,94021#-0,1352834#0,653384#3,155959#0,1859813#0,5259874#3,144267#-0,2765675#0,7566636#3,345937#0,1252531#0,6391945#3,302339#-0,1010155#0,7096528#3,398891#-0,001174821#0,4114656#3,384415#-0,02328498#0,347602#3,331752#0,023797#0,2752264#3,29883#-0,07809175#0,3056261#3,345529#0,07556917#-0,2637757#3,174179#-0,09146997#-0,262973#3,461391#0,05658831#-0,5902687#3,032084#-0,03660559#-0,5778142#3,558589#0,0303604#-0,6274947#2,964334#-0,06283349#-0,6150402#3,490838#0  
frame8 #-0,03039624#0,9739411#3,362515#0,0003477426#0,7823169#3,374729# 0,138965#0,4223229#2,763246#-0,07486668#0,6448824#3,178137#0,1575574#0,4103316#2,941698#-0,05755465#0,6677395#3,261011#0,1892501#0,5217252#3,137307#-0,2776634#0,75837#3,348343#0,122351#0,6370664#3,291426#-0,1015139#0,7104194#3,399543#-0,003971571#0,3866837#3,37386#-0,02882246#0,3113781#3,32165#0,01832778#0,2357439#3,293636#-0,08214651#0,2747113#3,336076#0,07987998#-0,2601299#3,174742#-0,09166991#-0,2783567#3,462554#0,06078536#-0,5861405#3,038826#-0,03706132#-0,5776938#3,558026#0,0342931#-0,6559365#2,974658#-0,0680669#-0,6166974#3,48842#0  
frame9 #-0,03281494#0,9729759#3,359124#-0,002455997#0,781554#3,372498# 0,1329639#0,4230336#2,777999#-0,1738886#0,5524212#3,141565#0,157997#0,415997#2,941392#-0,2237515#0,5514005#3,21394#0,1835432#0,5259871#3,128111#-0,2795203#0,7580786#3,356388#0,1191613#0,639636#3,285784#-0,1023433#0,7098925#3,402369#-0,00213779#0,3846337#3,372994#-0,02845829#0,3103402#3,321945#0,01873882#0,2352432#3,293026#-0,08087116#0,2709273#3,337632#0,08210979#-0,2624024#3,173632#-0,09663637#-0,2745628#3,450945#0,06151246#-0,5864632#3,038065#-0,04587644#-0,5775356#3,543813#0,03490299#-0,6550087#2,975518#-0,08148542#-0,6378641#3,530271#0  
frame10 #-0,04045258#0,9658974#3,364973#-0,001507075#0,7780842#3,37081# 0,1315526#0,4236594#2,778209#-0,2990099#0,5490155#3,236614#0,1525832#0,4143045#2,938728#-0,2383563#0,5683205#3,253193#0,1728856#0,5230296#3,12372#-0,2879516#0,7626294#3,417095#0,117307#0,6390821#3,284156#-0,1095329#0,714135#3,436331#0,002664175#0,3870544#3,373837#-0,02878654#0,3163705#3,328693#0,01555291#0,2578072#3,301502#-0,08083929#0,2665225#3,347324#0,08296075#-0,2630007#3,173287#-0,09935425#-0,2778461#3,445446#0,06338874#-0,5865225#3,037996#-0,04558959#-0,5892152#3,534439#0,0354405#-0,6564658#2,974808#-0,07107668#-0,655148#3,513241#0  
frame11 #-0,04428455#0,9671808#3,366711#-0,001829368#0,7785485#3,373895# 0,1223306#0,4260115#2,777893#-0,2485486#0,5150461#3,262748#0,1538334#0,4304697#2,948507#-0,2205683#0,5242254#3,346967#0,2021748#0,520748#3,144784#-0,2892857#0,7584537#3,420578#0,1113729#0,6391284#3,283056#-0,1093054#0,7140591#3,437203#0,0006357972#0,3738048#3,382381#-0,0322127#0,2977644#3,338031#0,008736587#0,2456035#3,321422#-0,08041978#0,2462237#3,345799#0,08370811#-0,2639774#3,172688#-0,1016648#-0,2808873#3,435797#0,06425619#-0,5866925#3,038141#-0,04525051#-0,602658#3,522967#0,03558717#-0,6571745#2,974527#-0,08172087#-0,665225#3,51161#0  
