frame1 #-0,141103#0,9558074#3,2377#-0,118155#0,7678524#3,277776# 0,00439763#0,41597#2,719001#-0,2862002#0,4147317#2,683601#0,0232016#0,4111341#2,811582#-0,3151173#0,4266137#2,7628#0,07893559#0,4826236#3,020083#-0,3306119#0,4619901#3,064447#0,0284668#0,6384027#3,186478#-0,2828881#0,6255025#3,222634#-0,1239148#0,3793707#3,268584#-0,1326701#0,3134624#3,20852#-0,06479377#0,2473895#3,191872#-0,2049595#0,2410882#3,200212#-0,06979556#-0,2648618#3,124781#-0,222874#-0,2833987#3,324999#-0,07358623#-0,6029825#2,966416#-0,0813635#-0,6178575#2,967506#-0,1116329#-0,6627576#2,904613#-0,1246659#-0,6827904#2,875334#0  
frame2 #-0,1435246#0,958633#3,234573#-0,1188067#0,7685758#3,279534# 0,004131864#0,4161208#2,71781#-0,2774819#0,4112665#2,680553#0,01922418#0,4129775#2,80912#-0,3015385#0,4138599#2,757445#0,08275704#0,4785465#3,021179#-0,329643#0,4584426#3,061665#0,02812126#0,6386297#3,186533#-0,2844782#0,6250421#3,222632#-0,1242347#0,379472#3,269157#-0,1329251#0,3136209#3,208868#-0,06488848#0,2475006#3,192007#-0,2052924#0,241073#3,20044#-0,06972406#-0,2644977#3,124146#-0,2227137#-0,2827663#3,324301#-0,07340581#-0,6031854#2,966664#-0,08122744#-0,6176391#2,966796#-0,1119208#-0,6630341#2,903748#-0,1240599#-0,6839362#2,871973#0  
frame3 #-0,1462758#0,9611654#3,236987#-0,1198695#0,7687657#3,280409# 0,00328977#0,4176746#2,713681#-0,2790319#0,4118541#2,681781#0,02111325#0,4128886#2,805177#-0,3089237#0,4243278#2,746582#0,07786872#0,4765779#3,022197#-0,3315808#0,4592132#3,055488#0,02763128#0,6404974#3,188098#-0,2864378#0,6241546#3,221933#-0,1246322#0,379263#3,269805#-0,132892#0,3133499#3,209351#-0,06446697#0,2471651#3,192688#-0,2054226#0,2401651#3,200654#-0,0683938#-0,2648211#3,120526#-0,2218031#-0,2804269#3,322349#-0,07483642#-0,6043527#2,966846#-0,085217#-0,6149118#2,963384#-0,1125498#-0,6638857#2,902954#-0,1253433#-0,6861985#2,874513#0  
frame4 #-0,1461485#0,9608967#3,236965#-0,1209017#0,7684959#3,281993# 0,003283196#0,4176647#2,713776#-0,2751196#0,4102009#2,679221#-0,000481613#0,4454478#2,830526#-0,3092123#0,4238971#2,747225#0,09491424#0,4669011#3,042162#-0,3276466#0,4567894#3,057056#0,02761186#0,640351#3,188121#-0,2872701#0,6243978#3,222243#-0,1246726#0,3788315#3,270278#-0,1328721#0,3130467#3,209679#-0,06414561#0,2465005#3,192769#-0,2054576#0,2398078#3,200998#-0,06838641#-0,2647595#3,120634#-0,2207296#-0,2795528#3,320514#-0,07491849#-0,6048158#2,967125#-0,1027591#-0,6187283#2,958294#-0,1125875#-0,6642732#2,903305#-0,123978#-0,6848029#2,876249#0  
frame5 #-0,1477615#0,9618406#3,236537#-0,1213601#0,7684759#3,282029# 0,00359311#0,4175189#2,71108#-0,2732964#0,4094114#2,678152#0,02407394#0,3978246#2,799665#-0,3091304#0,4234924#2,742164#0,07279392#0,483164#3,011733#-0,3315469#0,4611857#3,051975#0,02744488#0,6403562#3,188224#-0,2883963#0,6244569#3,222424#-0,1248046#0,3790855#3,270444#-0,1329411#0,3133525#3,2098#-0,06405698#0,2467067#3,192864#-0,2055445#0,2399519#3,200987#-0,06812823#-0,2647566#3,120907#-0,2207465#-0,2794795#3,320604#-0,07447#-0,60457#2,9671#-0,0823999#-0,6140732#2,961864#-0,1127358#-0,664498#2,903612#-0,1292681#-0,6860811#2,883842#0  
frame6 #-0,1442708#0,9629812#3,239124#-0,1210118#0,768898#3,280718# -0,009996491#0,4149858#2,656141#-0,2705493#0,407766#2,673027#0,01956078#0,4050879#2,804081#-0,310446#0,4247604#2,743471#0,08073195#0,4798071#3,017469#-0,328418#0,4588938#3,05461#0,02749488#0,6404186#3,188201#-0,288027#0,6256107#3,222521#-0,1245108#0,3793425#3,270257#-0,1326144#0,3134527#3,20962#-0,0636839#0,2467232#3,192703#-0,2051546#0,2401848#3,200863#-0,06986363#-0,2655406#3,124766#-0,2209017#-0,279881#3,321159#-0,07517922#-0,6036115#2,966603#-0,07932584#-0,6127879#2,96231#-0,1131712#-0,6649074#2,902886#-0,1252348#-0,685896#2,875162#0  
frame7 #-0,1450661#0,9595225#3,238284#-0,1210352#0,769081#3,280616# -0,0124313#0,4150161#2,67084#-0,2670103#0,402307#2,666593#0,0227581#0,4018039#2,796204#-0,2828205#0,3889345#2,748126#0,06878592#0,4812326#3,012089#-0,3261298#0,4626368#3,049612#0,02725324#0,6409423#3,18801#-0,2886703#0,626281#3,222275#-0,1244521#0,3792184#3,270371#-0,132494#0,3131679#3,209652#-0,06347064#0,2465913#3,192531#-0,2049206#0,2388972#3,20105#-0,06954012#-0,2661081#3,125659#-0,2213634#-0,2793573#3,323163#-0,07479219#-0,6043873#2,965954#-0,1065431#-0,614493#2,954808#-0,1134976#-0,6651338#2,902843#-0,1174951#-0,6630164#2,861438#0  
frame8 #-0,1455999#0,9590123#3,238577#-0,1209137#0,7696916#3,280804# -0,01365178#0,4137922#2,671763#-0,02146337#0,4479252#2,877335#0,01956829#0,3983349#2,798273#-0,03947985#0,4307396#2,955215#0,07181224#0,4845295#3,00999#-0,3259165#0,4670385#3,050006#0,02542623#0,6421119#3,186989#-0,287501#0,6284722#3,225133#-0,1237951#0,3792308#3,270367#-0,1325005#0,3131691#3,209693#-0,0639051#0,24708#3,192506#-0,2047611#0,2390466#3,201193#-0,07510456#-0,2699325#3,136659#-0,2225377#-0,2781377#3,323789#-0,07465246#-0,6043398#2,965576#-0,1123086#-0,6101547#2,949594#-0,1134295#-0,6652463#2,902534#-0,1243619#-0,6581002#2,857487#0  
frame9 #-0,1459323#0,9584596#3,23975#-0,1209642#0,7693925#3,280769# -0,01813052#0,4112749#2,688264#0,04368486#0,4110102#2,914133#0,01710336#0,3934796#2,799025#-0,04607347#0,4168337#2,956454#0,06661098#0,4867578#3,006993#-0,3153484#0,4343041#3,097907#0,02460011#0,6419351#3,186235#-0,2892178#0,6276061#3,229001#-0,1229005#0,3789445#3,270513#-0,132307#0,3128071#3,20995#-0,06382553#0,2469892#3,192513#-0,2040793#0,2379556#3,202242#-0,07285704#-0,2694241#3,131958#-0,2235086#-0,277041#3,323519#-0,07467795#-0,5995916#2,967602#-0,1827436#-0,6024841#3,435801#-0,1132109#-0,6653404#2,903152#-0,1701174#-0,6201509#3,317317#0  
frame10 #-0,1497431#0,9583806#3,244004#-0,1208929#0,7693349#3,281047# -0,02229924#0,411494#2,682797#-0,265632#0,3982381#2,700977#0,01096937#0,4006614#2,81157#-0,0901961#0,4105414#2,994748#0,06479521#0,4916379#3,011374#-0,2925983#0,4208722#3,21475#0,02096454#0,6411688#3,185547#-0,2909668#0,6336696#3,258189#-0,1186701#0,3787821#3,271035#-0,1328501#0,3123695#3,211558#-0,06487467#0,2471696#3,1926#-0,2041067#0,2370279#3,20874#-0,07164329#-0,2684327#3,132106#-0,2263296#-0,2754031#3,320063#-0,07466229#-0,5995973#2,967636#-0,1860406#-0,594602#3,432725#-0,1131889#-0,6656575#2,903486#-0,1733066#-0,6153727#3,314692#0  
frame11 #-0,1529499#0,9559171#3,251173#-0,1214979#0,7652528#3,285493# -0,03167543#0,4147564#2,665669#-0,270776#0,4088787#2,742158#0,01243596#0,3755237#2,790817#-0,2798171#0,4137235#2,931296#0,0484402#0,4910108#2,978275#-0,2929356#0,4147011#3,231047#0,01704795#0,6392873#3,186791#-0,2985874#0,6251344#3,274534#-0,1187267#0,3745485#3,277325#-0,1356377#0,3077819#3,218761#-0,06745863#0,244757#3,195165#-0,2075562#0,2293141#3,221039#-0,06726939#-0,2634628#3,127737#-0,22903#-0,2759327#3,317563#-0,07400994#-0,5996382#2,968053#-0,187555#-0,5900701#3,429216#-0,1136506#-0,6662495#2,903089#-0,1745113#-0,6113973#3,311429#0  
frame12 #-0,1573021#0,9504825#3,257257#-0,1205206#0,7637359#3,292474# -0,03744246#0,4149357#2,663039#-0,2764964#0,4161747#2,766658#0,01872407#0,3904604#2,802635#-0,3044782#0,4281422#2,977138#0,04397014#0,4879409#2,999003#-0,2981983#0,4169168#3,272588#0,01035533#0,6358337#3,187745#-0,3014614#0,6246435#3,307111#-0,1157496#0,3702138#3,285573#-0,1379398#0,3021997#3,229027#-0,07127778#0,2400587#3,200689#-0,2090571#0,2241237#3,235672#-0,07388224#-0,2668162#3,146686#-0,2339306#-0,2753653#3,315912#-0,07400803#-0,5996569#2,967734#-0,192428#-0,5873002#3,422383#-0,1132898#-0,666239#2,903631#-0,1790753#-0,6099008#3,3047#0  
frame13 #-0,1603952#0,9502061#3,265169#-0,1223079#0,7614875#3,304221# -0,06743414#0,4161412#2,620881#-0,2856026#0,4378361#2,818477#-0,008559607#0,4184922#2,832874#-0,3416553#0,4273776#3,003974#0,04895225#0,4882124#3,030872#-0,3056903#0,4222918#3,292806#0,002366507#0,6348405#3,199685#-0,3003204#0,6266692#3,325433#-0,1167326#0,3662391#3,297671#-0,140238#0,2978186#3,241533#-0,0751822#0,2364071#3,210917#-0,2099211#0,2209862#3,249322#-0,07309023#-0,26607#3,146673#-0,2363228#-0,2753081#3,315335#-0,07379907#-0,599452#2,967828#-0,1966637#-0,5863829#3,415818#-0,1132548#-0,6661669#2,903735#-0,182139#-0,6095672#3,298365#0  
frame14 #-0,1760273#0,9303916#3,329516#-0,1298531#0,7467791#3,361113# -0,0758094#0,4399461#2,695521#-0,2770169#0,4846805#2,947864#-0,03702471#0,4186559#2,814559#-0,340324#0,5205516#2,975162#0,02367244#0,4727083#3,017872#-0,4203325#0,4467224#3,223929#-0,02155577#0,6371784#3,256886#-0,305109#0,6214398#3,431711#-0,1174371#0,3492451#3,362168#-0,1486516#0,2786553#3,311479#-0,08439957#0,2210239#3,278506#-0,2181632#0,2019943#3,325382#-0,06860906#-0,2592675#3,147951#-0,2431498#-0,2774411#3,321572#-0,07248908#-0,5955237#2,973094#-0,1984734#-0,5869641#3,409133#-0,1085587#-0,6601619#2,897186#-0,2404132#-0,6663247#3,392225#0  
frame15 #-0,1759785#0,9283421#3,337927#-0,1289289#0,7452292#3,381374# -0,07906324#0,4522834#2,696424#-0,3095777#0,5438158#2,993894#-0,02574037#0,4406977#2,88084#-0,3496802#0,5292537#3,036332#0,03156677#0,5269597#3,071337#-0,4267132#0,4571273#3,24641#-0,02347157#0,6386524#3,261699#-0,3034211#0,6198018#3,437063#-0,1173558#0,3478339#3,372161#-0,149135#0,2784779#3,32066#-0,08570975#0,2207508#3,282465#-0,2174398#0,2020197#3,339635#-0,06762148#-0,2582297#3,150593#-0,2488274#-0,2799717#3,332963#-0,07029637#-0,5941491#2,975343#-0,1977794#-0,5899191#3,40997#-0,100919#-0,6557753#2,893019#-0,2395143#-0,6678524#3,409889#0  
frame16 #-0,1753613#0,931632#3,351922#-0,1270203#0,7494615#3,395977# -0,09149592#0,461019#2,695971#-0,303488#0,5951414#3,015367#-0,03121151#0,45044#2,872847#-0,3525907#0,5689908#3,068722#0,03339918#0,5122122#3,070489#-0,4444306#0,4930261#3,327057#-0,02118062#0,6450491#3,284358#-0,3085361#0,6269228#3,482908#-0,1185364#0,3588694#3,393941#-0,153708#0,2905548#3,345279#-0,08959344#0,2254202#3,295845#-0,2255465#0,2122813#3,372007#-0,06764188#-0,2578553#3,150729#-0,2506874#-0,2777451#3,348119#-0,06846406#-0,5925306#2,99175#-0,2003681#-0,5948386#3,416665#-0,096167#-0,6576899#2,895758#-0,2417786#-0,6723114#3,409188#0  
frame17 #-0,1731293#0,9395714#3,362386#-0,1245553#0,7574341#3,413638# -0,09753802#0,4695177#2,702844#-0,3706062#0,6276512#3,098131#-0,02826671#0,4729835#2,9098#-0,4051299#0,5687993#3,1766#0,03138828#0,5534822#3,103159#-0,4518345#0,5084196#3,421613#-0,01991248#0,6529008#3,299368#-0,3172845#0,6410713#3,520425#-0,122099#0,3744753#3,415633#-0,1602048#0,3079426#3,368806#-0,09737471#0,2412021#3,323111#-0,234603#0,2260508#3,39286#-0,06768367#-0,2552677#3,154163#-0,2546983#-0,2678552#3,378348#-0,04968339#-0,5792535#3,059705#-0,1881585#-0,5911009#3,370954#-0,05447098#-0,652181#2,978471#-0,2340429#-0,6625749#3,409065#0  
frame18 #-0,1735657#0,9392145#3,367242#-0,1257796#0,7587992#3,419875# -0,1033075#0,4809551#2,719684#-0,3868122#0,652495#3,168732#-0,03630341#0,4780253#2,895051#-0,40489#0,6246506#3,249695#0,03888166#0,5038749#3,093922#-0,4729618#0,5315101#3,497534#-0,01911956#0,6661755#3,309917#-0,3159898#0,6560416#3,539083#-0,1279766#0,3840868#3,429487#-0,167715#0,3191105#3,385504#-0,1057062#0,2493199#3,33854#-0,2445155#0,2402796#3,415676#-0,07389434#-0,2573926#3,173981#-0,254647#-0,2629822#3,38852#-0,0237981#-0,5910383#3,102403#-0,189153#-0,5944787#3,404124#-0,03278453#-0,6578404#3,033024#-0,2478095#-0,6413559#3,332367#0  
frame19 #-0,168996#0,9384499#3,374537#-0,1236539#0,7625352#3,430439# -0,1011567#0,4836978#2,723143#-0,4005304#0,6831167#3,23126#-0,03122719#0,4909992#2,918854#-0,4307575#0,6559226#3,265285#0,04104402#0,5600822#3,146168#-0,4878024#0,5822285#3,531617#-0,02294953#0,6752331#3,323005#-0,3095355#0,6695864#3,560187#-0,1288313#0,3960999#3,445081#-0,1697188#0,3319874#3,404149#-0,1105041#0,2617066#3,355173#-0,2451621#0,2547879#3,439159#-0,07991931#-0,2533427#3,189885#-0,2539372#-0,2588563#3,40259#-0,01205994#-0,5841708#3,166057#-0,1690366#-0,6149364#3,44117#-0,02125538#-0,6512901#3,109252#-0,2186261#-0,6767681#3,402003#0  
frame20 #-0,1656429#0,9536066#3,386966#-0,1236887#0,7785419#3,44446# -0,0962011#0,4910851#2,729573#-0,4029624#0,7154408#3,272652#-0,02708761#0,5025256#2,933551#-0,434418#0,6902691#3,324218#0,04900036#0,5373367#3,200355#-0,4902291#0,6041203#3,583919#-0,0213099#0,6851847#3,337361#-0,3062711#0,6913474#3,576258#-0,1333986#0,4228505#3,468327#-0,1732755#0,359207#3,431549#-0,1173267#0,2957019#3,395461#-0,2468265#0,2786683#3,45901#-0,08586603#-0,2236604#3,236064#-0,2524273#-0,2550443#3,412104#-0,007775702#-0,5611622#3,259379#-0,1663278#-0,6107121#3,441461#-0,00136901#-0,6425499#3,225214#-0,2192025#-0,6761683#3,414038#0  
frame21 #-0,1665737#0,9548243#3,388934#-0,123716#0,781275#3,448534# -0,08403942#0,5071031#2,749784#-0,4055602#0,7513627#3,328288#-0,01404159#0,5177591#2,969284#-0,4510528#0,7365642#3,440359#0,06474517#0,5475611#3,232514#-0,4759487#0,636485#3,619266#-0,0228079#0,6977852#3,34718#-0,3038482#0,7018232#3,585498#-0,1346385#0,425903#3,472845#-0,1730531#0,3615538#3,438629#-0,1169474#0,2957597#3,397387#-0,2468693#0,283938#3,475153#-0,08474755#-0,2277196#3,248468#-0,2484737#-0,2522979#3,41882#-0,01179909#-0,5690678#3,365421#-0,1620454#-0,6059105#3,445712#0,01657578#-0,6406547#3,310645#-0,2133476#-0,669082#3,413146#0  
frame22 #-0,1579465#0,9536853#3,401692#-0,1245997#0,7869023#3,45674# -0,06656388#0,512815#2,773412#-0,4252349#0,8119308#3,452653#-0,0620975#0,489832#2,952691#-0,4274557#0,8007014#3,479495#-0,04190836#0,6319892#3,119602#-0,4468431#0,7026733#3,728064#-0,02594963#0,7091268#3,362425#-0,3012369#0,720437#3,604604#-0,135035#0,4344289#3,482819#-0,1696117#0,3689157#3,454419#-0,1139083#0,3034245#3,421822#-0,2400106#0,2970751#3,485485#-0,07172835#-0,224113#3,341734#-0,2213005#-0,2366548#3,423318#-0,0423284#-0,582547#3,499387#-0,1585188#-0,5935405#3,445236#0,001961298#-0,6496066#3,465832#-0,2137377#-0,6593609#3,430986#0  
frame23 #-0,1593278#0,955972#3,413707#-0,1274046#0,7875425#3,469299# -0,04321665#0,5203242#2,819892#-0,4230728#0,8249478#3,495373#-0,05315054#0,4876467#2,95979#-0,4243376#0,8536679#3,594368#-0,03270167#0,6319187#3,130855#-0,447689#0,7088498#3,735958#-0,02512549#0,712324#3,372577#-0,2983668#0,7332329#3,613197#-0,1349644#0,4368255#3,490566#-0,1673923#0,3713577#3,463135#-0,1121885#0,30718#3,431518#-0,2364844#0,2987489#3,490356#-0,05319992#-0,2159156#3,394945#-0,2133022#-0,2368884#3,427485#-0,1037359#-0,585081#3,514086#-0,1745211#-0,5839219#3,441779#-0,1653821#-0,6318526#3,446659#-0,2046593#-0,6655778#3,435858#0  
