frame1 #-0,1629073#0,9354599#3,271186#-0,14378#0,7340097#3,295071# -0,04879522#0,381698#2,742572#-0,3643471#0,08142302#3,274729#-0,0341885#0,3561885#2,863705#-0,3516544#0,1472822#3,263681#0,03989409#0,4377266#3,0775#-0,3135765#0,3448599#3,244377#-0,01498348#0,5982466#3,217837#-0,2909678#0,6193364#3,288023#-0,1648144#0,3563405#3,296821#-0,1832359#0,2910348#3,241586#-0,1266493#0,2244295#3,224003#-0,2508422#0,2339199#3,240366#-0,09841911#-0,2490891#3,029477#-0,2632896#-0,2919241#3,401058#-0,09386061#-0,6448441#2,888339#-0,1123466#-0,5893531#2,92751#-0,1284909#-0,6718126#2,829529#-0,08772761#-0,6800882#2,895597#0  
frame2 #-0,171168#0,9082938#3,264199#-0,148348#0,7292775#3,297258# -0,04879635#0,3821002#2,741946#-0,3646913#0,07684461#3,275401#-0,03522262#0,358472#2,871548#-0,3523214#0,1424203#3,26452#0,03609383#0,4404303#3,074166#-0,3152114#0,3391474#3,245883#-0,01416137#0,5982797#3,218715#-0,2908235#0,6123765#3,281348#-0,1672543#0,3518098#3,2983#-0,1840926#0,2864165#3,242635#-0,1266804#0,2212609#3,22538#-0,2519816#0,2261182#3,240418#-0,09841295#-0,2509508#3,029534#-0,2633174#-0,2911554#3,401977#-0,09443475#-0,6076496#2,900022#-0,1967986#-0,5870896#3,544681#-0,1231578#-0,6686303#2,838875#-0,1869454#-0,6014968#3,442681#0  
frame3 #-0,1658727#0,9216478#3,269733#-0,1477869#0,730853#3,297297# -0,06066768#0,3888415#2,661853#-0,3656431#0,07096428#3,273759#-0,04378908#0,3975823#2,826725#-0,3533595#0,1373429#3,263328#-0,002839398#0,4812705#3,023173#-0,3165084#0,3364788#3,245968#-0,01390151#0,5982937#3,218378#-0,2908248#0,6124247#3,281005#-0,1666934#0,3524287#3,29784#-0,183474#0,2870008#3,242047#-0,1259311#0,2217391#3,224813#-0,2512535#0,2269822#3,239676#-0,09881127#-0,2510415#3,028215#-0,2630711#-0,2910073#3,402586#-0,0944837#-0,6075892#2,900018#-0,1978195#-0,5595523#3,545339#-0,1237198#-0,669507#2,838834#-0,1804593#-0,5787493#3,443192#0  
frame4 #-0,1657494#0,9218973#3,268929#-0,147301#0,729588#3,295663# -0,06033324#0,3892457#2,661721#-0,3659117#0,06910916#3,273471#-0,04347787#0,3997345#2,822986#-0,3535036#0,1356928#3,262465#-0,002818874#0,4811394#3,021447#-0,316279#0,3354437#3,243253#-0,01305905#0,5982528#3,217538#-0,2909113#0,6126327#3,279881#-0,1655395#0,3554605#3,297003#-0,1816882#0,2920926#3,241419#-0,123862#0,2257988#3,224089#-0,2498507#0,232037#3,2393#-0,0990643#-0,2519413#3,026338#-0,263351#-0,2898412#3,402475#-0,09548503#-0,6099319#2,897964#-0,2035356#-0,5507368#3,537932#-0,1242859#-0,6709269#2,837356#-0,1927992#-0,5709282#3,434113#0  
frame5 #-0,1672519#0,921152#3,2669#-0,1472767#0,729058#3,295357# -0,05380351#0,3853253#2,717918#-0,3657687#0,06735311#3,271631#-0,03491946#0,3646785#2,870598#-0,3535448#0,1342807#3,261569#0,03123666#0,4405031#3,064531#-0,3168732#0,3350635#3,245198#-0,01260872#0,598013#3,217492#-0,2910095#0,6129113#3,279603#-0,1649025#0,3550185#3,296719#-0,1807459#0,2913971#3,241079#-0,1223206#0,2246257#3,223902#-0,2488496#0,2315152#3,23874#-0,1000206#-0,254158#3,022887#-0,2633685#-0,2897353#3,402971#-0,09573528#-0,6102709#2,898727#-0,2059947#-0,5437844#3,536623#-0,1243227#-0,6719572#2,836955#-0,1945505#-0,564898#3,432487#0  
frame6 #-0,1657843#0,9225995#3,265955#-0,1465813#0,7272919#3,293411# -0,05356643#0,3854554#2,718147#-0,3665477#0,06686489#3,272164#-0,03820315#0,3590325#2,859955#-0,3540757#0,1339144#3,261891#0,02047423#0,4417166#3,054066#-0,3166599#0,3350629#3,244822#-0,01196041#0,5962255#3,21479#-0,2909371#0,6137239#3,278789#-0,1649008#0,3562792#3,29566#-0,1812673#0,2933694#3,240072#-0,1229257#0,2258368#3,223383#-0,2498115#0,2352477#3,237#-0,1015458#-0,2528977#3,019758#-0,2634499#-0,2891984#3,40269#-0,09508028#-0,6096444#2,900601#-0,2082923#-0,5392359#3,534719#-0,1245543#-0,6719726#2,836979#-0,1884437#-0,561065#3,431639#0  
frame7 #-0,1657382#0,9226391#3,265498#-0,1469253#0,72611#3,290016# -0,05921083#0,3915835#2,692107#-0,3698745#0,06526519#3,264879#-0,04543675#0,3908246#2,812947#-0,356345#0,1325586#3,256338#-0,01387508#0,4784827#3,012064#-0,3157564#0,334439#3,244415#-0,01144546#0,5949156#3,211187#-0,2913877#0,6140556#3,277571#-0,1638235#0,3578715#3,293701#-0,1803277#0,2951007#3,238372#-0,1217783#0,2271343#3,221646#-0,2488872#0,2368263#3,23573#-0,1039277#-0,254343#3,01684#-0,2638454#-0,2874365#3,401077#-0,09506706#-0,6096474#2,900451#-0,2065631#-0,5455372#3,5104#-0,120474#-0,6703342#2,84514#-0,1923437#-0,5663832#3,405946#0  
frame8 #-0,1655864#0,9242958#3,261749#-0,1483816#0,7248783#3,280045# -0,06071732#0,3936693#2,68697#-0,3662727#0,0656547#3,266418#-0,04784831#0,393873#2,809402#-0,353288#0,1328315#3,257#-0,009000646#0,4789967#3,007921#-0,3143339#0,3343619#3,242402#-0,009983361#0,595336#3,206171#-0,2897382#0,6135659#3,264555#-0,1647223#0,3606566#3,288656#-0,1797738#0,2974063#3,233782#-0,1210783#0,2297482#3,217397#-0,2480949#0,2386282#3,231898#-0,1042722#-0,2606452#3,00512#-0,2640213#-0,2871062#3,400833#-0,0944869#-0,6097261#2,900949#-0,2077369#-0,5418211#3,509299#-0,1248635#-0,6744676#2,842957#-0,1936115#-0,5631361#3,404866#0  
frame9 #-0,1713745#0,9224998#3,244237#-0,1482944#0,7237196#3,270865# -0,06173643#0,3951745#2,686542#-0,3550162#0,06505769#3,252541#-0,05024359#0,3880738#2,798594#-0,3446642#0,1328418#3,245963#-0,008477769#0,4755906#2,994682#-0,3136082#0,3361943#3,239826#-0,009442921#0,5943833#3,190469#-0,2902874#0,6148046#3,264562#-0,162152#0,3650461#3,279902#-0,1797222#0,3029296#3,225899#-0,120895#0,2339985#3,209804#-0,2482446#0,2445536#3,224512#-0,107594#-0,2597413#2,9989#-0,2652875#-0,2843933#3,398524#-0,0941083#-0,609611#2,900677#-0,2047084#-0,5318075#3,50813#-0,1242217#-0,6731315#2,844433#-0,1911301#-0,5544729#3,403826#0  
frame10 #-0,167699#0,9311512#3,24415#-0,1488029#0,7291057#3,261436# -0,06875207#0,3983169#2,68233#-0,3423037#0,06337924#3,22597#-0,05045907#0,3691429#2,825514#-0,3351236#0,1318625#3,225958#0,01617398#0,4506065#3,016859#-0,3135833#0,3373121#3,239514#-0,01244345#0,5974836#3,185947#-0,2908784#0,615841#3,261955#-0,1623465#0,3657208#3,276062#-0,1804667#0,30211#3,222904#-0,1221635#0,2349303#3,206652#-0,2484498#0,2430089#3,222573#-0,1077029#-0,257338#2,990447#-0,2654527#-0,2833476#3,395039#-0,0945174#-0,607863#2,897921#-0,210047#-0,5312358#3,49911#-0,1255233#-0,6736023#2,839854#-0,1882733#-0,5562184#3,396658#0  
frame11 #-0,1681895#0,931141#3,240217#-0,1527162#0,73177#3,251446# -0,08124735#0,3944019#2,718164#-0,09939183#0,4060943#2,59893#-0,05530427#0,3679742#2,818666#-0,2258118#0,361848#2,95991#0,02052724#0,4542477#3,003959#-0,3135044#0,3385036#3,237854#-0,01527704#0,5990826#3,173499#-0,2923477#0,6171265#3,257019#-0,1609443#0,3668468#3,269389#-0,1797864#0,3019351#3,217859#-0,1206493#0,2364604#3,200919#-0,2475109#0,2416257#3,219201#-0,1072292#-0,2577703#2,985165#-0,266822#-0,2764214#3,382627#-0,0942058#-0,6069802#2,898645#-0,2134853#-0,5209396#3,488816#-0,1221451#-0,6708018#2,842659#-0,1908538#-0,5481361#3,385673#0  
