frame1 #0,09136496#0,9214807#3,566449#0,14001#0,7552482#3,651928# -0,0168722#0,5898609#3,533998#-0,08383581#0,1572751#3,596319#0,0570053#0,5788018#3,547338#-0,06982268#0,2167592#3,588637#0,2565669#0,4339922#3,520826#-0,02778331#0,3952112#3,580352#0,2471722#0,6392282#3,567055#0,02689763#0,6164331#3,591161#0,1119997#0,3387565#3,654639#0,09830636#0,265633#3,594477#0,1436602#0,2213594#3,581832#0,04453666#0,2111017#3,59255#0,1760641#-0,2507927#3,389507#0,03469028#-0,2754139#3,727054#0,1735286#-0,5989542#3,241262#0,1385777#-0,5429294#3,291169#0,1440523#-0,6443517#3,166472#0,1265369#-0,5926679#3,195366#0  
frame2 #0,09020066#0,9226691#3,553782#0,1394089#0,7538356#3,64336# 0,1591205#0,6757975#3,493448#-0,07810009#0,659381#3,557871#0,164145#0,6048193#3,511392#-0,06004082#0,5872178#3,562794#0,382212#0,5540452#3,477047#-0,02247789#0,4224125#3,582624#0,2469863#0,6386541#3,559085#0,02124813#0,6466774#3,595093#0,1123981#0,3390922#3,644731#0,09700447#0,2663587#3,584913#0,1423015#0,2200292#3,57174#0,0415436#0,2150193#3,584159#0,1747738#-0,2499628#3,386802#0,03529996#-0,2755895#3,719025#0,1753497#-0,5548635#3,253183#0,09828144#-0,561261#3,839127#0,1515082#-0,6339511#3,180383#0,06149931#-0,6283244#3,882005#0  
frame3 #0,08938155#0,9119709#3,537604#0,139572#0,7500176#3,639109# 0,1789925#0,66783#3,466027#0,07777452#0,6460142#3,559877#0,1849856#0,610481#3,499958#0,02174376#0,6521252#3,557096#0,4047402#0,5703087#3,461823#-0,1463485#0,6704585#3,561178#0,2562473#0,6196849#3,550803#0,02128595#0,6479591#3,592854#0,1117162#0,3390343#3,640395#0,09580287#0,2664733#3,581357#0,1406245#0,213901#3,5691#0,03825204#0,217191#3,580368#0,1748604#-0,2495503#3,383944#0,03584581#-0,2755169#3,715654#0,1751451#-0,5555297#3,250971#0,0975841#-0,5610633#3,834202#0,1607118#-0,6022328#3,161448#0,06185304#-0,6269225#3,877823#0  
frame4 #0,08910032#0,9123716#3,534592#0,1397483#0,7487044#3,635514# 0,1688623#0,6557072#3,463219#-0,009819858#0,6158206#3,506557#0,1758361#0,6006139#3,49615#-0,07248708#0,6205407#3,491762#0,3924274#0,5506085#3,452922#-0,1196088#0,7117857#3,638412#0,2567193#0,6207839#3,549528#0,02346465#0,6504677#3,595474#0,1123021#0,338926#3,637343#0,09567164#0,266201#3,579269#0,140747#0,2120542#3,567606#0,03822451#0,2172038#3,578145#0,1750988#-0,2496801#3,381934#0,03637971#-0,2760824#3,714234#0,175406#-0,5573048#3,249153#0,09540452#-0,5614598#3,836179#0,1596312#-0,6033843#3,161108#0,07962966#-0,6075392#3,748134#0  
frame5 #0,08576221#0,8627698#3,506443#0,1407518#0,7369788#3,629173# 0,144177#0,662985#3,44743#0,03334888#0,584756#3,488428#0,1524084#0,6089647#3,478142#-0,01015496#0,6114522#3,511065#0,3532625#0,5305994#3,420022#-0,1406665#0,6915411#3,590694#0,2598037#0,6212437#3,548422#0,02074855#0,6505373#3,595723#0,1116682#0,3386757#3,635147#0,09486777#0,2660381#3,578264#0,1409837#0,2095366#3,56626#0,03471158#0,2161414#3,578833#0,1749867#-0,2496248#3,382434#0,0370701#-0,2753024#3,711721#0,1752918#-0,5580728#3,24845#0,09255226#-0,5755892#3,848947#0,1596741#-0,6031141#3,162537#0,07693458#-0,6206305#3,763034#0  
frame6 #0,08121248#0,8871364#3,499605#0,1408117#0,7367878#3,630754# 0,1318303#0,6463522#3,457565#0,04676727#0,6723334#3,542433#0,1442054#0,5956218#3,492458#0,01050793#0,6215793#3,535121#0,3567656#0,5328507#3,444258#-0,1438707#0,6856992#3,577084#0,2510252#0,6308129#3,557953#0,02198314#0,6495944#3,59675#0,1108883#0,3389347#3,636979#0,09539212#0,26637#3,580795#0,1415113#0,2113387#3,568784#0,03783505#0,2177325#3,580344#0,1748796#-0,2495022#3,384912#0,0372327#-0,2757958#3,714018#0,1751727#-0,558229#3,249765#0,09429225#-0,5714693#3,848093#0,1616731#-0,6027051#3,164661#0,08079268#-0,6159454#3,762988#0  
frame7 #0,0819343#0,8864083#3,501157#0,1373873#0,7315183#3,626217# 0,1375919#0,6473897#3,457072#0,07047664#0,5934948#3,528316#0,1417152#0,5958869#3,492775#0,01880613#0,6161248#3,536831#0,3564381#0,5335119#3,445104#-0,1362054#0,6840149#3,574849#0,2500031#0,6322894#3,56017#0,02946048#0,641894#3,590923#0,1103191#0,3379847#3,636496#0,09633629#0,2655938#3,581306#0,1418938#0,2119544#3,56995#0,04152123#0,2167528#3,579818#0,1757975#-0,2506197#3,38074#0,03761203#-0,2750174#3,71486#0,1747902#-0,5588002#3,250814#0,09473362#-0,5703801#3,848484#0,1634521#-0,603057#3,166069#0,06564916#-0,6323185#3,893367#0  
frame8 #0,08131342#0,88115#3,499834#0,1354457#0,7295669#3,623797# 0,1311942#0,6481698#3,45901#0,08215501#0,6034988#3,528487#0,1489993#0,5992614#3,493961#0,0292581#0,6233045#3,537989#0,366329#0,5419288#3,447266#-0,1294326#0,6827219#3,579182#0,2494771#0,6323103#3,559934#0,03513536#0,6382899#3,582431#0,1086327#0,3363169#3,636767#0,09660626#0,2638954#3,582315#0,141832#0,2118414#3,571303#0,04273252#0,2156947#3,580942#0,174408#-0,250387#3,389263#0,03768406#-0,275033#3,715882#0,1748408#-0,5590774#3,251377#0,09523734#-0,5680582#3,846416#0,1663579#-0,6032041#3,166781#0,06328167#-0,6319667#3,885453#0  
frame9 #0,07124012#0,8896424#3,493941#0,1315115#0,7263313#3,61374# 0,09032379#0,642983#3,451028#0,07442281#0,7005902#3,458963#0,1153625#0,5957297#3,484037#0,02343595#0,6961882#3,485534#0,3243179#0,5262743#3,417548#-0,1295246#0,6829821#3,578072#0,2513047#0,6313291#3,559163#0,03651541#0,6386967#3,583374#0,1071849#0,3360364#3,636434#0,09514354#0,2627548#3,583639#0,1398763#0,2107108#3,573603#0,04177978#0,2152019#3,582587#0,1742582#-0,2500906#3,390713#0,03765382#-0,2747483#3,716406#0,1747752#-0,5595677#3,251264#0,0975036#-0,5638695#3,851576#0,1656643#-0,6038134#3,16723#0,06320313#-0,6299189#3,883784#0  
frame10 #0,07122897#0,8903427#3,496197#0,1294437#0,725346#3,612057# 0,09129469#0,6344289#3,46951#0,05202792#0,5440279#3,525816#0,1395626#0,5988194#3,48848#0,006508499#0,5789171#3,533911#0,3556494#0,5373791#3,432164#-0,1300498#0,683585#3,571151#0,2503012#0,6313643#3,558898#0,03720353#0,638312#3,583551#0,1061934#0,3350529#3,636372#0,0943234#0,2613995#3,585304#0,1384401#0,2105871#3,575878#0,04190283#0,2140894#3,584742#0,1742577#-0,2501824#3,391717#0,03835679#-0,2750785#3,717669#0,1749418#-0,5596595#3,251654#0,09453414#-0,5739419#3,858461#0,165503#-0,6042072#3,167333#0,0541706#-0,633738#3,911066#0  
frame11 #0,0753427#0,8890022#3,484297#0,1317022#0,7240803#3,602192# 0,0877891#0,628875#3,476044#0,03590647#0,5226275#3,522245#0,1419766#0,5990713#3,488011#-0,00446409#0,5634452#3,531518#0,358388#0,5374675#3,429755#-0,1255758#0,6858984#3,572383#0,2499214#0,6304107#3,55553#0,04003933#0,6339811#3,5803#0,1058473#0,3334634#3,633091#0,09391253#0,2589377#3,585092#0,1380064#0,2103424#3,57634#0,04213309#0,2108016#3,585307#0,1757796#-0,2510199#3,38612#0,03844573#-0,2750816#3,71854#0,1746037#-0,559075#3,25248#0,09441072#-0,5790321#3,848368#0,1649364#-0,6034423#3,169331#0,04626923#-0,6416078#3,864229#0  
