frame1 #-0,1192088#0,9726432#3,149547#-0,07162139#0,7515999#3,197505# 0,05714685#0,3422322#2,971963#-0,2452853#0,1681593#3,164178#0,06427813#0,4110508#2,977413#-0,2367161#0,2365852#3,156365#0,08567195#0,6175067#3,00781#-0,2110085#0,4418626#3,146972#0,01093883#0,6707738#3,158912#-0,206669#0,6499296#3,18074#-0,06388668#0,3560966#3,188955#-0,06949668#0,2877534#3,129603#-0,02031304#0,2440039#3,120396#-0,1182365#0,234624#3,121694#-0,003046472#-0,2891628#2,949121#-0,1473279#-0,2881256#3,284233#0,01203545#-0,666468#2,860703#-0,01110528#-0,6200162#2,883745#-0,0223853#-0,6948173#2,808474#-0,01945506#-0,6571348#2,812469#0  
frame2 #-0,1055571#0,9217378#3,16884#-0,07174657#0,7517158#3,196666# -0,1992196#0,6484511#3,115184#-0,2476257#0,1429087#3,165429#-0,1113952#0,6359509#3,079769#-0,2392225#0,2149988#3,157696#0,08480567#0,6081277#3,000605#-0,2140128#0,4312693#3,148489#0,01150166#0,6708269#3,158026#-0,2065769#0,6500565#3,180786#-0,06420778#0,3566858#3,188715#-0,07019208#0,2884454#3,129563#-0,02094755#0,2445346#3,120604#-0,1191321#0,235262#3,121565#-0,003245594#-0,2888272#2,949083#-0,1474227#-0,2852089#3,283679#0,01080043#-0,6277664#2,866737#-0,01687646#-0,5818455#2,922869#-0,01949069#-0,6916783#2,811774#-0,02635083#-0,6225917#2,84467#0  
frame3 #-0,1059011#0,9345707#3,163517#-0,07171644#0,7516122#3,196811# -0,1751133#0,6488727#3,104002#-0,250194#0,1282427#3,168992#-0,109598#0,639255#3,074906#-0,2408118#0,1993956#3,160017#0,08694779#0,6104021#3,001612#-0,2126653#0,4128541#3,147083#0,01148892#0,6709833#3,156976#-0,1997054#0,6294478#3,173532#-0,06592833#0,3565916#3,189636#-0,0719959#0,2882593#3,130679#-0,02461242#0,2467347#3,122416#-0,1208546#0,2336215#3,122912#-0,003462032#-0,2884815#2,949057#-0,1476766#-0,2840337#3,283503#0,011253#-0,6419895#2,864235#-0,01302573#-0,5942966#2,908514#-0,01951421#-0,6912228#2,812214#-0,02180001#-0,6350257#2,830273#0  
frame4 #-0,1029687#0,9213843#3,16795#-0,07290644#0,7505008#3,196398# -0,1739799#0,6486578#3,104971#0,1023788#0,6689603#3,031495#-0,1095587#0,6388879#3,076161#-0,04645635#0,5416023#3,082995#0,08370461#0,6095784#3,003623#-0,2120528#0,4160011#3,146708#0,01200907#0,6719896#3,157069#-0,1994042#0,6293539#3,173242#-0,06773433#0,3593571#3,190248#-0,07398158#0,292519#3,131751#-0,02705876#0,2538301#3,123912#-0,1219768#0,2357017#3,123458#-0,003960833#-0,2882904#2,948464#-0,1477009#-0,2848698#3,284454#0,01145511#-0,6482175#2,862843#-0,01089272#-0,5999794#2,902519#-0,01855828#-0,6907914#2,809752#-0,01945185#-0,6401877#2,825274#0  
frame5 #-0,1010592#0,9285923#3,166596#-0,0728807#0,7504675#3,1965# -0,2495491#0,6471759#3,141832#0,05678178#0,3925246#3,087514#-0,19385#0,5979381#3,122793#-0,004389435#0,3985465#3,047117#-0,02675288#0,4502245#3,079593#-0,2142978#0,4110669#3,154758#0,01220138#0,6715334#3,156985#-0,2006387#0,6408429#3,177676#-0,06785975#0,358869#3,190595#-0,07488959#0,2916025#3,132287#-0,02823615#0,2509012#3,123765#-0,1232588#0,2356469#3,124781#-0,004088016#-0,2882212#2,948656#-0,1471438#-0,285691#3,284896#0,01160023#-0,6516197#2,862355#-0,009358242#-0,6033429#2,898893#-0,01932605#-0,6915661#2,808377#-0,01871634#-0,6433129#2,822211#0  
frame6 #-0,09997274#0,9254962#3,164495#-0,07225934#0,7520455#3,195396# -0,1783793#0,6483096#3,107939#0,05170932#0,3983085#3,087084#-0,1100426#0,6374106#3,077355#-0,005152702#0,397464#3,046376#0,09496754#0,6047136#2,999107#-0,2138585#0,4170501#3,146914#0,01238037#0,6719701#3,155229#-0,2019453#0,6436834#3,176898#-0,06712304#0,3613346#3,18922#-0,07410419#0,2939644#3,130843#-0,02698662#0,2524337#3,122293#-0,1227226#0,2385706#3,123128#-0,004478635#-0,2881342#2,946578#-0,1470886#-0,285602#3,28311#0,01083294#-0,6370739#2,863154#-0,02902699#-0,5943529#2,910241#-0,01697953#-0,6873606#2,813074#-0,0384353#-0,6339284#2,834333#0  
frame7 #-0,09831157#0,9320641#3,165714#-0,07148219#0,7530741#3,193909# -0,1762693#0,6473643#3,108256#0,04655836#0,4007935#3,08817#-0,1089208#0,6360008#3,077678#-0,006305158#0,3976249#3,046291#0,09312474#0,6019105#2,999116#-0,2125598#0,4167211#3,146029#0,01270325#0,670925#3,152656#-0,2007262#0,6408753#3,175673#-0,06628551#0,3621061#3,187129#-0,07363553#0,2945769#3,128923#-0,02639209#0,2534288#3,1204#-0,1220846#0,2393222#3,121205#-0,007186038#-0,271283#2,946145#-0,1470134#-0,2878727#3,282582#0,01017385#-0,6238133#2,86418#-0,02515814#-0,5829654#2,921324#-0,01615491#-0,6864061#2,811822#-0,03538326#-0,623205#2,844225#0  
frame8 #-0,09862125#0,9308406#3,163178#-0,07124632#0,7532718#3,192545# -0,1752204#0,6465046#3,10829#0,04468512#0,3988362#3,086358#-0,1086323#0,6347114#3,077979#-0,006991267#0,3963124#3,045957#0,09113205#0,5993321#2,999928#-0,2118327#0,4063951#3,144655#0,01242491#0,6701591#3,150876#-0,1980358#0,6282683#3,172789#-0,06623023#0,3623922#3,185351#-0,0739071#0,2947618#3,127467#-0,02727177#0,2547825#3,119411#-0,1221907#0,2392741#3,119642#-0,007381991#-0,2743297#2,94298#-0,1470011#-0,2878852#3,281221#0,01013182#-0,6238322#2,863145#-0,02738468#-0,5739358#2,930201#-0,01603134#-0,6863423#2,810941#-0,03821096#-0,6145867#2,852383#0  
frame9 #-0,09966847#0,929768#3,159408#-0,07199794#0,7514936#3,19109# -0,1773286#0,6454463#3,108462#0,03953262#0,4005554#3,08875#-0,1109511#0,6329818#3,078252#-0,01029602#0,3982934#3,047726#0,08818135#0,5955881#3,000301#-0,2131707#0,4204319#3,147681#0,01249174#0,6703361#3,150081#-0,2051471#0,6420482#3,18192#-0,0653027#0,362573#3,183829#-0,07439727#0,2949692#3,126569#-0,02739381#0,2544816#3,118564#-0,1231792#0,2396769#3,11867#-0,007067363#-0,2760323#2,941278#-0,1474555#-0,2857428#3,279974#0,0101292#-0,6239692#2,86208#-0,03058173#-0,5667194#2,937316#-0,01591692#-0,6862621#2,810398#-0,04379027#-0,6072889#2,860022#0  
frame10 #-0,09930897#0,9288444#3,157844#-0,07174862#0,7509822#3,189287# -0,1914551#0,64349#3,113783#0,04059697#0,3997644#3,087633#-0,1265534#0,6265498#3,082151#-0,008032709#0,3969909#3,046159#0,06815168#0,5757291#2,999789#-0,2125315#0,410401#3,145281#0,01491535#0,6703888#3,147863#-0,200463#0,6325201#3,17375#-0,06721573#0,3591547#3,182719#-0,07565527#0,2900209#3,126002#-0,02869953#0,2444662#3,11654#-0,1246157#0,2359385#3,119448#-0,007100815#-0,2765502#2,940118#-0,1476218#-0,2846857#3,278617#0,01015709#-0,6239957#2,861464#-0,03275247#-0,5616909#2,942139#-0,01516616#-0,6856603#2,809432#-0,0443931#-0,6020787#2,864987#0  
frame11 #-0,09787135#0,9293143#3,158677#-0,07096084#0,751352#3,189683# -0,2458406#0,6463406#3,155421#0,0521492#0,3990193#3,084263#-0,1908508#0,5962252#3,132367#0,002883077#0,3958392#3,041682#-0,02588144#0,445879#3,075897#-0,2125443#0,4045993#3,144463#0,01586892#0,6708127#3,148388#-0,2017706#0,6379193#3,176286#-0,06722556#0,3596605#3,183139#-0,07594427#0,2906792#3,126789#-0,02865655#0,2448047#3,117311#-0,1255932#0,2368973#3,120234#-0,009043572#-0,2683047#2,938295#-0,1475974#-0,2846876#3,27932#0,009780039#-0,6229652#2,86094#-0,02944239#-0,5690032#2,93409#-0,01437742#-0,6843938#2,80796#-0,04133629#-0,6092035#2,857342#0  
