frame1 #0,005349009#0,4464343#3,390595#0,003156732#0,254146#3,481866# 0,2444446#-0,248756#3,538266#-0,01187438#0,04233182#3,30321#0,251677#-0,1749915#3,567995#-0,06246692#0,0428666#3,334299#0,2733741#0,04630187#3,668443#-0,1535413#0,03219171#3,56689#0,1866108#0,2284343#3,561335#-0,1254978#0,1981984#3,41855#0,0254915#0,001623884#3,623168#0,02995845#-0,04888053#3,654182#0,1058549#-0,1062064#3,706394#-0,03459397#-0,1198126#3,670137#0,1982501#-0,3927675#3,60686#-0,09825855#-0,294176#3,392177#0,07550766#-0,5804733#3,74969#-0,1129078#-0,579424#3,39869#0,1155702#-0,6315064#3,701247#-0,0832353#-0,6509892#3,35535#1  
frame2 #0,004962793#0,4955254#3,413418#0,01992317#0,3152342#3,497997# 0,2545497#-0,1444062#3,52203#0,1358684#0,1199218#2,981934#0,2624153#-0,1277957#3,568532#-0,05766337#0,08439656#3,342165#0,2869786#0,09517355#3,642395#-0,1479505#0,06763926#3,567582#0,187755#0,279118#3,562245#-0,1242636#0,2480622#3,444803#0,02428913#0,05602732#3,632425#0,02516232#0,004185937#3,66211#0,09664069#-0,06447417#3,745337#-0,04304952#-0,08168744#3,654557#0,1975441#-0,3419544#3,613137#-0,09874828#-0,294922#3,39294#0,07778739#-0,579857#3,749963#-0,1136668#-0,579105#3,399505#0,09739281#-0,6409464#3,728366#-0,08340553#-0,6512492#3,357201#1  
frame3 #0,003884048#0,5575305#3,443643#0,01247537#0,3683572#3,520739# 0,313431#-0,1224815#3,499925#0,1202371#0,1659594#3,013259#0,3073738#-0,05689648#3,529598#0,009006068#0,1474465#3,243307#0,2892022#0,1398587#3,630092#-0,0932887#0,1283247#3,467635#0,1784015#0,330459#3,56583#-0,1378621#0,2969263#3,474187#0,01870163#0,0991156#3,644753#0,02009839#0,04402091#3,672144#0,09230402#-0,01423286#3,730087#-0,05001459#-0,02932258#3,677543#0,1896948#-0,3289739#3,616878#-0,09878193#-0,2862761#3,396745#0,07797523#-0,5804196#3,752357#-0,1136059#-0,5790915#3,399459#0,09693375#-0,6399177#3,729771#-0,08352904#-0,6513355#3,35738#1  
frame4 #0,003221798#0,5967548#3,462743#0,01119341#0,4193112#3,531221# 0,3167025#-0,07138698#3,444201#0,1099166#0,2048872#3,038838#0,3138472#-0,02724964#3,489415#-0,006218508#0,1992917#3,269999#0,2997932#0,1753173#3,610573#-0,09551639#0,1680711#3,494631#0,1778457#0,364042#3,570575#-0,1334295#0,3657672#3,508915#0,01802766#0,1586999#3,649723#0,01939451#0,1065777#3,676224#0,09138907#0,03213466#3,751796#-0,04863127#0,02967886#3,66528#0,1767697#-0,3140753#3,624007#-0,09845974#-0,2750512#3,403627#0,1145403#-0,54999#3,722206#-0,1146218#-0,5774382#3,400577#0,1269498#-0,6020599#3,661779#-0,08365479#-0,6512433#3,357626#1  
frame5 #0,01697685#0,6586915#3,467877#0,01240714#0,4827606#3,546086# 0,3235801#-0,04817143#3,391385#0,08896233#0,2598129#3,097028#0,3215089#0,006427333#3,442836#0,0463958#0,2803243#3,136394#0,2909639#0,2071455#3,577349#-0,03644122#0,347975#3,341502#0,1768477#0,4141592#3,578774#-0,1292691#0,4132355#3,536638#0,02098195#0,1796816#3,65982#0,02220694#0,1203403#3,684744#0,09440175#0,05555886#3,740031#-0,04273602#0,06112486#3,694162#0,1696695#-0,2987326#3,629083#-0,09736478#-0,2566741#3,419504#0,09433301#-0,5750958#3,769752#-0,1183654#-0,5702385#3,401722#0,1028389#-0,6427859#3,76456#-0,08576621#-0,6465004#3,36061#1  
frame6 #0,02124503#0,7032375#3,495888#0,01388502#0,5273575#3,564325# 0,3269738#-0,01046324#3,361074#0,04433544#0,307944#3,137905#0,3190273#0,05159611#3,407248#-0,03148429#0,3213109#3,224212#0,2765418#0,2507702#3,533452#-0,2391347#0,3302571#3,365327#0,1761641#0,4510049#3,584011#-0,1355813#0,4624673#3,562812#0,02453689#0,2330976#3,674265#0,02666133#0,1740669#3,699034#0,09919181#0,1057825#3,733202#-0,04104444#0,1082902#3,711304#0,1614256#-0,2775147#3,636961#-0,09602693#-0,2333225#3,442253#0,1109978#-0,5414029#3,728923#-0,1188985#-0,569829#3,402496#0,1149618#-0,5926014#3,663834#-0,08625057#-0,6485142#3,359681#1  
frame7 #0,03197509#0,7601018#3,522709#0,02644252#0,5824757#3,596558# 0,3158229#0,05946856#3,330615#-0,002660643#0,3634683#3,24929#0,3050871#0,1180479#3,390316#-0,06019112#0,3441774#3,263538#0,2678412#0,3061143#3,526171#-0,2533831#0,3843475#3,421147#0,1838988#0,5059417#3,599437#-0,1350996#0,4960423#3,573305#0,0266934#0,2617873#3,690166#0,0271651#0,1968606#3,711506#0,09925966#0,126908#3,744466#-0,04289211#0,1238821#3,718563#0,1480437#-0,2534938#3,652714#-0,09743942#-0,2357472#3,453184#0,11057#-0,5452429#3,733687#-0,1211855#-0,56839#3,40696#0,117212#-0,5946671#3,665289#-0,08807091#-0,6468292#3,359772#1  
frame8 #0,04831717#0,8129047#3,550837#0,04922382#0,6235892#3,616735# 0,3024813#0,1018905#3,300998#-0,005376138#0,4088224#3,288077#0,2916607#0,1582996#3,367708#-0,06481032#0,3979805#3,312235#0,2599534#0,3436439#3,515273#-0,2737905#0,4215348#3,454673#0,1983599#0,5280604#3,612961#-0,1211736#0,5456615#3,62249#0,03471829#0,3112108#3,700736#0,03181719#0,2487351#3,72044#0,1013926#0,1751892#3,734244#-0,04434799#0,1803575#3,741396#0,1384656#-0,2427846#3,665669#-0,09153372#-0,2053576#3,491317#0,08833141#-0,5607806#3,781409#-0,1208898#-0,5681942#3,411778#0,1088935#-0,6360482#3,743399#-0,09066352#-0,644818#3,357178#1  
frame9 #0,03920473#0,8427573#3,569414#0,0456094#0,6540689#3,644892# 0,2793771#0,162993#3,286367#-0,06737043#0,4503114#3,375864#0,2791646#0,2191135#3,356122#-0,127816#0,4392849#3,400433#0,2536362#0,4160635#3,513174#-0,2812504#0,4801398#3,531219#0,1950345#0,5843731#3,622309#-0,1316139#0,5973368#3,650901#0,03370733#0,331479#3,706929#0,03115023#0,2678408#3,723716#0,1013871#0,1914004#3,726601#-0,0451303#0,1975213#3,750394#0,1349375#-0,2391306#3,672127#-0,09250741#-0,2127519#3,520722#0,08803154#-0,5598257#3,782342#-0,1203375#-0,5665658#3,41705#0,1090521#-0,6361007#3,744372#-0,09275226#-0,6411324#3,355712#1  
frame10 #0,06440529#0,9065293#3,609#0,07297645#0,7303052#3,6639# 0,2047507#0,2246452#3,190127#-0,1035663#0,5207036#3,499503#0,2301578#0,3292841#3,333063#-0,1176219#0,5367072#3,513439#0,2610519#0,4533514#3,531704#-0,2859379#0,543606#3,645804#0,2058094#0,6044067#3,628011#-0,1100374#0,6556869#3,706569#0,04255761#0,3822953#3,720378#0,03773654#0,3136791#3,734477#0,1051539#0,2286935#3,735092#-0,03762489#0,2552985#3,758141#0,120947#-0,2263792#3,7101#-0,08682147#-0,1979429#3,581258#0,09125031#-0,5617074#3,783061#-0,1354081#-0,5267559#3,490006#0,1046453#-0,6358807#3,747692#-0,1132657#-0,5809002#3,404358#1  
frame11 #0,07362945#0,9462463#3,652398#0,07153106#0,7407599#3,665821# 0,2402515#0,3628201#3,354338#-0,1194525#0,5509548#3,539577#0,2456898#0,4000619#3,410416#-0,1284122#0,5513305#3,542946#0,2836208#0,505432#3,55502#-0,2663136#0,5853844#3,687733#0,2101142#0,6463211#3,648388#-0,1063794#0,6641417#3,714729#0,0429305#0,3977956#3,724185#0,037825#0,3292505#3,738708#0,1040554#0,2504736#3,740018#-0,03814537#0,2676883#3,760352#0,1155105#-0,2213863#3,720244#-0,0873819#-0,1951177#3,587037#0,09094688#-0,5614816#3,783382#-0,1329103#-0,5271288#3,493676#0,103301#-0,6349657#3,749769#-0,1131645#-0,5843025#3,406998#1  
