frame1 #0,09309946#0,319389#3,560006#0,1156283#0,1087506#3,648865# 0,2103728#-0,08896403#3,490619#-0,06457374#-0,5027999#3,426707#0,1571133#-0,130619#3,549754#-0,05475613#-0,431832#3,428883#0,277616#-0,158334#3,783918#-0,02530328#-0,2189286#3,446347#0,2537057#0,08117928#3,72064#-0,03181706#0,01558121#3,568225#0,1376055#-0,1558335#3,702113#0,142001#-0,2087504#3,715436#0,212898#-0,2741034#3,777582#0,08441275#-0,3036225#3,681365#0,2982199#-0,425825#3,572975#-0,0960454#-0,4254364#3,362371#0,1185685#-0,5856289#3,812973#-0,135051#-0,6636636#3,373248#0,1044646#-0,6638152#3,788984#-0,04907656#-0,6465132#3,443401#1  
frame2 #0,09595937#0,3106515#3,56418#0,1129996#0,1057075#3,649597# 0,1929279#-0,08029307#3,496579#-0,05892478#-0,5303671#3,422603#0,1431728#-0,1082403#3,564318#-0,05070477#-0,4516877#3,426033#0,2765312#-0,1586841#3,782775#-0,02604476#-0,2156497#3,447446#0,251806#0,07736276#3,721017#-0,03139237#0,01536523#3,568878#0,1365688#-0,1611406#3,704316#0,1413348#-0,2147512#3,718073#0,2118524#-0,2808732#3,781119#0,08495266#-0,3070787#3,683438#0,3374646#-0,4878385#3,487596#-0,09564262#-0,4220223#3,368118#0,1698911#-0,6358492#3,708477#-0,1326949#-0,660824#3,379348#0,2119509#-0,6853519#3,637418#-0,04636233#-0,6451662#3,446873#1  
frame3 #0,09754384#0,3096415#3,569927#0,1124696#0,105309#3,651088# 0,1686721#-0,06647684#3,509166#0,1650235#-0,03740115#3,226884#0,1240873#-0,08402368#3,582756#0,1173728#-0,09095527#3,277604#0,275569#-0,1570998#3,778112#-0,0290949#-0,2135159#3,449212#0,2506434#0,07853997#3,721891#-0,03130287#0,01551635#3,569878#0,1366372#-0,1619639#3,705622#0,1415102#-0,2156146#3,719323#0,2118651#-0,2808713#3,78111#0,08561271#-0,3080249#3,686055#0,3363365#-0,4857562#3,489775#-0,09837664#-0,4232866#3,376852#0,1742891#-0,6391399#3,71393#-0,1259757#-0,6631227#3,399376#0,2161255#-0,6881367#3,643506#-0,03935809#-0,6493142#3,465371#1  
frame4 #0,09539862#0,3104483#3,569289#0,1114018#0,1058995#3,651049# 0,2322978#0,04327295#3,126163#0,112971#-0,04042399#3,281145#0,2644566#-0,1002924#3,524291#0,05748647#-0,0794334#3,336392#0,2769975#-0,1551184#3,777429#-0,02931446#-0,2099198#3,443271#0,252252#0,08117032#3,726237#-0,03028287#0,01510117#3,570474#0,1361255#-0,1620492#3,705229#0,1410271#-0,2157776#3,718848#0,2106701#-0,2795756#3,777891#0,0850988#-0,3081368#3,686177#0,3001366#-0,4245504#3,572489#-0,1105873#-0,4204056#3,385167#0,126579#-0,5918397#3,808237#-0,1071194#-0,655153#3,431816#0,09560532#-0,6660477#3,816366#-0,01262693#-0,6433893#3,478853#1  
frame5 #0,09622249#0,304778#3,574033#0,1090543#0,1040304#3,652017# 0,232391#0,04214836#3,125936#0,116239#-0,04978868#3,277177#0,2232949#-0,03960238#3,414276#0,06290548#-0,09069213#3,332233#0,2710359#-0,1016056#3,659431#-0,02981302#-0,2082725#3,447514#0,2648803#0,07694616#3,740911#-0,02948805#0,01613605#3,57201#0,1348076#-0,1623994#3,704698#0,1397577#-0,2159227#3,71806#0,2104187#-0,2805592#3,777278#0,08250299#-0,3087052#3,684588#0,3391048#-0,4848827#3,492673#-0,1126141#-0,40483#3,38057#0,1715439#-0,6386167#3,713099#-0,1102606#-0,6417954#3,423068#0,2146846#-0,686621#3,644156#-0,01585428#-0,6431961#3,476737#1  
frame6 #0,09792024#0,3044278#3,573241#0,1092791#0,1043141#3,65215# 0,2334047#0,04176814#3,126849#0,1237802#-0,05331101#3,279333#0,2220188#-0,03936962#3,41188#0,07202691#-0,09440071#3,33511#0,2686645#-0,1011926#3,656066#-0,02909443#-0,2069388#3,446559#0,2575386#0,07801194#3,733465#-0,02890208#0,01556892#3,572367#0,1347861#-0,162414#3,704601#0,1396991#-0,2159706#3,717913#0,2101249#-0,2805427#3,777199#0,08256975#-0,3088691#3,684189#0,3004861#-0,4235727#3,574728#-0,1067784#-0,4118069#3,38085#0,1228052#-0,5982217#3,814035#-0,1104461#-0,6526005#3,409891#0,1461131#-0,6645215#3,776031#-0,02198561#-0,6441286#3,471431#1  
frame7 #0,09741341#0,3031655#3,572912#0,1089281#0,1037653#3,65354# 0,2336277#0,04044816#3,128555#0,1240584#-0,05251933#3,277355#0,2225461#-0,03792029#3,417973#0,07293035#-0,09317788#3,333588#0,2682292#-0,09563115#3,662549#-0,02911742#-0,2045814#3,444283#0,2610356#0,07689463#3,738429#-0,0286177#0,01545974#3,573371#0,1346295#-0,1626311#3,704868#0,1395958#-0,2161125#3,718024#0,2103414#-0,2806404#3,776474#0,081983#-0,3087763#3,685802#0,3005608#-0,423694#3,574471#-0,1014786#-0,3996205#3,376243#0,124689#-0,5978847#3,812535#-0,1103926#-0,6420636#3,400571#0,1346417#-0,6665046#3,773368#-0,0236592#-0,6431128#3,464481#1  
frame8 #0,09762118#0,3031399#3,573094#0,1089272#0,1037009#3,654124# 0,2353049#0,03921282#3,132519#0,1244791#-0,05609852#3,273696#0,2234272#-0,03989142#3,4201#0,07335658#-0,09794922#3,328742#0,2699533#-0,09750415#3,663963#-0,02887435#-0,2040887#3,444149#0,2614498#0,07616305#3,741367#-0,02829006#0,01515693#3,573621#0,1345474#-0,1635023#3,705404#0,1395148#-0,2172032#3,718519#0,2105499#-0,2826933#3,777668#0,08193555#-0,3104464#3,68572#0,3010691#-0,4236397#3,574907#-0,1010555#-0,3991239#3,376212#0,1224499#-0,5957024#3,813797#-0,1142599#-0,6425035#3,396153#0,146121#-0,6712934#3,819977#-0,02794319#-0,6421343#3,460216#1  
frame9 #0,09857917#0,3073965#3,578087#0,1089664#0,1037426#3,654109# 0,2359069#0,03868343#3,133397#0,1233444#-0,05405639#3,273881#0,2263268#-0,04089064#3,420375#0,07200971#-0,09538287#3,328962#0,2698559#-0,09783991#3,664666#-0,02741059#-0,204167#3,443976#0,2613743#0,07590874#3,741442#-0,02799381#0,01440493#3,574134#0,1345473#-0,1636121#3,705441#0,1395103#-0,2173569#3,718569#0,2105635#-0,2827142#3,777595#0,0819378#-0,3105367#3,685975#0,3011568#-0,42355#3,574772#-0,1067033#-0,411208#3,38443#0,122676#-0,595683#3,813959#-0,1086845#-0,6527907#3,414375#0,0992129#-0,6712647#3,819791#-0,0170144#-0,6421684#3,468673#1  
frame10 #0,1019421#0,2935416#3,576691#0,1078229#0,1013646#3,655735# 0,235966#0,0385333#3,133713#0,1235107#-0,05485587#3,274687#0,2196904#-0,04432563#3,41764#0,07221669#-0,09611231#3,32956#0,2676798#-0,0974506#3,661405#-0,0279259#-0,2049313#3,443154#0,2550271#0,07907023#3,733923#-0,02792121#0,01276019#3,573891#0,132599#-0,1663945#3,705683#0,1374221#-0,2201651#3,718477#0,2075818#-0,2859114#3,777614#0,08048751#-0,3130698#3,684871#0,3409405#-0,4799827#3,494373#-0,1044677#-0,4063561#3,379497#0,1711713#-0,6306467#3,71931#-0,110608#-0,649166#3,406679#0,2134458#-0,6777675#3,650977#-0,02018997#-0,6422212#3,463701#1  
frame11 #0,1023489#0,2939216#3,575521#0,1082465#0,1028991#3,655104# 0,2308409#0,0341786#3,134321#0,1268395#-0,05578335#3,274148#0,2160479#-0,04381651#3,414099#0,0762536#-0,09711698#3,329033#0,2602876#-0,09749739#3,657308#-0,02706642#-0,2022428#3,441887#0,2553648#0,07897511#3,731136#-0,02833483#0,01302421#3,574916#0,1330679#-0,165135#3,705642#0,1379449#-0,2188588#3,71853#0,2093881#-0,2835416#3,776067#0,08045337#-0,3079855#3,687938#0,3392136#-0,4825832#3,496876#-0,1015112#-0,4088171#3,385182#0,1700822#-0,6381036#3,719049#-0,1047583#-0,6516593#3,411815#0,2113751#-0,6851605#3,650628#-0,01696205#-0,6406067#3,465846#1  
frame12 #0,1065834#0,2995294#3,573682#0,1074868#0,1040907#3,650193# 0,2275037#0,03206053#3,131714#0,1258169#-0,06335856#3,276374#0,2155828#-0,04250456#3,41162#0,07597359#-0,1049535#3,331357#0,2571459#-0,09593304#3,6546#-0,02756373#-0,2046625#3,448387#0,2608421#0,07588781#3,729586#-0,02833545#0,01305669#3,574842#0,1331496#-0,1637037#3,704465#0,1381497#-0,2172518#3,717685#0,2110723#-0,2805644#3,773723#0,08012542#-0,3064401#3,688693#0,2939625#-0,4180151#3,587248#-0,09416246#-0,4112791#3,383995#0,1142535#-0,5868961#3,822979#-0,09993628#-0,6506931#3,422233#0,1136452#-0,6614206#3,847956#-0,01776002#-0,639005#3,472063#1  
frame13 #0,1051665#0,2905481#3,570294#0,107483#0,1037088#3,650241# 0,2272436#0,031714#3,129534#0,1270953#-0,06378604#3,261428#0,2385897#-0,03057823#3,412194#0,07588894#-0,1062256#3,31398#0,2556293#-0,0976937#3,653784#-0,02814711#-0,2038354#3,449254#0,2580926#0,07506813#3,728738#-0,0284681#0,01320375#3,575072#0,133342#-0,1638065#3,704643#0,1384372#-0,2173167#3,717969#0,2113413#-0,2804495#3,773269#0,08105779#-0,3045637#3,691515#0,3350442#-0,486281#3,499542#-0,08314323#-0,4129225#3,383888#0,1216672#-0,5703219#3,795597#-0,09684436#-0,651866#3,413945#0,1071421#-0,6270747#3,843932#-0,01768159#-0,6373727#3,468111#1  
frame14 #0,1050648#0,2878756#3,569127#0,1077725#0,1021315#3,650019# 0,2248397#0,0237256#3,130361#0,1256023#-0,07605721#3,26879#0,2402587#-0,04248987#3,41229#0,07462019#-0,1183607#3,32113#0,2549422#-0,1001009#3,65559#-0,02842734#-0,2037707#3,448647#0,2579824#0,07468611#3,728914#-0,028187#0,01243815#3,57395#0,1335919#-0,1631652#3,704521#0,1388368#-0,2158768#3,717903#0,2117034#-0,2801848#3,773715#0,0815154#-0,3028077#3,69075#0,2945924#-0,4184499#3,585011#-0,08637454#-0,3599596#3,372793#0,1172976#-0,5831788#3,807114#-0,09123109#-0,5995924#3,402448#0,1130876#-0,6570718#3,811103#-0,02116045#-0,6355203#3,46454#1  
frame15 #0,1014548#0,2839133#3,567323#0,1080854#0,1004402#3,647984# 0,225234#0,02020033#3,1295#0,149967#-0,06540333#3,238547#0,2399909#-0,04601223#3,410945#0,09934069#-0,1112191#3,287707#0,2538054#-0,1058078#3,652865#-0,0285135#-0,2047737#3,448074#0,2547828#0,07475714#3,721014#-0,02954574#0,01100965#3,572293#0,1336083#-0,163157#3,704411#0,1388692#-0,2157959#3,717871#0,2117233#-0,2800393#3,773448#0,08151101#-0,3018517#3,692516#0,2943403#-0,4187152#3,585051#-0,08518381#-0,3569022#3,374962#0,1178057#-0,5834055#3,806507#-0,08733995#-0,5963019#3,40703#0,1553868#-0,6285943#3,741553#-0,01722529#-0,6352726#3,46552#1  
frame16 #0,09721684#0,2817491#3,563926#0,1081922#0,09879079#3,646193# 0,2256533#0,01470573#3,125656#0,1366032#-0,07728939#3,255384#0,2347518#-0,02539713#3,319503#0,08579777#-0,1202166#3,306438#0,2436526#0,05454711#3,492029#-0,03279188#-0,2096476#3,453581#0,2540616#0,07758743#3,71896#-0,02972478#0,008952506#3,569509#0,1338291#-0,1627108#3,703839#0,1391626#-0,2149308#3,71738#0,2122604#-0,2775473#3,772027#0,08177732#-0,301314#3,692571#0,3296348#-0,4811809#3,498949#-0,01192461#-0,3935366#3,478747#0,1618347#-0,6377617#3,715143#-0,03134432#-0,5778378#3,49664#0,1990325#-0,6822229#3,651642#-0,007418767#-0,6338255#3,456214#1  
frame17 #0,09621083#0,2820149#3,558593#0,1076622#0,09823113#3,641736# 0,2377868#0,01207319#3,11257#0,1335461#-0,08108281#3,253462#0,2688888#-0,04050489#3,450196#0,08149399#-0,1216919#3,304779#0,2969225#-0,08983904#3,691701#-0,03183314#-0,2085692#3,450988#0,2524661#0,07997569#3,709053#-0,03014275#0,009203374#3,567131#0,1331984#-0,1606482#3,701091#0,1384295#-0,212321#3,714977#0,21154#-0,2751498#3,771063#0,08105798#-0,2998063#3,690055#0,325505#-0,4803543#3,499047#-0,01152473#-0,3898262#3,478498#0,1627816#-0,6392606#3,71566#-0,03003291#-0,5782026#3,498234#0,1985834#-0,683802#3,652182#-0,007132418#-0,6340288#3,457863#1  
frame18 #0,08818135#0,3021523#3,552877#0,1033955#0,1119919#3,618797# 0,2374072#0,006244756#3,110512#0,1076111#-0,07061584#3,255008#0,231299#0,007899899#3,231316#0,04909707#-0,1027332#3,304936#0,2441299#0,0568545#3,47345#-0,03295395#-0,2061029#3,451483#0,2480205#0,08614311#3,698434#-0,03304539#0,01411379#3,559755#0,1315919#-0,1504428#3,694134#0,1371209#-0,2027439#3,710397#0,2098548#-0,2610849#3,766586#0,07999176#-0,2907016#3,688605#0,3204033#-0,4713079#3,498632#-0,01807744#-0,3883399#3,475944#0,1650982#-0,6352366#3,715602#-0,02484605#-0,5753036#3,495596#0,1999969#-0,6804768#3,654216#-0,008578528#-0,6332578#3,457414#1  
frame19 #0,08490668#0,3090027#3,547102#0,1014944#0,117622#3,617789# 0,2339267#0,004836339#3,102343#0,1509185#-0,05300966#3,217722#0,2408046#-0,03773162#3,394287#0,09480295#-0,08337142#3,271099#0,2558279#-0,08961494#3,635074#-0,02614496#-0,18944#3,454936#0,2458593#0,0908024#3,696913#-0,03399807#0,03403499#3,552436#0,1281309#-0,1236997#3,692151#0,1335267#-0,1701898#3,709346#0,2071618#-0,2255074#3,770324#0,07671621#-0,2579453#3,688021#0,3041773#-0,4518172#3,52185#-0,008764095#-0,3858246#3,48939#0,1544048#-0,6205185#3,737985#-0,02413804#-0,5744179#3,496457#0,1899601#-0,6663986#3,677235#-0,009723654#-0,6336917#3,459316#1  
frame20 #0,0767215#0,3414509#3,536172#0,09443834#0,1501057#3,604627# 0,241511#0,01350455#3,083638#0,1402013#-0,0409546#3,207764#0,1965839#-0,02040683#3,401509#0,07876445#-0,06568649#3,257814#0,2586951#-0,05114699#3,637606#-0,0283772#-0,1565754#3,457904#0,2398663#0,1197603#3,687211#-0,04170854#0,06837545#3,548407#0,1181424#-0,09585646#3,688671#0,1233156#-0,1453893#3,707863#0,1956828#-0,1984846#3,773473#0,06503269#-0,2363361#3,687312#0,292178#-0,4271175#3,537085#-0,0408233#-0,4109032#3,410457#0,1484362#-0,600948#3,753551#-0,05381379#-0,6499321#3,42539#0,1825984#-0,6482904#3,69295#0,000198707#-0,626456#3,465978#1  
frame21 #0,07801781#0,3557791#3,53988#0,09515981#0,1676443#3,603642# 0,2515847#-0,07250355#3,375884#0,1626404#-0,02030971#3,190562#0,2612154#-0,1011204#3,453137#0,1158618#-0,05574341#3,249179#0,2821573#-0,01332358#3,647066#-0,01288266#-0,1207096#3,446189#0,2354265#0,1577624#3,682692#-0,02929084#0,1023292#3,541325#0,1106423#-0,08333731#3,68846#0,1135413#-0,1328543#3,707916#0,1790985#-0,1810416#3,776823#0,05177534#-0,2199975#3,683113#0,2764993#-0,4000004#3,539797#-0,03147019#-0,3879654#3,401294#0,1443302#-0,578215#3,761658#-0,04782816#-0,628422#3,412093#0,1808661#-0,6259052#3,702446#-0,001821596#-0,6316606#3,46699#1  
