frame1 #0,01907429#0,279753#3,485096#0,006539468#0,1199649#3,566684# 0,1697599#-0,2986884#3,363831#0,2349112#-0,04211513#3,024475#0,1656546#-0,3696635#3,414343#0,1596847#-0,09086808#3,122113#0,1477605#-0,2211722#3,665012#-0,05496789#-0,136971#3,301837#0,160301#0,06111546#3,680894#-0,1016716#0,02472068#3,446911#0,02916271#-0,1535457#3,608903#0,03368736#-0,2082478#3,620004#0,09839895#-0,2697898#3,666912#-0,01948874#-0,2861675#3,591134#0,1100496#-0,4786576#3,355411#-0,1375351#-0,3293995#3,236263#0,004369271#-0,61773#3,669893#-0,09788581#-0,6013564#3,384233#-0,02289593#-0,6906549#3,649134#-0,06269228#-0,6732588#3,39339#1  
frame2 #0,01624797#0,3080686#3,473107#0,006363656#0,1203754#3,56584# 0,1797106#-0,2539724#3,44025#0,254055#-0,03427092#3,018137#0,172902#-0,3249223#3,490057#0,1892426#-0,1010038#3,097469#0,1636962#-0,1911773#3,730089#0,05392515#-0,09999727#3,250458#0,1590303#0,06441458#3,679921#-0,1016828#0,02473395#3,447079#0,02920222#-0,1536336#3,60905#0,03376622#-0,2084249#3,620221#0,09841474#-0,2697723#3,66713#-0,01921473#-0,2866468#3,591572#0,1091328#-0,4445665#3,404162#-0,1145267#-0,32738#3,298365#0,003631858#-0,6166611#3,669593#-0,1027901#-0,5923305#3,383334#-0,0156882#-0,673006#3,615684#-0,06779821#-0,6646183#3,385393#1  
frame3 #0,01503433#0,3092297#3,472671#0,006052781#0,1201978#3,56534# 0,2141714#-0,04901049#3,022558#0,261856#-0,029852#3,013421#0,1816055#-0,134395#3,507446#0,2127554#-0,07693508#3,087826#0,1678433#-0,1620222#3,775155#0,06703139#-0,1222152#3,297056#0,156934#0,0676453#3,678203#-0,1023341#0,02494971#3,447142#0,02329794#-0,1551726#3,606968#0,02584308#-0,2104285#3,617796#0,08733557#-0,2712062#3,664948#-0,03022254#-0,2906872#3,587852#0,1125828#-0,4532986#3,392574#-0,1199118#-0,3302918#3,272726#0,002862193#-0,6171389#3,669124#-0,1032989#-0,5949342#3,38369#-0,01858409#-0,6726928#3,615665#-0,06675357#-0,6660728#3,386479#1  
frame4 #0,01500048#0,3088966#3,472805#0,00605181#0,1199642#3,56458# 0,2398307#-0,03624237#3,022158#0,2584334#-0,03603723#3,031264#0,201296#-0,07147526#3,355914#0,2059502#-0,07895212#3,098901#0,1780736#-0,1154609#3,617027#0,05487835#-0,1371194#3,306949#0,1569017#0,06759223#3,678299#-0,1021513#0,02491296#3,447364#0,02193248#-0,1558706#3,606401#0,02432558#-0,2111933#3,61735#0,08520747#-0,2725176#3,665742#-0,03175785#-0,2918587#3,586434#0,1154379#-0,4588705#3,396056#-0,1138595#-0,3278565#3,291402#0,002904789#-0,6171734#3,668987#-0,1056675#-0,5933093#3,386033#-0,01773463#-0,6736257#3,616425#-0,06755832#-0,6634687#3,385029#1  
frame5 #0,01823231#0,2999456#3,473301#0,006201554#0,1188974#3,563854# 0,25117#-0,02978397#3,022469#0,2884995#-0,01587891#3,015349#0,2065814#-0,06798644#3,354189#0,1986673#-0,07571067#3,140366#0,1774367#-0,1126452#3,612219#0,04177571#-0,1060096#3,264198#0,1569373#0,06771143#3,677928#-0,1021743#0,02462545#3,447271#0,02335928#-0,1563266#3,605905#0,02649876#-0,2115335#3,616849#0,0890206#-0,2724874#3,665185#-0,0278861#-0,2924211#3,586082#0,1163453#-0,4584855#3,396359#-0,1096996#-0,3254915#3,302347#0,005441276#-0,6120934#3,657835#-0,1040455#-0,5939996#3,386289#-0,02110361#-0,6799187#3,625465#-0,06828927#-0,6646829#3,377451#1  
frame6 #0,0178846#0,2998265#3,473534#0,006264916#0,1189318#3,560602# 0,2416008#-0,03514771#3,020802#0,276869#-0,02088537#3,014154#0,2023358#-0,06791441#3,35893#0,191106#-0,09569889#3,140236#0,1748153#-0,1086648#3,616071#0,04285613#-0,1000088#3,262704#0,1571908#0,0720024#3,676053#-0,1024288#0,02433786#3,44686#0,02462583#-0,1560849#3,604861#0,02817882#-0,2111958#3,616034#0,09213444#-0,2707362#3,663874#-0,02582088#-0,2925594#3,58618#0,1265695#-0,4397823#3,392691#-0,1066481#-0,3211454#3,309258#0,008719493#-0,6122599#3,648443#-0,1039812#-0,5939364#3,386138#-0,03353108#-0,6582555#3,607862#-0,07159679#-0,6604662#3,377617#1  
frame7 #0,01776119#0,3002342#3,472875#0,007374923#0,1182485#3,558597# 0,2364593#-0,03736252#3,020922#0,2775542#-0,02045022#3,014688#0,1996588#-0,07053241#3,351284#0,2150821#-0,0516753#3,082505#0,1726056#-0,1126265#3,609378#0,04514001#-0,09899665#3,260968#0,1566894#0,06849853#3,671809#-0,1020095#0,02336655#3,44666#0,02775322#-0,1585743#3,605221#0,03218032#-0,2143742#3,617229#0,09535757#-0,2715553#3,661544#-0,01906833#-0,2929012#3,595005#0,1280615#-0,4515834#3,387562#-0,09982076#-0,3073573#3,316476#0,007695857#-0,6101878#3,647835#-0,08603814#-0,6060596#3,455146#-0,02945257#-0,6608366#3,610473#-0,07327241#-0,6559187#3,370718#1  
frame8 #0,02410157#0,2961696#3,470812#0,01127889#0,1164509#3,560466# 0,2255579#-0,03202781#3,044037#0,2607024#-0,02226295#3,042175#0,1859285#-0,1884485#3,362751#0,2169478#-0,05361861#3,091209#0,1736463#-0,1126695#3,61241#0,04431403#-0,09896294#3,26086#0,1573829#0,06828643#3,670518#-0,1030712#0,02212142#3,445114#0,02893947#-0,1582376#3,604813#0,03316431#-0,2136998#3,616537#0,0967886#-0,2708727#3,660104#-0,01894328#-0,2925833#3,593987#0,1290954#-0,4633237#3,389143#-0,09971201#-0,3073038#3,316597#0,00751721#-0,6100135#3,648211#-0,1052395#-0,5906853#3,37621#-0,02368377#-0,661615#3,612663#-0,07284597#-0,6576723#3,36757#1  
frame9 #0,02673284#0,2980313#3,480054#0,01327635#0,1149574#3,559789# 0,2292633#-0,03014501#3,042612#0,2665462#-0,01675223#3,031688#0,2005501#-0,0671027#3,356459#0,1879375#-0,07408018#3,133227#0,1748586#-0,1129291#3,611565#0,04298943#-0,09867313#3,261303#0,1580428#0,06752697#3,668107#-0,1034425#0,02200056#3,445176#0,03024661#-0,158521#3,603841#0,03422758#-0,2137054#3,615505#0,09803547#-0,2718099#3,660134#-0,01822311#-0,2936252#3,589698#0,1316149#-0,4570698#3,385469#-0,09962442#-0,3070135#3,317871#0,007667474#-0,6104908#3,64361#-0,1064702#-0,5919212#3,378098#-0,03471215#-0,6551638#3,567964#-0,07311381#-0,6577909#3,367688#1  
frame10 #0,02634143#0,2978564#3,479365#0,01422103#0,1140282#3,558983# 0,2292884#-0,02911138#3,042289#0,2598017#-0,02301066#3,048182#0,1892688#-0,183672#3,364104#0,1895161#-0,0735264#3,134177#0,1763906#-0,1118483#3,612945#0,04231786#-0,09818675#3,262003#0,159478#0,06834579#3,667174#-0,1037522#0,02199498#3,445158#0,03087732#-0,1582281#3,602791#0,03477248#-0,213053#3,614251#0,09890822#-0,273097#3,656345#-0,01818918#-0,2919607#3,589445#0,1211131#-0,4589428#3,393785#-0,09913464#-0,2984587#3,313197#0,00804389#-0,6102846#3,644102#-0,1067053#-0,5908498#3,378047#-0,02057249#-0,6769828#3,64649#-0,0734071#-0,6569231#3,363479#1  
frame11 #0,02507198#0,299513#3,477855#0,01286403#0,1182309#3,550346# 0,2204715#-0,03409035#3,052303#0,2654431#-0,01383069#3,040528#0,1781853#-0,1828112#3,362856#0,2199553#-0,05619121#3,089176#0,1761603#-0,1111269#3,611513#0,04174607#-0,09768167#3,263008#0,1601737#0,06921759#3,663153#-0,1047859#0,02270568#3,444729#0,03100218#-0,1542566#3,601368#0,0349476#-0,2085264#3,61367#0,101338#-0,264553#3,662426#-0,01905022#-0,2905189#3,588195#0,1236458#-0,4541851#3,39092#-0,09399392#-0,3056345#3,319169#0,0100276#-0,6292422#3,643511#-0,1052049#-0,5925446#3,381422#-0,01178858#-0,6724491#3,585092#-0,07612649#-0,6591867#3,361173#1  
