frame1 #0,08567937#1,010807#3,214149#0,06179478#0,791316#3,220738# 0,3890125#0,7844639#3,465196#0,4286127#0,6466823#3,109744#0,3373997#0,7346406#3,454628#0,367456#0,6341112#3,138325#0,3179716#0,5682809#3,246852#0,1839858#0,596398#3,239055#0,1680195#0,6363977#3,124652#-0,08658648#0,6552435#3,236789#0,07840484#0,3769198#3,227716#0,05559689#0,3022749#3,172063#0,1121059#0,2367033#3,141141#-0,002466731#0,245184#3,187017#0,2254632#-0,2469067#3,200395#-0,1373851#-0,2706503#3,194532#0,3026123#-0,6123308#3,189486#-0,2803252#-0,6036966#3,181847#0,2641812#-0,6600199#3,102195#-0,1595251#-0,6202077#3,194992#0  
frame2 #0,045382#1,005372#3,208213#0,0597631#0,7915768#3,220242# 0,4322845#0,8243029#3,433317#0,4118172#0,7933335#3,324759#0,4171623#0,7756964#3,358158#0,3561867#0,7495192#3,32713#0,3717959#0,6298769#3,147437#0,1894895#0,6375479#3,157941#0,1295094#0,6505935#3,080928#-0,07757743#0,6637168#3,233305#0,08181971#0,3835022#3,218557#0,04692167#0,3112109#3,168429#0,08918157#0,2516588#3,124705#-0,003868295#0,2557124#3,192068#0,2233597#-0,2543031#3,1928#-0,1324249#-0,2723134#3,206554#0,3002964#-0,6092905#3,184673#-0,2842069#-0,5941314#3,170351#0,2443091#-0,6555019#3,109931#-0,2754306#-0,6821699#3,174355#0  
frame3 #0,01879996#1,005155#3,214529#0,04542793#0,7929772#3,215832# 0,1812282#0,7308165#3,38628#0,4425781#0,7299099#3,030461#0,1958866#0,68469#3,304235#0,3741617#0,7132906#3,030064#0,2398618#0,5463104#3,073083#0,1689125#0,6634325#3,043855#0,06076064#0,6561455#3,080731#-0,0744829#0,683036#3,221719#0,06705451#0,3526538#3,202123#0,02451752#0,2701964#3,15603#0,05561691#0,2100051#3,106864#-0,01158855#0,2230483#3,191236#0,2095068#-0,2527705#3,183913#-0,1295065#-0,2676049#3,221732#0,2900767#-0,5709977#3,165421#-0,2867311#-0,5927529#3,171807#0,2279071#-0,6135966#3,106501#-0,3489008#-0,6353519#3,112888#0  
frame4 #0,01271083#1,005523#3,212466#0,04006829#0,7944298#3,214801# 0,2300181#0,6697601#3,426007#0,4364483#0,7484941#3,037119#0,2232726#0,6283258#3,33857#0,3674181#0,7292517#3,029344#0,2030361#0,504023#3,091197#0,1603273#0,6715245#3,020962#0,0562286#0,655321#3,077955#-0,07457994#0,6829482#3,221628#0,06040467#0,3722958#3,204781#0,01598129#0,3008702#3,162438#0,04071527#0,2519999#3,117826#-0,01480885#0,261113#3,196398#0,2077647#-0,2528509#3,18206#-0,1305927#-0,2672172#3,223816#0,2899312#-0,5708967#3,165242#-0,2884839#-0,5924891#3,172045#0,227855#-0,6123266#3,109426#-0,35056#-0,6339189#3,116228#0  
frame5 #0,02158992#1,007558#3,213498#0,03862803#0,7955204#3,21416# 0,2037081#0,7130054#3,627453#0,4568947#0,8378853#3,071522#0,1906617#0,7094333#3,542796#0,385197#0,7950691#3,046059#0,1515225#0,6987172#3,303769#0,1701039#0,6666204#2,984615#0,04660076#0,6530609#3,069303#-0,05083736#0,607568#3,188256#0,06400566#0,3725412#3,2003#0,01586286#0,2987993#3,161991#0,03953965#0,2526749#3,117404#-0,01015959#0,2481524#3,194909#0,2049763#-0,2528028#3,179405#-0,1328571#-0,2690718#3,226587#0,2981461#-0,5723013#3,164166#-0,2911375#-0,5928295#3,172842#0,2820072#-0,6588583#3,190973#-0,2766943#-0,6654638#3,228393#0  
frame6 #-0,01191213#1,009147#3,23148#0,0246331#0,7966415#3,212566# 0,1346337#0,731461#3,636818#0,4517733#0,8990387#3,020909#0,1348792#0,7294533#3,545411#0,3843746#0,849948#2,965524#0,1356157#0,72343#3,286159#0,1604066#0,7050923#2,88523#0,02898074#0,6498617#3,063674#-0,01911378#0,62394#3,118097#0,05340475#0,3289898#3,198213#0,008713857#0,2388061#3,15758#0,02380564#0,2190806#3,133263#-0,008684013#0,2231482#3,176777#0,1992664#-0,2568627#3,1752#-0,1350068#-0,2572768#3,228335#0,3038809#-0,5774339#3,164852#-0,2958118#-0,591244#3,176128#0,2779949#-0,6602481#3,191689#-0,2775754#-0,663945#3,224643#0  
frame7 #-0,01356948#1,010342#3,231458#0,02290196#0,7983038#3,212133# 0,1019983#0,725118#3,566444#0,3793935#0,8801602#2,929195#0,1565818#0,7525707#3,545662#0,3326338#0,8361593#2,898308#0,1327808#0,7332213#3,281102#0,1614514#0,7115452#2,879755#0,02761736#0,6508189#3,062903#-0,008032518#0,609072#3,108205#0,05260599#0,3247845#3,191014#0,003925676#0,233858#3,153416#0,009230599#0,2111087#3,133453#-0,007918561#0,2162877#3,167041#0,1974041#-0,2578718#3,173362#-0,1345325#-0,2524683#3,22719#0,30485#-0,5788185#3,16482#-0,2974916#-0,5908513#3,174345#0,2772021#-0,6596556#3,190394#-0,3671656#-0,6317477#3,130088#0  
frame8 #-0,01655765#1,011078#3,232153#0,02195923#0,7985277#3,211418# 0,2979254#0,8916017#3,564494#0,4598399#0,9581686#2,99799#0,2657782#0,8489878#3,471461#0,3622324#0,8823832#2,930951#0,1082705#0,7217134#3,291822#0,1469063#0,7143847#2,880637#0,02659212#0,6507742#3,061889#-0,007989523#0,5986791#3,11341#0,07219974#0,323491#3,183869#0,03066124#0,2305797#3,147215#0,04319673#0,2123935#3,130031#0,02453461#0,2082903#3,157379#0,1902966#-0,262228#3,170534#-0,1346468#-0,251539#3,227215#0,3043386#-0,5784484#3,164747#-0,299381#-0,5892707#3,17435#0,2766588#-0,6589144#3,18873#-0,3704696#-0,6306034#3,134176#0  
frame9 #-0,01640746#1,016989#3,229691#0,01717822#0,8034372#3,215065# 0,3059598#0,9237144#3,577031#0,4490635#0,9620584#2,942946#0,2607291#0,8628161#3,469338#0,3594433#0,8897746#2,891464#0,1053269#0,7256219#3,294607#0,1397482#0,717564#2,874533#0,02215634#0,6548827#3,065006#-0,00824799#0,5979475#3,110506#0,07409985#0,3151449#3,182874#0,03173016#0,2174254#3,14553#0,04188221#0,2027873#3,136231#0,02548654#0,1959743#3,147617#0,1864541#-0,2621258#3,168975#-0,1243118#-0,201185#3,251777#0,3035827#-0,5779458#3,16485#-0,2926395#-0,5737798#3,182523#0,2784615#-0,6566386#3,181072#-0,3633759#-0,6149149#3,143193#0  
frame10 #-0,02989297#1,026927#3,23876#0,01231083#0,8124205#3,217561# 0,301162#0,9517733#3,629806#0,34123#0,9537985#2,848301#0,2363094#0,8717558#3,483415#0,3133458#0,8958927#2,827428#0,08801752#0,738669#3,299649#0,1006006#0,7116467#2,845843#0,0171971#0,6634681#3,067317#-0,01182002#0,5978526#3,106912#0,07621823#0,3195069#3,185471#0,03507963#0,2230471#3,146772#0,0467805#0,20911#3,14469#0,02768992#0,2016597#3,146924#0,1748726#-0,2661836#3,163271#-0,1641478#-0,3585727#3,209767#0,3010831#-0,5784421#3,163821#-0,3223456#-0,6144054#3,171167#0,2747215#-0,6564408#3,180537#-0,3272721#-0,6903208#3,175752#0  
frame11 #-0,03008543#1,02862#3,231138#0,01204035#0,8178821#3,22215# 0,3027608#0,9463086#3,619979#0,3560774#0,9579039#2,787074#0,2586839#0,8921136#3,474976#0,2958931#0,8975622#2,776011#0,1237243#0,7804902#3,27385#0,0973068#0,7098933#2,842258#0,01686811#0,6688325#3,071802#-0,01178972#0,5923387#3,098444#0,05721761#0,6116679#3,271246#0,029179#0,5663769#3,236159#0,05775027#0,3084997#3,407462#0,03629998#0,2958526#3,045786#0,1655027#-0,2305713#3,17515#-0,1317899#-0,2515242#3,17808#0,2968891#-0,5769144#3,161781#-0,2888752#-0,504909#3,139694#0,2752762#-0,6562732#3,18192#-0,3382284#-0,5485913#3,079581#0  
