frame1 #0,0710901#1,019113#3,240847#0,09870188#0,7958057#3,205003# 0,1167824#0,218266#3,055709#-0,02344586#0,1973207#3,120051#0,1620226#0,2773938#3,105679#-0,1090372#0,2377159#3,143422#0,2977431#0,454777#3,270616#-0,1322106#0,4649932#3,300456#0,230452#0,6435695#3,170586#-0,06725898#0,6380177#3,194435#0,08791872#0,3856836#3,221892#0,08119093#0,3091951#3,173168#0,1457626#0,2433806#3,159192#0,01179264#0,2408823#3,174227#0,2514116#-0,2451267#3,209531#-0,1232129#-0,2566413#3,190433#0,3325418#-0,5651067#3,162215#-0,2399088#-0,5739729#3,152738#0,3265458#-0,6038448#3,087954#-0,2459048#-0,612711#3,078476#0  
frame2 #0,07790698#1,018303#3,233072#0,09883184#0,7957311#3,205251# 0,1176514#0,2263623#3,056193#-0,03261712#0,2471017#3,131172#0,1628855#0,2837538#3,106367#-0,1016881#0,2962753#3,180957#0,2985877#0,4559282#3,271962#-0,1445199#0,5243981#3,325805#0,2283593#0,6393523#3,157936#-0,05858913#0,6405194#3,197933#0,09010956#0,3840041#3,220539#0,08043409#0,3072615#3,171243#0,1433011#0,2418555#3,156942#0,01215943#0,2410213#3,172502#0,2489647#-0,2440857#3,205734#-0,1214179#-0,2553414#3,190406#0,3232538#-0,5700954#3,152894#-0,2395429#-0,5724009#3,151385#0,3130948#-0,6080866#3,080357#-0,2497019#-0,6103921#3,078849#0  
frame3 #0,06566184#1,004908#3,189224#0,09507556#0,7962509#3,205594# 0,2262686#0,1604079#3,035435#-0,06719839#0,1509742#3,057627#0,2058752#0,2771096#3,090134#-0,08935803#0,1873986#3,116077#0,3226565#0,480904#3,254549#-0,07677248#0,3908122#3,176929#0,2007158#0,6348437#3,109921#-0,01951533#0,6496562#3,17779#0,0947826#0,3821144#3,216795#0,07805189#0,3053703#3,167789#0,1303754#0,2447911#3,148644#0,01553014#0,2455235#3,170024#0,2456281#-0,2459988#3,199027#-0,1201742#-0,2544327#3,190419#0,3232522#-0,5701013#3,152173#-0,232499#-0,5585164#3,137945#0,3013576#-0,6084409#3,081147#-0,2543936#-0,5968561#3,06692#0  
frame4 #0,07408012#1,005212#3,188373#0,09505164#0,7963865#3,205477# 0,4377668#0,6549201#3,494213#-0,07603747#0,1688113#3,080021#0,410075#0,6198127#3,415678#-0,1062611#0,191171#3,13903#0,3269999#0,5144904#3,195043#-0,07652944#0,3922113#3,178362#0,1850381#0,6358157#3,100218#-0,02855326#0,6341019#3,181921#0,09663984#0,3808641#3,214138#0,07574448#0,3041309#3,164901#0,1222693#0,248819#3,13978#0,01598861#0,2456999#3,170032#0,2436573#-0,2477912#3,195884#-0,1201769#-0,256543#3,190184#0,3234074#-0,5678388#3,150914#-0,2355#-0,561238#3,139588#0,2957993#-0,6063795#3,081114#-0,263108#-0,5997787#3,069788#0  
frame5 #0,07609235#1,007116#3,185555#0,09394999#0,7974433#3,202549# 0,4456862#0,7112628#3,464984#-0,09059226#0,06438118#3,085768#0,4225878#0,6673777#3,385699#-0,09579554#0,1262536#3,116354#0,3532925#0,5357226#3,1628#-0,07647821#0,3922509#3,180116#0,1507061#0,6459913#3,075125#-0,06772051#0,6498745#3,222665#0,1031964#0,3821638#3,2051#0,07203871#0,3058172#3,160355#0,1156664#0,249931#3,124892#0,01549341#0,246978#3,171304#0,2404098#-0,2512985#3,194034#-0,1208304#-0,2574669#3,190924#0,3238804#-0,5688919#3,150692#-0,2404813#-0,5643982#3,139622#0,2806593#-0,6070889#3,089016#-0,2837025#-0,6025952#3,077945#0  
frame6 #0,08187886#1,006866#3,183303#0,08906893#0,7968916#3,201229# 0,4391499#0,7318031#3,42891#-0,09661283#0,06817594#3,084114#0,4161997#0,6869207#3,350243#-0,1018463#0,1304068#3,114877#0,347349#0,5522736#3,12925#-0,08069727#0,3993911#3,191319#0,1508532#0,6457914#3,074316#-0,06719074#0,6504954#3,220965#0,09854137#0,3784671#3,202765#0,06731702#0,3018016#3,157245#0,1113425#0,2431915#3,119081#0,01376399#0,2449265#3,17301#0,2391285#-0,2518352#3,193559#-0,1214402#-0,2580305#3,193415#0,3251785#-0,5700576#3,150946#-0,2439894#-0,568436#3,139451#0,2822807#-0,6080776#3,089411#-0,2868872#-0,606456#3,077916#0  
frame7 #0,09174056#1,010137#3,180662#0,082497#0,7986147#3,199727# 0,2910908#0,787277#3,38479#-0,0935479#0,06686319#3,072315#0,3093441#0,7345672#3,309477#-0,09879345#0,1292382#3,103149#0,3641037#0,5764378#3,098518#-0,07672901#0,3985638#3,187507#0,1358832#0,6534513#3,066188#-0,06733895#0,6503789#3,220128#0,08996481#0,3881431#3,198874#0,0548241#0,314769#3,15452#0,09254646#0,2549547#3,099165#0,005471318#0,2504157#3,185984#0,2349201#-0,2517235#3,191105#-0,1235075#-0,262543#3,198518#0,3483087#-0,5961994#3,154339#-0,2531499#-0,5828565#3,144036#0,300327#-0,6349999#3,093925#-0,3011315#-0,6216571#3,083622#0  
frame8 #0,09117588#1,010794#3,178572#0,08110439#0,7997982#3,19839# 0,3730599#0,8045713#3,299568#0,4872654#0,6243787#3,063138#0,3222688#0,7569501#3,293958#0,4165187#0,6244436#3,057557#0,3462744#0,5788494#3,083804#0,2042785#0,6246381#3,055762#0,1326774#0,654798#3,061567#-0,05789963#0,6612399#3,19864#0,08715576#0,3883564#3,198393#0,0529654#0,3147972#3,152725#0,09062006#0,2559024#3,100133#0,004554224#0,2543738#3,182801#0,2321582#-0,252181#3,187293#-0,1267769#-0,2638178#3,202292#0,3489095#-0,5962906#3,152379#-0,2607539#-0,583832#3,145868#0,302113#-0,6357573#3,089542#-0,3075504#-0,6232987#3,083031#0  
frame9 #0,09969597#1,009974#3,177145#0,07833637#0,8004289#3,194903# 0,4484725#0,7733202#3,280607#0,4680466#0,6830246#2,964876#0,3705401#0,7895156#3,232122#0,4002082#0,6706974#2,977807#0,3141397#0,5842688#3,057937#0,1966931#0,6337157#3,031534#0,1024236#0,661603#3,033915#-0,05452605#0,6665694#3,190776#0,09019813#0,3856418#3,188628#0,04961856#0,3106578#3,147831#0,08569911#0,2562978#3,101707#0,005965603#0,2575506#3,174812#0,2303662#-0,2542697#3,180814#-0,1296079#-0,2628367#3,205839#0,3516997#-0,5977969#3,152267#-0,2703457#-0,5873557#3,151426#0,2943973#-0,6372758#3,097463#-0,2647275#-0,6614811#3,163357#0  
frame10 #0,0652245#1,017483#3,182134#0,0649602#0,8042163#3,191741# 0,3846347#0,770049#3,273248#0,4375767#0,759643#3,041754#0,2993361#0,7758235#3,234295#0,4153872#0,7060763#2,967831#0,2429479#0,5683439#3,057197#0,206354#0,6660542#2,972702#0,04936161#0,6505144#3,052277#-0,0398289#0,6736458#3,151768#0,08408336#0,3845621#3,186168#0,04297241#0,3078944#3,14705#0,0602888#0,2471198#3,098024#0,006851273#0,2605977#3,177456#0,2280263#-0,2544496#3,175684#-0,1314561#-0,2629858#3,209953#0,3565335#-0,600505#3,153456#-0,2814353#-0,5864278#3,159619#0,2975882#-0,6398384#3,101274#-0,2795095#-0,660761#3,167769#0  
frame11 #0,05954438#1,018705#3,174591#0,06085601#0,8062591#3,189158# 0,4851661#0,8203309#3,3411#0,4109918#0,8178747#3,101151#0,4194356#0,7932158#3,378275#0,3801873#0,7763795#3,021792#0,1753993#0,6974783#3,275946#0,1841883#0,6841293#2,94393#0,04923345#0,6508279#3,051339#-0,04129056#0,672339#3,150353#0,07965283#0,382639#3,184975#0,03870287#0,3047539#3,145793#0,05970148#0,2473617#3,097934#0,005589809#0,2620634#3,177173#0,2243081#-0,2551498#3,168638#-0,1348915#-0,2639094#3,21242#0,3602462#-0,6006076#3,151036#-0,2862964#-0,5870332#3,160607#0,3021346#-0,6397418#3,098732#-0,344408#-0,6261674#3,108304#0  
frame12 #0,07210013#1,017622#3,17364#0,0548043#0,8052748#3,188069# 0,4986554#0,8704477#3,360522#0,3976873#0,8003512#2,934159#0,3830157#0,8020601#3,424951#0,3531565#0,7633739#2,893317#0,1720949#0,7008073#3,274528#0,1602634#0,6779279#2,925487#0,04723365#0,649905#3,050832#-0,04092124#0,630681#3,152753#0,06556668#0,344819#3,172623#0,02157809#0,2564888#3,133589#0,04618181#0,2243611#3,130284#-0,003164577#0,2536186#3,130186#0,2192252#-0,2553741#3,158137#-0,1361982#-0,2636654#3,213737#0,3646049#-0,6028579#3,148723#-0,2865946#-0,5889469#3,161373#0,303592#-0,6412378#3,100693#-0,284728#-0,6625101#3,16373#0  
frame13 #0,0669474#1,017971#3,174683#0,0469221#0,8044335#3,185941# 0,4395146#0,850673#3,330723#0,379454#0,8194365#2,96073#0,3813142#0,8266598#3,405322#0,3502199#0,792649#2,910728#0,1659429#0,713989#3,269472#0,1689615#0,6954405#2,876891#0,0418922#0,6486503#3,049188#0,004227793#0,6084124#3,082105#0,06071833#0,3425568#3,177172#0,01937797#0,2544799#3,136612#0,03511117#0,2233711#3,132725#0,0001311199#0,2528325#3,138991#0,2160576#-0,2564417#3,153519#-0,1372882#-0,2650476#3,214402#0,3673068#-0,6056629#3,146574#-0,2875094#-0,5908211#3,160904#0,3103499#-0,6439403#3,095311#-0,2835006#-0,6634585#3,163884#0  
frame14 #0,05265221#1,022484#3,175259#0,03628451#0,8065165#3,180818# 0,4329747#0,8797205#3,304693#0,4451099#0,8679291#2,987948#0,3753437#0,8488271#3,378086#0,3932832#0,8417658#2,944266#0,1556283#0,719296#3,26385#0,1603799#0,7109027#2,857448#0,03229224#0,6500633#3,044296#0,00418464#0,6072475#3,080158#0,04044107#0,3603631#3,183663#-0,01366548#0,281502#3,160029#-0,008636834#0,2368978#3,146984#-0,02103927#0,2932417#3,17142#0,212806#-0,2580705#3,149502#-0,1365394#-0,2658203#3,214739#0,3708411#-0,6129591#3,144122#-0,2889452#-0,5921915#3,161377#0,3048589#-0,6502705#3,10598#-0,2741087#-0,6644682#3,187618#0  
frame15 #0,05036776#1,024361#3,173204#0,0342521#0,8079859#3,181065# 0,4034959#0,8889127#3,329347#0,4213713#0,8730771#2,922232#0,3455676#0,8578598#3,40312#0,3590502#0,8460678#2,850476#0,1419112#0,7226505#3,269231#0,1524436#0,7233354#2,840823#0,0303468#0,6513617#3,044491#0,0002768401#0,6009945#3,077263#0,09645903#0,3249065#3,181736#0,06450322#0,2284004#3,145146#0,06930945#0,2068795#3,149901#0,06177652#0,217319#3,137563#0,2102402#-0,2607402#3,145026#-0,1364568#-0,2678788#3,215931#0,371088#-0,6123739#3,142849#-0,2894855#-0,5921543#3,161677#0,3139758#-0,6518251#3,09498#-0,2776254#-0,6610157#3,178806#0  
