frame1 #0,1175415#1,001975#3,223258#0,06625237#0,7890915#3,220622# 0,2413217#0,2370974#3,493334#-0,09777673#0,201496#3,139085#0,229776#0,3320965#3,505786#-0,1217272#0,282728#3,185355#0,2633976#0,5068991#3,377668#-0,1710032#0,51569#3,397209#0,1967139#0,6368093#3,183739#-0,07889298#0,6447383#3,207321#0,06682894#0,3757503#3,237234#0,06153834#0,3008352#3,178423#0,122953#0,2372255#3,166036#-0,001070116#0,2407935#3,176337#0,2394145#-0,2246495#3,219793#-0,1482816#-0,2563342#3,184098#0,2940916#-0,5787884#3,178452#-0,2856822#-0,5951716#3,175134#0,2866337#-0,6269823#3,085581#-0,2931401#-0,6433656#3,082263#0  
frame2 #0,1145811#1,002252#3,220451#0,065267#0,787505#3,218433# 0,1219062#0,2372938#3,135327#-0,06290744#0,1410993#3,062302#0,1609664#0,326203#3,137113#-0,08091524#0,1827796#3,117055#0,2859811#0,5300191#3,320475#-0,07675372#0,3989023#3,134248#0,192149#0,6351166#3,174053#-0,0900725#0,6468838#3,218396#0,07055283#0,3760646#3,236531#0,06151349#0,3010373#3,178217#0,1232166#0,2370569#3,165317#-0,001299464#0,2409934#3,176666#0,2390307#-0,2268136#3,217874#-0,1470167#-0,2577314#3,184653#0,2943602#-0,5790579#3,179054#-0,2863751#-0,5898785#3,169698#0,2801445#-0,6276248#3,086399#-0,3005908#-0,6384453#3,077044#0  
frame3 #0,1048556#0,9991974#3,209172#0,06546784#0,7877875#3,218013# 0,1464397#0,2583865#3,153646#-0,05832946#0,1409188#3,062139#0,1634469#0,3274183#3,153646#-0,1057682#0,2624219#3,168666#0,2939274#0,5494454#3,30229#-0,1260637#0,4934525#3,357971#0,1794461#0,6380531#3,149804#-0,04181717#0,653783#3,194151#0,07245763#0,3758799#3,235352#0,06120498#0,3007443#3,177299#0,1160746#0,2402624#3,160044#0,001915365#0,2441602#3,17798#0,2366323#-0,2330914#3,212925#-0,1449395#-0,2592577#3,186256#0,294264#-0,5798587#3,178746#-0,2819163#-0,5807506#3,164928#0,2787957#-0,6217197#3,099411#-0,2973846#-0,6226116#3,085592#0  
frame4 #0,09775018#0,9999895#3,211638#0,06506523#0,7881743#3,218221# 0,1593636#0,2762398#3,131231#-0,07923965#0,1037753#3,087597#0,1786076#0,3450528#3,131231#-0,04769922#0,1951462#3,086161#0,3179716#0,5682809#3,246423#-0,08841699#0,414113#3,164134#0,1729756#0,6371157#3,135151#-0,08658648#0,6552435#3,236075#0,08046272#0,3765702#3,231735#0,05985977#0,3015511#3,175986#0,1139199#0,2398128#3,151611#0,0007792352#0,244874#3,179545#0,2308852#-0,2330785#3,206796#-0,1429678#-0,2614793#3,188268#0,294457#-0,5803799#3,179031#-0,2822308#-0,5833766#3,167434#0,2669761#-0,6192653#3,108861#-0,3097117#-0,622262#3,097264#0  
frame5 #0,0990707#1,002571#3,213373#0,06204958#0,7895869#3,219646# 0,1865331#0,2979022#3,130405#-0,1146856#0,08906842#3,136667#0,2030985#0,3679915#3,130405#-0,08393389#0,1802605#3,121411#0,3550668#0,58785#3,233979#-0,1034659#0,4090064#3,186672#0,1573547#0,6379761#3,114287#-0,08593633#0,6525576#3,234315#0,08220047#0,3778012#3,22791#0,05711158#0,3031372#3,173464#0,1081355#0,2429166#3,140103#-2,07253E-05#0,2456396#3,18111#0,225429#-0,2273438#3,202706#-0,1389568#-0,2647039#3,193448#0,2891983#-0,557098#3,174616#-0,2828312#-0,5834498#3,167127#0,2559047#-0,5951868#3,108322#-0,3161248#-0,6215385#3,100833#0  
frame6 #0,1021381#0,9986231#3,206614#0,06185087#0,7894002#3,220028# 0,1690995#0,3329577#3,092668#0,3942378#0,6052384#3,20109#0,198359#0,3978451#3,092667#0,1048128#0,5744289#3,263913#0,3511776#0,6264278#3,158911#-0,1421726#0,5128835#3,394743#0,1463856#0,6362511#3,101303#-0,0842547#0,6521617#3,233758#0,08395658#0,3784615#3,225259#0,05551027#0,3043205#3,171943#0,1033628#0,243785#3,131965#1,483679E-05#0,247461#3,184905#0,2223658#-0,2254034#3,198883#-0,1341158#-0,2668698#3,200306#0,2883266#-0,5557702#3,173762#-0,2838657#-0,5847577#3,166038#0,2512639#-0,5932646#3,110506#-0,3209284#-0,6222521#3,102782#0  
frame7 #0,04289222#1,001971#3,210334#0,06086009#0,7900745#3,219379# 0,4434065#0,8386815#3,437487#0,4241544#0,6129825#3,181984#0,4255039#0,7864804#3,361284#0,1053499#0,5715547#3,265718#0,3717959#0,6298769#3,147432#-0,140901#0,5072351#3,402518#0,1293954#0,6507697#3,080953#-0,07757743#0,6637168#3,233297#0,0820024#0,3843121#3,219195#0,04694009#0,3120767#3,169147#0,08933841#0,2523501#3,125094#-0,004053243#0,2569755#3,190355#0,2183096#-0,2311768#3,193336#-0,132187#-0,2686637#3,207476#0,2883616#-0,5555326#3,171882#-0,2839037#-0,5843739#3,166305#0,2444261#-0,5923734#3,113888#-0,3278392#-0,6212147#3,108312#0  
frame8 #0,0433794#1,00526#3,221723#0,04781825#0,7909175#3,213836# 0,3175745#0,802909#3,369466#0,4529686#0,6790614#3,047368#0,3229383#0,7644647#3,285641#0,3731718#0,6704041#3,061394#0,3390296#0,6491321#3,048766#0,1337813#0,6444322#3,118072#0,0619817#0,6556607#3,078892#-0,1054776#0,6704311#3,284135#0,0693471#0,4337392#3,213882#0,02538019#0,3700554#3,176351#0,06148984#0,3057572#3,120987#-0,01386685#0,3124039#3,217708#0,2124116#-0,2375059#3,186054#-0,1294003#-0,2651983#3,217552#0,2886397#-0,5569337#3,168952#-0,2836927#-0,5895051#3,167355#0,2320887#-0,5926014#3,124783#-0,3402437#-0,6251728#3,123186#0  
frame9 #0,01905619#1,003068#3,211218#0,04549066#0,7925828#3,212901# 0,2855891#0,7540629#3,376645#0,4311855#0,7261972#3,027567#0,2922758#0,7132751#3,294648#0,3634253#0,7106826#3,028973#0,3123358#0,5909119#3,063113#0,160145#0,6641387#3,04765#0,06076064#0,6561455#3,078149#-0,0744829#0,683036#3,219137#0,05440309#0,3895119#3,233947#0,0107903#0,3142988#3,195645#0,04565197#0,263506#3,153748#-0,02606826#0,2847639#3,229058#0,207002#-0,239766#3,182032#-0,1291495#-0,2652782#3,219268#0,2884293#-0,557614#3,166105#-0,286127#-0,5896115#3,169066#0,2367294#-0,5934889#3,117614#-0,3378268#-0,6254864#3,120575#0  
frame10 #0,02126512#1,008033#3,212909#0,0355081#0,7969376#3,207861# 0,1859588#0,742278#3,622429#0,4058628#0,8432274#3,043504#0,1747387#0,7314969#3,533501#0,3823918#0,8048626#2,99418#0,1410786#0,6991536#3,280702#0,1960941#0,6887596#2,932436#0,04130743#0,6527203#3,060682#-0,0171945#0,6231403#3,113364#0,05870979#0,3909308#3,219893#0,02023225#0,3125601#3,177523#0,03884746#0,2720294#3,140744#0,0007794782#0,282996#3,212898#0,1988461#-0,2460574#3,171578#-0,1344303#-0,2664983#3,223877#0,3006606#-0,5660717#3,160514#-0,2929438#-0,5905967#3,170911#0,2517737#-0,6011779#3,112049#-0,3418307#-0,6257029#3,122446#0  
frame11 #0,02561854#1,009501#3,215485#0,02622108#0,7975849#3,208812# 0,1284195#0,7184266#3,596056#0,4110076#0,8700199#3,025667#0,1760168#0,7464394#3,523492#0,3771587#0,8283867#2,987881#0,1401209#0,7195933#3,270749#0,1606064#0,6868529#2,923172#0,03109466#0,6511906#3,060244#-0,02205393#0,5991436#3,129466#0,0801539#0,3741156#3,194422#0,04382978#0,2883323#3,152828#0,05663302#0,260709#3,131402#0,0297509#0,2737688#3,167599#0,1962799#-0,2485207#3,169885#-0,1366365#-0,2684474#3,223758#0,304181#-0,5694444#3,162499#-0,2941211#-0,5911624#3,171146#0,2472348#-0,6047889#3,12384#-0,3039548#-0,6703003#3,210615#0  
