frame1 #-0,03459375#1,029287#3,361331#-0,07645808#0,8105193#3,395631# -0,03710251#0,1569803#3,279321#-0,1138414#0,2409963#3,23484#-0,001891747#0,2481991#3,248944#-0,1663749#0,3024626#3,288348#0,1078008#0,4294603#3,463497#-0,3239754#0,4868615#3,464126#0,08088873#0,6284621#3,353164#-0,2003409#0,6558197#3,338348#-0,09217942#0,3896338#3,397549#-0,09081364#0,3156059#3,334794#-0,02936883#0,2462973#3,331727#-0,1559221#0,2586083#3,318442#0,09673271#-0,2642425#3,326719#-0,3008358#-0,2400925#3,331097#0,1830666#-0,5910975#3,252427#-0,4473244#-0,6148886#3,316592#0,177118#-0,6664267#3,195515#-0,4398871#-0,6650509#3,217525#0  
frame2 #-0,03285744#1,012494#3,436271#-0,07581191#0,7818675#3,378802# -0,07622956#0,1562476#3,250185#-0,2577998#0,201261#3,299945#-0,05950776#0,2565783#3,250185#-0,2096746#0,2878778#3,276981#0,1110666#0,4205452#3,434809#-0,3086913#0,4832107#3,483809#0,07617225#0,6237191#3,341765#-0,1997716#0,6546068#3,340564#-0,08661762#0,3799407#3,390954#-0,08780844#0,3074986#3,329338#-0,02733121#0,2393191#3,326485#-0,1519489#0,2528217#3,314593#0,09616385#-0,2345178#3,322905#-0,2998284#-0,2444382#3,333691#0,1817512#-0,5887017#3,256561#-0,4542943#-0,6051942#3,314754#0,1782754#-0,6636302#3,199948#-0,4517698#-0,6561294#3,216659#0  
frame3 #-0,04223861#1,02186#3,429601#-0,06761725#0,7902366#3,381409# -0,03791508#0,2143312#3,20544#-0,233685#0,1702723#3,269139#-0,01393913#0,2779704#3,237703#-0,2453393#0,2683249#3,294051#0,1441778#0,4500054#3,410957#-0,2868928#0,4905156#3,478014#0,07589802#0,6187341#3,327638#-0,1980505#0,6575269#3,348845#-0,08013941#0,3775541#3,389151#-0,08555957#0,3041157#3,32688#-0,02501941#0,232901#3,319499#-0,1503258#0,2513803#3,314291#0,09756961#-0,2309038#3,320701#-0,2947058#-0,2385705#3,335055#0,1728617#-0,5853739#3,260114#-0,4551254#-0,5994348#3,312813#0,1815739#-0,6632156#3,209581#-0,460387#-0,64992#3,215604#0  
frame4 #-0,03702428#1,022157#3,421543#-0,06658286#0,7920889#3,385401# 0,05517961#0,1905139#3,243011#-0,2018653#0,1534684#3,246389#0,00488542#0,2776831#3,234387#-0,1861425#0,2523642#3,259609#0,1555474#0,4559122#3,397972#-0,2465438#0,4633613#3,443069#0,06887964#0,6209166#3,31081#-0,1926915#0,6577711#3,350858#-0,07420791#0,3751053#3,387564#-0,08324088#0,3013143#3,324719#-0,02461833#0,2323969#3,315513#-0,1451781#0,2500474#3,314027#0,09917039#-0,2279088#3,316262#-0,290044#-0,2320189#3,337287#0,1713364#-0,5855543#3,260504#-0,4502029#-0,5829909#3,301408#0,1586868#-0,6357685#3,164325#-0,4628524#-0,6332051#3,205229#0  
frame5 #0,004382513#1,014471#3,41894#-0,06473578#0,7943174#3,388277# -0,01447641#0,2101446#3,231486#-0,2161393#0,1553866#3,238866#0,02881041#0,3006966#3,233017#-0,2560075#0,2223214#3,302159#0,1935912#0,4854336#3,361009#-0,2444771#0,462686#3,444214#0,06998012#0,6194421#3,305844#-0,1568761#0,6576693#3,34363#-0,07012447#0,372532#3,385242#-0,07901682#0,2983129#3,321321#-0,02366398#0,232449#3,307818#-0,1349419#0,2505205#3,31442#0,1013594#-0,2298457#3,312526#-0,2870008#-0,2441291#3,340617#0,1716026#-0,5856001#3,260623#-0,4510779#-0,5824609#3,301287#0,1582809#-0,6355647#3,164906#-0,4643995#-0,6324255#3,205571#0  
frame6 #-0,03414553#1,020443#3,381767#-0,06412709#0,7959123#3,388077# -0,075992#0,07409202#3,17265#-0,2742341#0,1193903#3,272413#0,02131946#0,3053484#3,240701#-0,2559777#0,2147631#3,299638#0,1994643#0,4969664#3,341923#-0,2494304#0,4461592#3,464014#0,05185427#0,6199793#3,280339#-0,1535574#0,6543686#3,340934#-0,06203832#0,3719088#3,382804#-0,0776704#0,2974063#3,32026#-0,02571547#0,2357104#3,302678#-0,1273271#0,2519549#3,318134#0,09977382#-0,2268878#3,31079#-0,2842862#-0,2515538#3,339801#0,1724743#-0,5853328#3,262595#-0,4520215#-0,5809603#3,297523#0,1468503#-0,6354465#3,168932#-0,4776454#-0,6310741#3,20386#0  
frame7 #-0,06443156#1,01844#3,367785#-0,06427692#0,7963285#3,387497# 0,3211881#0,658561#3,523122#-0,04588461#0,2005783#3,172667#0,2509166#0,6404321#3,507793#-0,1209593#0,1987369#3,214523#0,2334056#0,5060275#3,279168#-0,2224594#0,4161937#3,371728#0,01453649#0,6342239#3,255943#-0,141903#0,6653055#3,333039#-0,05243875#0,3679764#3,377758#-0,07690398#0,2917124#3,318295#-0,03314485#0,2351175#3,297397#-0,1202267#0,2517414#3,321456#0,1032981#-0,2277165#3,3069#-0,280142#-0,2545411#3,340492#0,1721931#-0,5853152#3,263146#-0,4519171#-0,581396#3,296325#0,1306019#-0,6349865#3,175687#-0,4935083#-0,6310672#3,208866#0  
frame8 #-0,05100401#1,016954#3,365633#-0,06478559#0,7965282#3,386929# 0,2676278#0,6758031#3,520429#0,08692917#0,459803#3,26527#0,2593724#0,6392258#3,45681#0,03952222#0,5070212#3,296518#0,2329086#0,5219722#3,268024#-0,2213351#0,4184826#3,373692#0,01003589#0,6435687#3,244605#-0,1081159#0,6504784#3,2915#-0,05535926#0,356754#3,376471#-0,07676241#0,2770648#3,31568#-0,04034111#0,2346077#3,294678#-0,1113848#0,2424628#3,32422#0,1051631#-0,2297895#3,305048#-0,2767772#-0,2589874#3,342042#0,1729127#-0,5885466#3,26661#-0,4518977#-0,5821977#3,295927#0,1370186#-0,6381726#3,17705#-0,4877918#-0,6318237#3,206367#0  
frame9 #-0,06118757#1,012895#3,359696#-0,06551109#0,7968014#3,386145# 0,3154049#0,598709#3,512316#0,280651#0,6605593#3,358246#0,3120736#0,6613002#3,475569#0,2368437#0,638812#3,307665#0,22471#0,5408579#3,246978#0,1054218#0,5735701#3,171084#-0,03713361#0,6495467#3,242393#-0,1085766#0,6504044#3,290333#-0,04471883#0,3548931#3,36978#-0,077011#0,2745615#3,314656#-0,05074506#0,2369641#3,290068#-0,1054932#0,2414715#3,325752#0,1015478#-0,2309896#3,304595#-0,2749963#-0,2619258#3,343951#0,1747464#-0,589901#3,26931#-0,4534043#-0,581147#3,294035#0,1199702#-0,6384597#3,191109#-0,5081806#-0,6297056#3,215835#0  
frame10 #-0,04646422#1,013853#3,372292#-0,06747894#0,7956737#3,384257# 0,3049999#0,6895846#3,532706#0,2773446#0,6924283#3,36787#0,3097939#0,6700307#3,463214#0,2344422#0,663958#3,313653#0,2144181#0,5429879#3,238315#0,105735#0,5785472#3,166286#-0,05136355#0,6497752#3,238645#-0,109581#0,6482383#3,287963#-0,04267891#0,3338407#3,360228#-0,08055258#0,2483111#3,308407#-0,06313162#0,2232696#3,284982#-0,09857237#0,2258493#3,324372#0,1102829#-0,2516158#3,300985#-0,2741748#-0,2688996#3,350134#0,175615#-0,5894095#3,270749#-0,45502#-0,580209#3,293644#0,1120451#-0,6374387#3,199915#-0,5185899#-0,6282381#3,22281#0  
frame11 #-0,05891242#1,011629#3,367424#-0,07060526#0,7952716#3,382303# 0,3349814#0,7041022#3,534883#0,3434988#0,710682#3,172049#0,3001493#0,6662734#3,453183#0,2957021#0,6687214#3,139148#0,1956528#0,5527869#3,22318#0,09666546#0,5923719#3,134849#-0,07268478#0,6582264#3,22542#-0,1087761#0,6444579#3,274966#-0,0349676#0,3316458#3,347458#-0,08250248#0,2447208#3,306217#-0,06924243#0,2225257#3,283668#-0,09738105#0,2220994#3,321644#0,1105227#-0,2537256#3,300291#-0,2784673#-0,2779944#3,357072#0,1778317#-0,5891004#3,271692#-0,4560692#-0,5811583#3,292989#0,09819625#-0,6361624#3,220438#-0,5357047#-0,6282203#3,241735#0  
frame12 #-0,06393514#1,013057#3,366937#-0,07414954#0,7953845#3,383348# 0,2560238#0,6749291#3,575001#0,3223296#0,6426389#3,08125#0,2395875#0,6456323#3,484097#0,2770174#0,6611968#3,134459#0,1902786#0,5577417#3,226542#0,07308847#0,6173646#3,097936#-0,07923087#0,6633699#3,229165#-0,108823#0,6422919#3,272975#-0,03321379#0,3293151#3,345711#-0,08172457#0,2411701#3,306651#-0,06953559#0,222207#3,284876#-0,09446476#0,2188826#3,320893#0,1107442#-0,2540857#3,300235#-0,2856159#-0,2837853#3,362147#0,1785656#-0,5892958#3,271585#-0,4564918#-0,5822253#3,292831#0,09585859#-0,6367418#3,224076#-0,5391988#-0,6296713#3,245321#0  
frame13 #-0,06115659#1,013106#3,366447#-0,07861953#0,7972031#3,383531# 0,3319905#0,7295908#3,505767#0,3021909#0,7622178#3,130866#0,2918878#0,7259526#3,557402#0,243374#0,7283325#3,109726#0,02897485#0,6735942#3,465816#0,06692315#0,6266767#3,061511#-0,08433001#0,6680498#3,230329#-0,111686#0,6392791#3,27119#-0,03381034#0,3279711#3,345127#-0,08263761#0,2389558#3,306872#-0,07142368#0,2223611#3,287836#-0,09452857#0,2175556#3,3196#0,1099637#-0,2552158#3,299914#-0,2856577#-0,2827115#3,365802#0,1806111#-0,5908514#3,270821#-0,4581071#-0,583448#3,293272#0,09750865#-0,6381862#3,22501#-0,5412096#-0,6307828#3,247462#0  
frame14 #-0,06443071#1,01636#3,37323#-0,08227454#0,7997712#3,384845# 0,3349106#0,7425103#3,509068#0,2925963#0,7458077#3,130893#0,2697254#0,7447217#3,582492#0,2320678#0,717662#3,107769#0,02420278#0,6752502#3,466767#0,05048257#0,6332248#3,053467#-0,08799118#0,6723137#3,232497#-0,1155459#0,63244#3,270425#-0,03338825#0,3271079#3,345568#-0,08046953#0,2369156#3,306194#-0,07029483#0,222122#3,28798#-0,0898523#0,2131543#3,317313#0,1043896#-0,258231#3,296188#-0,2854969#-0,282866#3,37129#0,1767719#-0,5931871#3,271428#-0,4569778#-0,5854872#3,293808#0,09614809#-0,6398542#3,224923#-0,5376016#-0,6321543#3,247303#0  
frame15 #-0,06872807#1,016639#3,376698#-0,08460583#0,8008789#3,38936# 0,3391153#0,7774755#3,491617#0,2450638#0,7524259#3,096537#0,287736#0,7701695#3,576545#0,230331#0,7294935#3,057277#0,04587629#0,7009719#3,457148#0,04002545#0,6436369#3,04284#-0,08997802#0,6741602#3,237464#-0,1137075#0,6279619#3,26267#-0,03626052#0,3239911#3,350202#-0,08092918#0,2338387#3,30708#-0,0722242#0,2207702#3,293438#-0,08943866#0,2112084#3,315488#0,1045877#-0,260585#3,296491#-0,285134#-0,2811875#3,373009#0,1811617#-0,5954363#3,270553#-0,4571419#-0,5855644#3,294032#0,1625997#-0,6810631#3,259272#-0,5340006#-0,632213#3,2419#0  
frame16 #-0,07628129#1,018159#3,376033#-0,08814046#0,8031837#3,392308# 0,3574446#0,7939929#3,512366#0,2773786#0,7946464#3,114948#0,2661946#0,7794498#3,577195#0,2113848#0,7502219#3,055504#0,0190853#0,7080399#3,470438#0,02527205#0,6538413#3,035908#-0,09322229#0,6769307#3,240558#-0,1141811#0,6098062#3,264213#-0,03604053#0,3253341#3,348083#-0,08309342#0,2345275#3,308375#-0,07586262#0,2213045#3,294875#-0,09030155#0,2108969#3,316153#0,1037494#-0,2639156#3,297084#-0,2863074#-0,2797909#3,374938#0,1817148#-0,5974652#3,269192#-0,4583573#-0,5878448#3,298765#0,1616125#-0,6830571#3,259875#-0,5392869#-0,6344752#3,252991#0  
frame17 #-0,1080801#1,023017#3,381362#-0,09194519#0,8077102#3,397501# 0,2981114#0,8136096#3,555732#0,3123205#0,8268437#3,116022#0,2454243#0,8052318#3,604506#0,2542219#0,7992356#3,068256#0,01543024#0,719877#3,475008#0,02659282#0,6730789#3,016145#-0,09679309#0,6818946#3,245918#-0,09374018#0,5874245#3,272626#-0,03042436#0,3322527#3,318813#-0,08561803#0,2354645#3,310411#-0,08368705#0,2208698#3,30001#-0,09039785#0,2106643#3,316412#-0,01832858#-0,2447507#3,328717#-0,2887528#-0,277876#3,377803#0,182059#-0,6031029#3,268736#-0,4591112#-0,588001#3,298991#0,1621314#-0,6892415#3,261423#-0,551714#-0,6355601#3,306485#0  
frame18 #-0,09954701#1,028185#3,402904#-0,09814352#0,8076228#3,401246# 0,2947308#0,838567#3,586215#0,3004666#0,8595311#3,047868#0,2324874#0,8120812#3,612068#0,2499969#0,8076442#3,050034#0,005332515#0,7240322#3,479779#0,02435319#0,6805518#3,008894#-0,1026639#0,6819821#3,2496#-0,1064585#0,5928648#3,276248#-0,03321534#0,3308026#3,330498#-0,08740778#0,2354395#3,311974#-0,0851904#0,2211462#3,302352#-0,09126153#0,210683#3,316739#0,09811709#-0,276207#3,304309#-0,290725#-0,27626#3,379335#0,1815033#-0,6034911#3,268743#-0,4594388#-0,5878282#3,29877#0,08865806#-0,6509625#3,260233#-0,552284#-0,6352995#3,290261#0  
frame19 #-0,0866835#1,026575#3,385714#-0,0999082#0,8109629#3,404266# 0,2741958#0,822364#3,573834#0,2977755#0,8567486#3,040354#0,2209556#0,8282063#3,622798#0,2465201#0,8280626#2,997738#0,002619416#0,731518#3,482649#0,007394075#0,6826481#3,02067#-0,1043941#0,6854577#3,252691#-0,1223219#0,5991976#3,290327#-0,04458225#0,3320351#3,344212#-0,09818494#0,2399564#3,314415#-0,09288767#0,2244363#3,3057#-0,1042247#0,2151058#3,316273#-0,0125889#-0,2552702#3,332773#-0,2961771#-0,2771438#3,381053#0,1820671#-0,6064286#3,269914#-0,458774#-0,5888731#3,299264#0,09215647#-0,6532024#3,24288#-0,5486847#-0,6356468#3,27223#0  
frame20 #-0,08541507#1,031162#3,385934#-0,09830163#0,814393#3,401325# 0,2527677#0,8811418#3,706956#0,2699655#0,8648543#2,971342#0,1880144#0,8460956#3,64701#0,2370108#0,8338981#2,970992#-0,006245501#0,7409567#3,482517#-0,003771484#0,6846743#3,01617#-0,1027257#0,6889678#3,249733#-0,1276984#0,5981343#3,287723#-0,04364743#0,3342165#3,352552#-0,09329775#0,2430842#3,318015#-0,07983022#0,2287063#3,319371#-0,1030282#0,2149145#3,315784#0,03788248#-0,2700119#3,314353#-0,2991022#-0,2784803#3,3815#0,1795524#-0,6090636#3,270721#-0,4587851#-0,5891691#3,298975#0,09354647#-0,6561421#3,23298#-0,5447911#-0,6362476#3,261235#0  
