frame1 #-0,224266#1,008138#3,529101#-0,1840404#0,7819942#3,460077# -0,1195706#0,1512573#3,140188#-0,2848397#0,1040931#3,393437#-0,06888773#0,1299722#3,189613#-0,321126#0,1750836#3,453822#-0,04183362#0,3171733#3,376826#-0,4101356#0,4149017#3,467241#-0,04126415#0,6578398#3,467293#-0,3237513#0,6275138#3,383648#-0,1883878#0,3736594#3,438492#-0,1720987#0,3056431#3,37494#-0,1068669#0,2457655#3,384627#-0,2339861#0,2321188#3,337215#0,02940325#-0,2167322#3,335842#-0,3524286#-0,25774#3,353344#0,1465967#-0,5798735#3,276494#-0,4707746#-0,6149241#3,337525#0,02314426#-0,5951221#3,288989#-0,4435425#-0,6644571#3,244666#0  
frame2 #-0,1675235#1,000414#3,534603#-0,1788514#0,772619#3,455392# -0,0690373#0,2049456#3,256563#-0,2699261#0,1980655#3,242393#-0,03836572#0,2736588#3,318823#-0,3400737#0,2499795#3,291062#0,05364903#0,4797986#3,520409#-0,3959658#0,4321957#3,48586#-0,03683968#0,657616#3,465255#-0,3195648#0,6309232#3,385895#-0,1865503#0,3737181#3,437242#-0,1710469#0,3059943#3,373675#-0,1053733#0,2460969#3,38197#-0,2327358#0,2334505#3,337477#0,02918523#-0,2170333#3,334326#-0,3533746#-0,2578289#3,35296#0,143435#-0,5811031#3,280571#-0,4620175#-0,6083172#3,341133#0,1695325#-0,6306021#3,187485#-0,5142058#-0,6795133#3,314108#0  
frame3 #-0,1695001#0,9978577#3,534416#-0,1771701#0,7703469#3,454079# -0,03960748#0,2042706#3,29426#-0,2521535#0,1849126#3,229992#-0,08059998#0,2599894#3,268668#-0,3161653#0,2750763#3,293128#-0,2467104#0,4965861#3,316217#-0,4061512#0,4836315#3,4897#-0,02443712#0,6516338#3,451039#-0,3171947#0,6353579#3,394964#-0,1802928#0,3727725#3,436896#-0,169057#0,3057068#3,372695#-0,1005093#0,2436052#3,376259#-0,2316198#0,234007#3,338536#0,02914798#-0,2167684#3,333909#-0,3535316#-0,2582681#3,355666#0,1416658#-0,5810593#3,282742#-0,4687703#-0,6129348#3,336866#0,1601259#-0,6307021#3,188049#-0,4503103#-0,6625776#3,242172#0  
frame4 #-0,1037425#0,9972227#3,508311#-0,173538#0,7770031#3,455589# -0,05410086#0,1906161#3,278676#-0,2564108#0,2496115#3,295309#-0,04208079#0,2873945#3,30151#-0,3379964#0,2999543#3,324315#-0,2420127#0,4980922#3,30917#-0,420274#0,5146533#3,516697#-0,01698256#0,6520127#3,438565#-0,3157064#0,6380084#3,404356#-0,1738395#0,3745426#3,436535#-0,1667076#0,3073902#3,371643#-0,09728907#0,2447751#3,372823#-0,2305555#0,2357836#3,339281#0,02926954#-0,2169633#3,33391#-0,3540152#-0,2581562#3,357652#0,1380276#-0,579302#3,285023#-0,4676783#-0,6124236#3,335869#0,1491319#-0,629238#3,189005#-0,456574#-0,6623597#3,23985#0  
frame5 #-0,08858287#1,032538#3,480303#-0,1420874#0,8126636#3,462778# 0,2292385#0,5815266#3,635026#-0,2453872#0,1558979#3,240017#0,1577231#0,5707881#3,627642#-0,3228524#0,2040188#3,276843#0,05414363#0,4639361#3,462575#-0,3122469#0,3963116#3,387348#-0,01792774#0,646147#3,380007#-0,2511046#0,6716774#3,409829#-0,156863#0,3750787#3,432573#-0,1623994#0,306061#3,366407#-0,1024692#0,2461483#3,350255#-0,2172369#0,2500975#3,345855#0,0283622#-0,2184334#3,336299#-0,3501956#-0,2529718#3,368279#0,1171036#-0,5849431#3,294578#-0,4515641#-0,5556815#3,313337#0,1078442#-0,6317928#3,204959#-0,4608235#-0,6025313#3,223717#0  
frame6 #-0,1220371#1,032153#3,455573#-0,142929#0,8123097#3,461172# 0,2200429#0,5956265#3,585158#-0,2582491#0,146342#3,250247#0,1526222#0,5700324#3,588444#-0,3237876#0,209374#3,285897#0,06083363#0,4840865#3,432076#-0,3125417#0,3999285#3,394385#-0,02831512#0,6531922#3,368599#-0,2860427#0,6673046#3,435993#-0,1488228#0,3788929#3,429518#-0,1626895#0,3094087#3,364764#-0,1051923#0,2518635#3,342861#-0,2192514#0,2551569#3,351887#0,02651031#-0,2238779#3,33942#-0,3456087#-0,2509733#3,377244#0,1220103#-0,5903294#3,309066#-0,452962#-0,5604117#3,310965#0,1267438#-0,6652598#3,27575#-0,4742969#-0,6049385#3,227896#0  
frame7 #-0,1141897#1,031395#3,448844#-0,1413403#0,8102242#3,456587# 0,1967623#0,6343577#3,655286#-0,3741195#0,02075643#3,323129#0,1699384#0,5990667#3,599049#-0,3585691#0,1151923#3,338154#0,08946662#0,4931939#3,445407#-0,311918#0,3984999#3,398297#-0,03663468#0,6558257#3,351965#-0,2163691#0,6713351#3,397831#-0,1463136#0,3740627#3,425633#-0,1601429#0,3022034#3,360088#-0,1103536#0,2506593#3,33863#-0,209423#0,2550418#3,355077#0,02576267#-0,2429654#3,345104#-0,3434472#-0,2526373#3,381786#0,1239404#-0,5919357#3,31076#-0,4535728#-0,5596455#3,308526#0,1004211#-0,6695938#3,288491#-0,4742945#-0,6052526#3,223146#0  
frame8 #-0,1194099#1,032185#3,450414#-0,1403844#0,8088652#3,451176# 0,2920916#0,6640491#3,499967#-0,216241#0,1222841#3,240479#0,2246821#0,655079#3,530636#-0,3026702#0,1261654#3,292455#0,128547#0,5127857#3,417776#-0,3059831#0,4007019#3,400077#-0,06760909#0,6582208#3,325887#-0,2679625#0,6129218#3,413924#-0,1352893#0,3753666#3,420412#-0,1613223#0,3029417#3,359018#-0,117892#0,2598154#3,331584#-0,2103303#0,2532923#3,357079#0,02271703#-0,251814#3,345858#-0,3442019#-0,2586843#3,391351#0,1255804#-0,5928049#3,313844#-0,457184#-0,5633523#3,307264#0,09858016#-0,6715353#3,296686#-0,4978967#-0,6089472#3,228148#0  
frame9 #-0,1206469#1,027159#3,424901#-0,139773#0,8097571#3,448606# 0,2654008#0,7175477#3,533701#-0,1345246#0,1160847#3,190497#0,2326564#0,665583#3,494736#-0,1738572#0,1924649#3,238492#0,1344232#0,5096889#3,392948#-0,2918551#0,4216057#3,397584#-0,0755904#0,6563901#3,321263#-0,1688494#0,6812715#3,359384#-0,1437215#0,3700966#3,42138#-0,165993#0,2943226#3,357704#-0,1459554#0,2532845#3,332565#-0,2015911#0,2581899#3,362943#-0,0381845#-0,2423323#3,361261#-0,3456859#-0,2659559#3,398209#0,126326#-0,5913454#3,316429#-0,478662#-0,5903635#3,31952#0,0958014#-0,6375391#3,232296#-0,5091866#-0,6365572#3,235386#0  
frame10 #-0,1219118#1,028116#3,429198#-0,1390329#0,8083948#3,44089# 0,2472586#0,6866077#3,545691#-0,1228501#0,1321712#3,181064#0,2195556#0,6459804#3,474068#-0,1638156#0,2042319#3,232781#0,1364467#0,5240985#3,274298#-0,286712#0,420414#3,403032#-0,09268267#0,6570426#3,310069#-0,2312799#0,627149#3,399173#-0,1280109#0,35941#3,410775#-0,1629093#0,2800345#3,354578#-0,1363315#0,2410887#3,331012#-0,1988459#0,2507438#3,362943#0,01916626#-0,2563365#3,346344#-0,3478252#-0,2678263#3,408046#0,1268359#-0,5906323#3,318906#-0,4958489#-0,5794234#3,306422#0,07555643#-0,6347725#3,248373#-0,5134938#-0,6587017#3,323903#0  
frame11 #-0,1508058#1,021986#3,411955#-0,1409285#0,8070858#3,436536# 0,2669727#0,6998586#3,401282#0,2047006#0,7604529#3,299999#0,183134#0,6497073#3,388453#0,1395781#0,7580279#3,267485#0,09335013#0,5470842#3,234004#0,06354918#0,5925878#3,163471#-0,1399442#0,6705854#3,281412#-0,1646172#0,6412738#3,300745#-0,1255992#0,3388236#3,398659#-0,1703689#0,2538034#3,350023#-0,1548162#0,2329346#3,333278#-0,1893602#0,2439133#3,360384#0,01819142#-0,2566951#3,344664#-0,3523781#-0,2695911#3,418173#0,1294965#-0,5896113#3,324924#-0,5066118#-0,5915533#3,312416#0,06523943#-0,6320691#3,268493#-0,5158066#-0,6717636#3,320669#0  
frame12 #-0,1491112#1,02033#3,406365#-0,14572#0,8058156#3,430569# 0,2608854#0,7350535#3,465713#0,2185917#0,7128954#3,138768#0,2037352#0,7308723#3,540614#0,1651133#0,6951264#3,095655#-0,03823359#0,6726781#3,499612#-0,04419243#0,6481863#3,093729#-0,1879748#0,6608511#3,279761#-0,1760169#0,6374248#3,292978#-0,1265435#0,347046#3,325421#-0,1759731#0,2499307#3,348698#-0,1776924#0,2297319#3,343525#-0,1843404#0,2455922#3,354025#0,01139337#-0,2601975#3,337992#-0,3475632#-0,2614673#3,424219#0,1327054#-0,5911451#3,32173#-0,5100484#-0,5857025#3,314733#0,06755947#-0,6337415#3,374434#-0,5751944#-0,6282989#3,367436#0  
frame13 #-0,1681148#1,04875#3,382687#-0,1848257#0,8347523#3,410266# 0,1846007#0,8743696#3,602466#0,173717#0,8662033#3,001826#0,126361#0,8412191#3,626003#0,09670375#0,8210924#2,966214#-0,1046843#0,7383471#3,49755#-0,114798#0,6976715#3,010444#-0,2306217#0,6865353#3,270144#-0,1927797#0,6024256#3,289442#-0,1325814#0,3545927#3,314509#-0,168641#0,255013#3,347401#-0,1686911#0,2346132#3,350204#-0,1699649#0,2389277#3,337762#-0,01759289#-0,2679582#3,328228#-0,3984465#-0,3138084#3,410441#0,1028992#-0,5677616#3,295582#-0,5171903#-0,586427#3,312588#0,183617#-0,630499#3,32969#-0,5696766#-0,6308776#3,376241#0  
frame14 #-0,1801589#0,8780562#3,377469#-0,1374461#0,6567932#3,310468# 0,2461409#1,000287#3,846357#0,1590478#0,9373822#2,93266#0,02705716#0,7802762#3,59144#0,08622185#0,8753761#2,913451#-0,1029017#0,6278855#3,394473#-0,121977#0,7093629#2,99976#-0,1837555#0,5089128#3,170216#-0,1993113#0,5900981#3,283766#-0,09841679#0,2978204#3,363291#-0,1566284#0,2283208#3,366904#-0,1460513#0,1994951#3,357293#-0,1687433#0,2233603#3,380158#-0,02060845#-0,2773913#3,320811#-0,3445449#-0,260727#3,419143#0,1352026#-0,5923099#3,308093#-0,5150688#-0,5804541#3,316#0,05180354#-0,6342422#3,298016#-0,5984679#-0,6223864#3,305923#0  
frame15 #-0,181154#0,9614828#3,440289#-0,1177867#0,7562506#3,464586# 0,1318281#0,9413661#3,78124#0,1470889#0,9473106#2,918026#0,08050489#0,882737#3,71766#0,07291948#0,8848467#2,891362#-0,0794799#0,7222894#3,549503#-0,1228423#0,7138389#2,994646#-0,1640961#0,6083702#3,324334#-0,2158848#0,5977665#3,274263#-0,1904717#0,3682696#3,417939#-0,1579175#0,2908264#3,362934#-0,143741#0,2621546#3,382205#-0,1797777#0,2960037#3,335546#-0,02063494#-0,2777948#3,320575#-0,3369594#-0,1895375#3,423297#0,1411394#-0,5976789#3,310346#-0,5080725#-0,5664117#3,318187#0,1981973#-0,6467617#3,336898#-0,4486546#-0,6080408#3,258582#0  
frame16 #-0,224099#1,064896#3,365256#-0,2074666#0,8476809#3,381678# 0,08969445#0,9297534#3,727618#0,1365194#0,9459442#2,913429#0,0313547#0,8853896#3,658647#0,06704263#0,8803302#2,886803#-0,1420626#0,7627222#3,473949#-0,1261296#0,7098111#2,997422#-0,253776#0,6998006#3,241426#-0,2120373#0,5893639#3,2778#-0,1091201#0,4005443#3,316917#-0,1497158#0,3006606#3,345694#-0,1481683#0,2606611#3,371238#-0,1290064#0,2730514#3,304738#-0,02023832#-0,2785453#3,320932#-0,3378571#-0,1940893#3,426596#0,1418528#-0,5989129#3,311765#-0,5119905#-0,5698844#3,315552#0,07370252#-0,6452901#3,358374#-0,5801408#-0,6162616#3,362161#0  
frame17 #-0,223051#1,06437#3,361699#-0,2082794#0,8483722#3,384707# 0,06056222#0,9141905#3,689193#0,1318755#0,9390186#2,908282#0,00707756#0,8631817#3,679827#0,06091022#0,8706404#2,887121#-0,1630843#0,7477829#3,487965#-0,12649#0,7066845#3,002085#-0,2545888#0,7004918#3,244455#-0,2215877#0,5852726#3,278864#-0,1049365#0,4005003#3,323987#-0,1480779#0,3003004#3,342522#-0,1478044#0,2630885#3,347921#-0,1304861#0,27497#3,311447#-0,01947617#-0,2800397#3,322262#-0,349118#-0,1811294#3,424486#0,1430996#-0,5998151#3,313038#-0,5087563#-0,5653442#3,316108#0,0681936#-0,6470835#3,348519#-0,5836623#-0,6126126#3,351589#0  
frame18 #-0,2179931#1,05456#3,370145#-0,2063971#0,8371637#3,39322# 0,07253364#0,9103873#3,682242#0,1365867#0,9386327#2,907898#0,01086165#0,8706567#3,67777#0,06350604#0,8651392#2,892064#-0,1630175#0,7421399#3,496426#-0,1281238#0,7020088#3,004588#-0,2527064#0,6892833#3,252969#-0,2257794#0,5820324#3,281715#-0,1026981#0,394687#3,329992#-0,1458716#0,295837#3,344207#-0,1469177#0,2608807#3,351721#-0,1320282#0,2729557#3,329507#-0,02098202#-0,2786716#3,323389#-0,282274#-0,1860836#3,428006#0,09883489#-0,5745085#3,296796#-0,4940155#-0,5466334#3,32064#0,188087#-0,6224465#3,341976#-0,5717945#-0,5947205#3,351341#0  
frame19 #-0,2111539#1,043967#3,374804#-0,2111348#0,8269738#3,402857# 0,0595584#0,9031957#3,691613#0,1414113#0,934267#2,912488#-0,001920044#0,8633614#3,69418#0,06548715#0,8576892#2,900583#-0,170166#0,7380518#3,505721#-0,1340474#0,6927742#3,021054#-0,2574441#0,6790934#3,262604#-0,2270908#0,5681877#3,298026#-0,1025948#0,3918801#3,337256#-0,1447662#0,2935133#3,349551#-0,148109#0,2537453#3,370337#-0,1316775#0,2703395#3,331626#-0,02368481#-0,2796522#3,326565#-0,3439951#-0,17631#3,41288#0,1462459#-0,6017065#3,319748#-0,5066724#-0,5661114#3,31946#0,2106778#-0,6488386#3,342731#-0,5858465#-0,6154895#3,348529#0  
frame20 #-0,2138284#1,044969#3,379439#-0,2119453#0,8265048#3,404799# 0,06089615#0,8989209#3,68451#0,1385979#0,9308736#2,916409#-0,002251714#0,8641461#3,695944#0,07639585#0,8643326#2,904742#-0,1711121#0,7383611#3,507843#-0,1342106#0,6910984#3,023133#-0,2582546#0,6786243#3,264548#-0,2270977#0,5650084#3,299829#-0,1024295#0,3894922#3,341746#-0,1436832#0,290933#3,354494#-0,1479239#0,2533817#3,370657#-0,1305986#0,2674415#3,338244#-0,02539976#-0,2803147#3,327541#-0,3446697#-0,1759347#3,413853#0,1472867#-0,5986612#3,31978#-0,5072755#-0,5670036#3,321009#0,0678165#-0,6483805#3,349415#-0,5867456#-0,6167229#3,350644#0  
frame21 #-0,2156725#1,044493#3,381895#-0,213869#0,8250859#3,405872# 0,05799209#0,9006562#3,690475#0,1389795#0,9303322#2,91672#-0,004236028#0,863776#3,697198#0,07673137#0,8640632#2,907026#-0,1730825#0,7375847#3,509003#-0,1355648#0,6895329#3,023226#-0,2601784#0,6772054#3,26562#-0,2282968#0,5637628#3,300498#-0,1042196#0,3890592#3,342711#-0,1448646#0,2906839#3,356021#-0,149413#0,2532557#3,371902#-0,1312515#0,2670308#3,33859#-0,02724964#-0,2799817#3,329657#-0,3443024#-0,176242#3,413913#0,1433003#-0,5929427#3,317233#-0,507363#-0,5678554#3,31977#0,06384031#-0,6430004#3,348054#-0,586823#-0,6179131#3,350591#0  
