frame1 #-0,08605117#1,004703#3,294442#-0,0593654#0,7833279#3,308709# 0,3526818#0,7427686#3,399982#0,3279673#0,7589827#3,406496#0,289342#0,707854#3,384715#0,2910383#0,6976633#3,388052#0,05894707#0,6263573#3,410442#0,1764431#0,5911462#3,208227#-0,0304681#0,6585746#3,173217#-0,1030022#0,6347839#3,211787#-0,05936149#0,3227515#3,283616#-0,09450661#0,2436728#3,224345#-0,07984252#0,2235938#3,200228#-0,1124828#0,212888#3,239046#0,1149486#-0,244074#3,236469#-0,2508373#-0,2731195#3,295784#0,207979#-0,5942843#3,228835#-0,4514155#-0,5995113#3,203957#0,1560725#-0,643123#3,146755#-0,4600826#-0,6909232#3,193647#0  
frame2 #-0,07571474#1,005142#3,282001#-0,06043462#0,7842286#3,30444# 0,3343416#0,749736#3,383494#0,2829998#0,6726803#3,396438#0,3190306#0,7301783#3,386431#0,290217#0,7286845#3,348699#0,08411527#0,6494505#3,396478#0,1180751#0,6350749#3,157549#0,03226782#0,672217#3,146839#-0,1568071#0,6076901#3,253215#-0,06113493#0,4029345#3,287274#-0,09679811#0,3399552#3,231123#-0,05761005#0,3060028#3,200961#-0,1426937#0,2769657#3,242398#0,114438#-0,244449#3,230988#-0,2510076#-0,2726987#3,291925#0,2097441#-0,5934958#3,226249#-0,4520103#-0,6000045#3,202133#0,1551471#-0,6422793#3,145853#-0,4591027#-0,6920284#3,197205#0  
frame3 #-0,06293574#1,008639#3,277455#-0,07017564#0,7876058#3,302305# 0,3748601#0,8447962#3,366335#0,2997573#0,7694492#3,260269#0,3415246#0,7814904#3,385266#0,258721#0,7191038#3,295746#0,08424143#0,6602455#3,395106#0,09490867#0,6393315#3,091757#0,02698017#0,6731849#3,145146#-0,1029881#0,6239592#3,189458#-0,07104764#0,3947514#3,288185#-0,09689112#0,326966#3,226849#-0,06283884#0,302231#3,203285#-0,1345619#0,2752666#3,234892#0,1138583#-0,246511#3,227813#-0,250986#-0,2692143#3,292787#0,2124766#-0,5919716#3,223728#-0,4529608#-0,6007637#3,201967#0,1773229#-0,6362394#3,14389#-0,4881146#-0,6450315#3,122129#0  
frame4 #-0,06566374#1,012257#3,270979#-0,0825885#0,7914259#3,291695# 0,3286234#0,814579#3,42881#0,3355815#0,8130409#3,07583#0,2858569#0,8041788#3,485206#0,2808933#0,7744225#3,051152#0,05454255#0,7038423#3,385909#0,09176457#0,6910145#3,03238#0,01538993#0,675611#3,134847#-0,1144623#0,6036017#3,185438#-0,07559294#0,3895303#3,286477#-0,1040244#0,3186265#3,22897#-0,07888909#0,2971956#3,223852#-0,1376992#0,2664497#3,227024#0,1129466#-0,2510169#3,222352#-0,2567516#-0,2728571#3,295759#0,2202853#-0,5970382#3,221915#-0,4535109#-0,6000103#3,201315#0,1841889#-0,637213#3,151328#-0,4896074#-0,6401851#3,130728#0  
frame5 #-0,07303095#1,015361#3,270764#-0,08732684#0,7923959#3,289211# 0,2944251#0,897191#3,456287#0,2771555#0,9019621#3,013157#0,2503159#0,8864644#3,514454#0,2148492#0,8490002#2,955903#0,05636529#0,7430919#3,37725#0,04647408#0,7226815#2,975252#0,01067699#0,6763521#3,132315#-0,1234176#0,5801138#3,182222#-0,07704796#0,3667676#3,282335#-0,1034487#0,2867244#3,225007#-0,07507518#0,2521508#3,251582#-0,1328554#0,2039288#3,181623#0,1161955#-0,2625173#3,222469#-0,2606508#-0,2692983#3,299258#0,2201377#-0,5969843#3,221995#-0,4533826#-0,599638#3,201532#0,1824219#-0,6388838#3,148607#-0,4910984#-0,6415375#3,128144#0  
frame6 #-0,07501109#1,023966#3,261406#-0,09106701#0,8018038#3,288497# 0,2641638#0,9822547#3,59519#0,2210897#0,8855062#2,888925#0,2108538#0,9287014#3,53644#0,1494574#0,8206377#2,85127#0,0509236#0,7680416#3,37465#-0,07270032#0,6691203#2,966437#0,007008496#0,6853964#3,131569#-0,1236131#0,5785467#3,180944#-0,07371163#0,361882#3,283941#-0,09871671#0,2787406#3,227671#-0,07180489#0,2499563#3,25362#-0,1278463#0,1976472#3,18545#0,1165321#-0,2697156#3,22509#-0,2752841#-0,211034#3,329148#0,2198715#-0,5959535#3,222095#-0,4518411#-0,5979649#3,212163#0,1805443#-0,6393877#3,146543#-0,4911683#-0,6413992#3,136612#0  
frame7 #-0,08234788#1,051226#3,228952#-0,09742164#0,8306637#3,267712# 0,152128#0,9647608#3,664774#0,1689289#0,8803195#2,81995#0,1208761#0,9187697#3,585732#0,1171602#0,8296013#2,802781#0,02712009#0,7807963#3,363127#-0,0871748#0,6710519#2,948319#0,0006037985#0,7141854#3,110713#-0,1165218#0,5316048#3,187109#-0,06042939#0,3673683#3,281093#-0,09120406#0,2797987#3,234703#-0,06220938#0,2593577#3,260538#-0,1117342#0,186098#3,205861#0,1164633#-0,2732774#3,226191#-0,2742887#-0,2843549#3,311492#0,2198055#-0,5941943#3,221956#-0,4499211#-0,5953412#3,206332#0,1650997#-0,6396655#3,154066#-0,5046269#-0,6408124#3,138442#0  
frame8 #-0,02977842#0,9670582#3,527812#0,0584767#0,9519789#3,771045# 0,03302615#1,119224#3,737568#0,2139523#0,9308159#2,7413#0,07074535#1,064642#3,767505#0,06916229#0,7568991#3,089678#0,1839029#0,9008961#3,872002#-0,003489077#0,6591997#3,373545#0,1564928#0,8354911#3,614031#0,04063835#0,6468599#3,694233#0,0009289496#0,3601676#3,369381#-0,06964517#0,2691034#3,268641#-0,0575208#0,2628444#3,259598#-0,1068868#0,1853414#3,215705#0,1143799#-0,2774596#3,22676#-0,3032744#-0,384982#3,296525#0,2197487#-0,5937976#3,222047#-0,4838329#-0,6428411#3,193387#0,1333702#-0,6409665#3,196388#-0,5702115#-0,69001#3,167728#0  
frame9 #-0,0468691#0,9527188#3,239196#-0,02419896#0,7450452#3,311676# 0,1472438#0,8716426#3,693496#0,1678416#0,8903205#2,779689#0,08791406#0,8606105#3,645742#0,1119976#0,8415798#2,759004#0,1013962#0,6943656#3,414383#-0,09350963#0,6698692#2,902709#0,07381716#0,6285574#3,154663#-0,1152347#0,5242457#3,181033#-0,05170404#0,3055711#3,309008#-0,07169571#0,2321321#3,250741#-0,03353728#0,1706796#3,270243#-0,1114936#0,1822073#3,214171#0,112701#-0,2810611#3,226697#-0,2867618#-0,3743291#3,299146#0,2189236#-0,5926373#3,221874#-0,4708053#-0,6235374#3,20027#0,1983276#-0,6380534#3,135453#-0,4914013#-0,6689535#3,113848#0  
frame10 #-0,1201662#0,9457796#3,269603#-0,03280263#0,7445656#3,323103# 0,1139766#0,8788248#3,68952#0,1707366#0,8888766#2,781501#0,05386798#0,8334803#3,672359#0,1141231#0,8399789#2,762327#0,09286298#0,6940539#3,426561#-0,09386528#0,6690237#2,904798#0,0652135#0,6280777#3,16609#-0,1175974#0,5271115#3,181955#-0,05555699#0,3164589#3,313899#-0,07206392#0,2442004#3,253141#-0,03402021#0,2005662#3,268447#-0,1144292#0,1937805#3,219512#0,1127282#-0,2816575#3,226991#-0,2925997#-0,3711892#3,299407#0,2177318#-0,5928673#3,221565#-0,4685474#-0,62076#3,203589#0,2011864#-0,6376979#3,135378#-0,4850928#-0,6655906#3,117403#0  
frame11 #-0,119813#0,9860781#3,221479#-0,1605092#0,7984704#3,326387# 0,110059#0,959801#3,687033#0,1817009#0,8947887#2,785976#0,01215733#0,9653378#3,643085#0,1233534#0,842213#2,774162#0,005171306#0,7890747#3,413707#-0,09356991#0,6689023#2,905543#-0,0624931#0,6819825#3,169373#-0,1219148#0,5282599#3,180107#-0,06240206#0,337283#3,308611#-0,07412141#0,2492838#3,251235#-0,04486413#0,2097526#3,265819#-0,09709889#0,2096216#3,217479#0,1124848#-0,2820064#3,227194#-0,2853296#-0,3676024#3,299108#0,217329#-0,5914062#3,221409#-0,4629645#-0,6120247#3,207567#0,1822986#-0,6364244#3,142382#-0,4979949#-0,6570429#3,12854#0  
