frame1 #-0,01963336#1,018451#3,678156#-0,02901521#0,7980068#3,710592# -0,03542356#0,8281961#3,259018#-0,02418673#0,7291476#3,355135#0,0209612#0,7930948#3,281215#-0,1131524#0,7555436#3,336031#0,1649835#0,7193452#3,371863#-0,2903982#0,6459323#3,473693#0,1131309#0,6742821#3,62045#-0,1761533#0,6540829#3,648402#-0,01319292#0,4607873#3,684826#-0,01619649#0,4063382#3,628326#0,0509924#0,3467206#3,602484#-0,0791855#0,3376309#3,623063#0,09976573#-0,203227#3,644073#-0,1197842#-0,2062832#3,641227#0,09398615#-0,5548924#3,66255#-0,08787448#-0,5546558#3,688284#0,08483017#-0,6272342#3,614121#-0,09774734#-0,6338315#3,65228#0  
frame2 #-0,01713281#1,029212#3,678908#-0,03438822#0,8525692#3,703989# -0,005050454#0,8038253#3,302656#-0,01214504#0,7402488#3,336095#0,04181869#0,7859207#3,30294#-0,1004701#0,7659383#3,31451#0,1899784#0,6959994#3,381361#-0,2875238#0,6555731#3,452608#0,1300414#0,6520335#3,628165#-0,1679696#0,690324#3,656216#-0,01554161#0,4666849#3,688602#-0,01628874#0,4069397#3,632049#0,05183752#0,3421732#3,608213#-0,08035618#0,3441635#3,625623#0,1001714#-0,2026396#3,646753#-0,1187093#-0,2057453#3,644096#0,09045191#-0,5516527#3,668224#-0,08838393#-0,5521483#3,690528#0,08603159#-0,6170945#3,622053#-0,09558871#-0,6161611#3,662082#0  
frame3 #-0,01232103#1,036994#3,678403#-0,03114756#0,8529931#3,703519# 0,009735964#0,8002617#3,3095#0,05171942#0,6678405#3,407123#0,07282707#0,7656684#3,318451#-0,04511577#0,6603695#3,420921#0,2521084#0,6283894#3,436047#-0,2918937#0,6443689#3,460076#0,1310441#0,6515056#3,629511#-0,1659109#0,6907412#3,658005#-0,0149552#0,4680991#3,689554#-0,01618631#0,4070495#3,633336#0,05201703#0,3402184#3,610012#-0,08028649#0,3454242#3,626977#0,1001803#-0,2027987#3,647718#-0,1186083#-0,2058715#3,645329#0,08809782#-0,5522691#3,674084#-0,08807803#-0,5520285#3,691641#0,08576478#-0,6176119#3,62541#-0,09901398#-0,6193117#3,655144#0  
frame4 #-0,01197651#1,034518#3,677821#-0,02857246#0,8543869#3,702675# -0,0004486167#0,8031402#3,314853#0,05148701#0,6674145#3,408405#0,07360938#0,7655064#3,319761#-0,04684764#0,6595894#3,42271#0,2520105#0,6280333#3,436115#-0,2920279#0,6419395#3,465487#0,1312649#0,6509292#3,63032#-0,1676085#0,6942615#3,660861#-0,01468038#0,4721827#3,688999#-0,01646148#0,4092355#3,633091#0,05197552#0,3397839#3,610417#-0,0819498#0,3504076#3,626925#0,1000132#-0,2027466#3,648101#-0,1185524#-0,2059028#3,645919#0,08758307#-0,5519507#3,675625#-0,09009253#-0,5488455#3,694362#0,08542987#-0,6174489#3,626214#-0,09735682#-0,6131923#3,660012#0  
frame5 #-0,01158857#1,03479#3,676365#-0,02552962#0,8009677#3,70148# -0,01293344#0,8061677#3,325363#-0,05035076#0,794998#3,356949#0,07076696#0,7664993#3,323864#-0,1184303#0,7691551#3,359495#0,2539953#0,6266809#3,434362#-0,3109653#0,6281143#3,447622#0,1314811#0,6491929#3,629554#-0,1686132#0,6959274#3,661212#-0,01458957#0,4703327#3,688149#-0,01636634#0,4092766#3,632127#0,05307641#0,3363789#3,611453#-0,08187703#0,3509535#3,625485#0,1000955#-0,2020403#3,647629#-0,1181881#-0,2049991#3,645283#0,08696122#-0,5512011#3,675684#-0,09130774#-0,5487712#3,693616#0,08533737#-0,6169048#3,626307#-0,09583031#-0,6110196#3,659074#0  
frame6 #-0,00940205#1,060225#3,671335#-0,01732018#0,8711034#3,675906# 0,05908882#0,751857#3,316075#-0,1160206#0,7625819#3,360045#0,114507#0,7237292#3,362817#-0,1783005#0,7154461#3,387698#0,277463#0,5991346#3,446654#-0,315387#0,6028324#3,452795#0,132286#0,6463743#3,62383#-0,1778241#0,6479286#3,644005#-0,01415219#0,4755021#3,687853#-0,01607998#0,4091539#3,632465#0,05330234#0,3364414#3,612556#-0,082317#0,3484379#3,625906#0,09895635#-0,2035714#3,650402#-0,1179831#-0,2050531#3,646528#0,07629949#-0,556314#3,674597#-0,09132985#-0,5486653#3,694158#0,08530246#-0,6168807#3,626846#-0,0968891#-0,6108649#3,663263#0  
frame7 #-0,008664218#1,063002#3,67231#-0,01814985#0,8704265#3,673076# 0,06565157#0,742448#3,338296#-0,1241558#0,7508806#3,357734#0,1141433#0,7227925#3,36425#-0,1253277#0,7396391#3,388265#0,2828719#0,5863402#3,470937#-0,3153891#0,5909455#3,467874#0,1275369#0,6532694#3,616599#-0,1557347#0,684046#3,632171#-0,01405931#0,4726623#3,685036#-0,01465544#0,403142#3,630103#0,05274355#0,33354#3,612677#-0,07964855#0,3447676#3,626343#0,09926638#-0,204342#3,652179#-0,1179681#-0,2050587#3,64736#0,08125962#-0,5557283#3,674452#-0,09296081#-0,548897#3,694662#0,08443746#-0,6167963#3,632376#-0,09548736#-0,6098648#3,664306#0  
frame8 #-0,01470061#1,041391#3,672952#-0,01608378#0,8566724#3,678799# 0,0913562#0,7127992#3,374989#-0,1335441#0,7088751#3,402002#0,1005386#0,7059616#3,379596#-0,1325397#0,6989308#3,422941#0,283736#0,5695462#3,485442#-0,3115077#0,543446#3,517253#0,1233526#0,6799144#3,590046#-0,1821086#0,7268952#3,60555#-0,01317744#0,4696134#3,685021#-0,01336819#0,4010211#3,630006#0,05579311#0,3263314#3,612436#-0,07900627#0,3425506#3,626064#0,09937052#-0,2054678#3,653012#-0,117628#-0,2048939#3,647924#0,08124489#-0,5555299#3,675408#-0,09304235#-0,549073#3,694688#0,08504011#-0,6167815#3,633875#-0,09541058#-0,6088896#3,664631#0  
frame9 #-0,02271364#1,025811#3,67181#-0,01593277#0,8364038#3,686117# 0,1443921#0,5109687#3,337514#-0,1606769#0,4972657#3,38371#0,143866#0,5668896#3,429966#-0,2207507#0,4679526#3,409092#0,2734582#0,5240227#3,570963#-0,2992449#0,498313#3,589462#0,1469648#0,7015107#3,644024#-0,1967298#0,6966945#3,666353#-0,01081015#0,4623596#3,685683#-0,01309894#0,3960013#3,630472#0,05946776#0,3200012#3,612612#-0,08651447#0,3170091#3,624017#0,1000627#-0,2068332#3,654348#-0,1168556#-0,2055074#3,650667#0,08542647#-0,5540212#3,674741#-0,09239519#-0,5476624#3,694817#0,08544692#-0,6148611#3,631483#-0,09378427#-0,6095738#3,662801#0  
frame10 #-0,02546438#1,024742#3,670002#-0,01233825#0,8295776#3,678445# 0,2225518#0,345221#3,386064#-0,2609121#0,3227938#3,463485#0,2540705#0,4012738#3,489815#-0,2847682#0,3745683#3,541751#0,2458964#0,517587#3,645897#-0,2729305#0,5235254#3,662768#0,1471829#0,7013777#3,644027#-0,1942159#0,6960797#3,665308#-0,01052617#0,46542#3,684403#-0,01319803#0,4015121#3,629075#0,05850781#0,3276991#3,613093#-0,08620238#0,324086#3,621617#0,1003292#-0,2076418#3,655081#-0,1168578#-0,2059161#3,651159#0,08519692#-0,5530781#3,675809#-0,09149342#-0,5507349#3,696943#0,08605494#-0,6145852#3,630648#-0,09418325#-0,612404#3,668999#0  
frame11 #-0,03403129#1,032413#3,674545#-0,01295517#0,8338761#3,667369# 0,2327383#0,1387121#3,481132#-0,2496561#0,1346459#3,511262#0,2358475#0,22023#3,541836#-0,2518082#0,2235839#3,560509#0,2128445#0,4561681#3,658413#-0,2463984#0,4508641#3,697121#0,1425513#0,7001634#3,638678#-0,1930837#0,6960706#3,663499#-0,01077037#0,4673691#3,683589#-0,01399077#0,4018847#3,628801#0,05697282#0,3286801#3,613098#-0,08691279#0,3251148#3,62246#0,1011386#-0,2082481#3,656531#-0,1162366#-0,2061083#3,651979#0,08494246#-0,552479#3,674759#-0,09153086#-0,551407#3,696938#0,08623856#-0,6141358#3,629849#-0,09447944#-0,6143961#3,66765#0  
