frame1 #-0,008969838#1,039164#3,682205#-0,02447264#0,7994286#3,704908# 0,005963184#0,7299975#3,362485#-0,05672753#0,7115603#3,372253#0,09518106#0,7536984#3,344934#-0,1448361#0,7338376#3,348373#0,2462654#0,6257256#3,436052#-0,2852444#0,6414251#3,491768#0,1291944#0,6481015#3,628782#-0,180989#0,6572734#3,64248#-0,01572474#0,469014#3,68248#-0,01599149#0,4156789#3,626863#0,0553024#0,3456264#3,608132#-0,08428016#0,3497537#3,613497#0,09896642#-0,2004484#3,638674#-0,1162005#-0,2107768#3,640935#0,0994017#-0,5385285#3,663636#-0,08849464#-0,5485583#3,692468#0,08488009#-0,6098535#3,616002#-0,08997974#-0,6101323#3,667784#0  
frame2 #-0,0140568#1,029283#3,680336#-0,02510102#0,7992319#3,705959# 0,02768616#0,7747529#3,329581#-0,04328346#0,7322932#3,323065#0,09465814#0,7463458#3,33022#-0,1383916#0,7387207#3,347581#0,2473962#0,6262377#3,437902#-0,2872753#0,6432012#3,484702#0,1189117#0,6648606#3,623379#-0,1802324#0,6567742#3,643659#-0,01421292#0,4677312#3,683052#-0,01602989#0,4139291#3,627416#0,05462709#0,3457978#3,607551#-0,08266995#0,3459222#3,616697#0,09905508#-0,2007566#3,639556#-0,1166134#-0,2102592#3,641248#0,09752784#-0,5441906#3,663336#-0,08839971#-0,5494916#3,691981#0,08508211#-0,6113831#3,616914#-0,09065473#-0,6101278#3,667281#0  
frame3 #-0,004796324#1,076237#3,668833#-0,0266772#0,8769882#3,688375# -0,01159697#0,8060666#3,306577#-0,06100706#0,7763211#3,344023#0,09116562#0,7498235#3,330845#-0,1252834#0,7488158#3,335999#0,2476136#0,6264069#3,440111#-0,2832786#0,654093#3,471698#0,1168215#0,6748763#3,6344#-0,1803388#0,656849#3,64703#-0,01572955#0,4746096#3,685944#-0,01623199#0,4138178#3,631046#0,05384558#0,3468266#3,611097#-0,08282495#0,3450983#3,621266#0,09916748#-0,2010371#3,642706#-0,1169117#-0,2087485#3,644178#0,09739494#-0,546524#3,666402#-0,08656877#-0,5494879#3,692475#0,08413493#-0,614863#3,627747#-0,09155144#-0,60921#3,661772#0  
frame4 #-0,009053899#1,046804#3,677993#-0,03129007#0,8623803#3,698775# -0,01159662#0,8060642#3,307031#-0,05321737#0,7762079#3,327737#0,08984676#0,7524564#3,33121#-0,1188045#0,7544805#3,324576#0,2486479#0,6270547#3,444509#-0,2850747#0,657285#3,455598#0,1168589#0,6773732#3,636751#-0,1784496#0,6575602#3,65024#-0,01551553#0,473468#3,687379#-0,01630651#0,4131803#3,632344#0,05358196#0,3470684#3,612572#-0,08228868#0,3439755#3,622969#0,09948444#-0,2008427#3,643907#-0,116333#-0,207886#3,645045#0,09302729#-0,5462289#3,669914#-0,08706031#-0,5486745#3,693039#0,08447273#-0,6142504#3,627504#-0,09219335#-0,6098608#3,662393#0  
frame5 #-0,009319933#1,03722#3,681911#-0,02914425#0,8603838#3,699495# 0,029547#0,7864643#3,322509#-0,06093517#0,7695438#3,332912#0,08756997#0,7540814#3,329991#-0,1249286#0,7501637#3,332177#0,2492951#0,6273044#3,44333#-0,2909993#0,644607#3,461776#0,1168502#0,6792562#3,638283#-0,1780232#0,6570345#3,650822#-0,01544587#0,4733719#3,688417#-0,01611559#0,4125115#3,632997#0,05347523#0,3472553#3,61333#-0,0816523#0,3420554#3,624502#0,09954968#-0,2011591#3,644674#-0,1163438#-0,207887#3,645765#0,08948198#-0,5489191#3,675588#-0,08694245#-0,5488329#3,693601#0,08454044#-0,6150869#3,629001#-0,09568565#-0,6104443#3,658421#0  
frame6 #-0,008493908#1,03713#3,681197#-0,02872629#0,8609226#3,699094# 0,014664#0,8094879#3,332408#-0,05139162#0,7790245#3,329476#0,08402164#0,7516826#3,324337#-0,116155#0,7626399#3,334609#0,2497155#0,6272891#3,443535#-0,2939873#0,6504841#3,447578#0,1146227#0,6853069#3,643438#-0,1783612#0,6568922#3,650807#-0,01608967#0,4741796#3,688854#-0,0161326#0,4125089#3,63339#0,05298495#0,3486011#3,613434#-0,08157478#0,3414968#3,625539#0,09920473#-0,2020827#3,644987#-0,1165893#-0,2072889#3,646169#0,07074166#-0,5561551#3,681521#-0,08841557#-0,5472651#3,693313#0,07846309#-0,6175128#3,644446#-0,094392#-0,6080159#3,656506#0  
frame7 #-0,008781253#1,037759#3,679237#-0,02746696#0,8605288#3,699357# 0,006443433#0,8018447#3,332051#-0,05795094#0,7763616#3,338009#0,08335255#0,754758#3,325264#-0,1220971#0,7578778#3,3414#0,2499737#0,6267513#3,441888#-0,2929263#0,6421481#3,465404#0,115385#0,6861674#3,643355#-0,1784724#0,6567401#3,651359#-0,01594089#0,4750711#3,689024#-0,0162465#0,4127573#3,633414#0,05252451#0,3499737#3,613025#-0,08173627#0,3414162#3,625861#0,09910114#-0,202075#3,645366#-0,1166449#-0,2072417#3,646544#0,07514811#-0,5543698#3,681862#-0,08983905#-0,5459591#3,695019#0,07973436#-0,6171238#3,640545#-0,09444693#-0,6097491#3,658892#0  
frame8 #-0,00892575#1,037857#3,679931#-0,02698447#0,859688#3,699492# -0,009874054#0,8080565#3,315266#-0,06688149#0,7612939#3,348457#0,08082584#0,7576207#3,322269#-0,1208028#0,7665509#3,386017#0,2499975#0,6268415#3,432954#-0,2932436#0,6333457#3,48716#0,1155797#0,6865413#3,643058#-0,1777875#0,6561377#3,649743#-0,01608031#0,4749864#3,689556#-0,01621071#0,4124199#3,633587#0,05246635#0,3500272#3,613329#-0,08155771#0,3406182#3,626293#0,09930966#-0,2020237#3,646268#-0,1166693#-0,2059793#3,647261#0,08257571#-0,5570927#3,679493#-0,09120101#-0,5455358#3,694627#0,08014755#-0,617307#3,640601#-0,0941987#-0,6092024#3,658331#0  
frame9 #-0,01174026#1,031827#3,677958#-0,03813126#0,7948164#3,693213# -0,00891648#0,8043597#3,321006#-0,1058072#0,7973748#3,383792#0,08475485#0,7567942#3,33381#-0,1469008#0,7429893#3,323736#0,2540797#0,6224452#3,437906#-0,2888938#0,6356049#3,489735#0,1152229#0,6865349#3,642248#-0,1780215#0,6555805#3,648098#-0,01668883#0,4718506#3,688223#-0,01628553#0,4120503#3,632491#0,05245206#0,3500566#3,61237#-0,08126447#0,3400777#3,625218#0,09895296#-0,204302#3,647706#-0,1165388#-0,2063181#3,646633#0,08521808#-0,557901#3,677604#-0,09136533#-0,5468688#3,694283#0,08133285#-0,6185099#3,640934#-0,09345156#-0,6091853#3,658675#0  
frame10 #-0,01027781#1,042759#3,676382#-0,020329#0,8686485#3,663225# 0,06842267#0,7384751#3,347433#-0,1311307#0,7408482#3,355365#0,1155273#0,715839#3,371172#-0,1413596#0,7264159#3,394541#0,2847498#0,5818982#3,479034#-0,3153904#0,5834557#3,476902#0,1215951#0,6636826#3,611753#-0,1779132#0,6545179#3,648393#-0,01110533#0,473643#3,684821#-0,01480186#0,4046471#3,629549#0,05431493#0,3405339#3,611336#-0,08079354#0,3350688#3,625439#0,09933665#-0,2051101#3,649961#-0,1165588#-0,2062907#3,647188#0,0864332#-0,5572795#3,677021#-0,09305913#-0,5474503#3,694597#0,08140429#-0,618403#3,641352#-0,09272218#-0,607576#3,661139#0  
frame11 #-0,01490969#1,039578#3,672887#-0,01664275#0,8541658#3,675419# 0,08856209#0,7159274#3,371505#-0,1335441#0,7088751#3,401839#0,1088149#0,7010067#3,381882#-0,14278#0,6900342#3,427376#0,2844657#0,5716011#3,485736#-0,3115077#0,543446#3,517006#0,1223605#0,6769939#3,594618#-0,1720438#0,6771386#3,620623#-0,0112431#0,4686111#3,684201#-0,01359744#0,4003437#3,628801#0,05519351#0,3350579#3,611122#-0,08011557#0,3330663#3,625051#0,09943137#-0,2061327#3,650963#-0,1163597#-0,2060395#3,647599#0,08570695#-0,5568357#3,677628#-0,09315023#-0,5478141#3,694466#0,08236228#-0,6181605#3,641306#-0,09291504#-0,6077911#3,661244#0  
frame12 #-0,01966316#1,037596#3,676503#-0,01336811#0,8380997#3,682073# 0,09620908#0,6677415#3,382429#-0,1569875#0,6305998#3,385739#0,1399471#0,6420462#3,431655#-0,183919#0,6066915#3,410555#0,2787465#0,5488045#3,503325#-0,3157197#0,535516#3,518578#0,1430721#0,6952764#3,618794#-0,1800458#0,7032657#3,645725#-0,011089#0,4686849#3,684869#-0,01320953#0,4034745#3,629687#0,05554124#0,3357247#3,611664#-0,08040394#0,3337963#3,625313#0,09955318#-0,2065099#3,652104#-0,1162733#-0,2060815#3,648052#0,08442631#-0,5566851#3,677891#-0,09156392#-0,5477219#3,694517#0,0819594#-0,6187664#3,643213#-0,09238307#-0,6075779#3,661327#0  
frame13 #-0,01939261#1,037581#3,676559#-0,01258903#0,833772#3,682751# 0,1296421#0,6048307#3,38046#-0,179771#0,5676103#3,41319#0,1547361#0,6032972#3,405112#-0,1628692#0,5894704#3,433492#0,277525#0,5134293#3,528171#-0,3047086#0,5187842#3,552299#0,1433459#0,700332#3,626378#-0,182813#0,6985742#3,644998#-0,01186785#0,4691676#3,685217#-0,01322802#0,4054617#3,629872#0,05580699#0,3365338#3,611836#-0,08095639#0,334159#3,625192#0,09965251#-0,2075238#3,652772#-0,1162047#-0,2061048#3,648165#0,08437183#-0,5559056#3,678803#-0,09231609#-0,5460315#3,695463#0,08212296#-0,617263#3,63948#-0,09271161#-0,6061359#3,661856#0  
frame14 #-0,02858865#1,033371#3,667501#-0,01411977#0,829511#3,681764# 0,1698239#0,4205289#3,328707#-0,2195452#0,3779477#3,369681#0,1874743#0,4441894#3,39081#-0,2353673#0,4114615#3,4276#0,2494479#0,5272654#3,622811#-0,2909214#0,5291346#3,644911#0,1524808#0,6951391#3,635775#-0,1858556#0,6976273#3,65013#-0,01313736#0,4705863#3,684925#-0,0142697#0,4088523#3,629253#0,05582746#0,3367788#3,611849#-0,08324602#0,3355422#3,623684#0,1000801#-0,2079768#3,653453#-0,1154545#-0,2067571#3,649454#0,08441466#-0,5558468#3,679012#-0,09078228#-0,5477481#3,694756#0,0822622#-0,6174727#3,638727#-0,09226101#-0,6052988#3,662384#0  
frame15 #-0,02976662#1,030374#3,666681#-0,01225337#0,8270599#3,677814# 0,2225518#0,345221#3,385906#-0,2609637#0,3270739#3,468452#0,2537899#0,4005955#3,491517#-0,2840095#0,3770898#3,54406#0,247668#0,5224148#3,634265#-0,2816407#0,5262411#3,654004#0,152023#0,6959766#3,637223#-0,1859133#0,6967869#3,652845#-0,01253992#0,471265#3,684397#-0,01417744#0,4092602#3,628911#0,05591394#0,3370103#3,611974#-0,08357684#0,3355639#3,622835#0,1003291#-0,2085787#3,654218#-0,1156194#-0,2070343#3,650059#0,0843627#-0,5547241#3,679286#-0,09034249#-0,5506961#3,696765#0,08457578#-0,6160549#3,634562#-0,09323511#-0,6085109#3,669292#0  
frame16 #-0,02808796#1,028418#3,66029#-0,01360709#0,8263576#3,676241# 0,2401047#0,2820009#3,449722#-0,2514239#0,2270163#3,445388#0,2470658#0,3425493#3,521148#-0,26737#0,3004289#3,501713#0,2214046#0,4800574#3,653597#-0,2679366#0,4775296#3,68266#0,1511996#0,6962034#3,638302#-0,1866508#0,6965934#3,653937#-0,01240435#0,4718412#3,683995#-0,0140241#0,4098664#3,628533#0,05639914#0,3375921#3,611673#-0,0835676#0,3355965#3,622711#0,1006193#-0,2086959#3,654724#-0,1158844#-0,2072937#3,650393#0,08375211#-0,554756#3,678458#-0,0894935#-0,5529294#3,696711#0,08465587#-0,616215#3,634579#-0,09286528#-0,6110311#3,667696#0  
frame17 #-0,02837027#1,028366#3,66011#-0,01491113#0,8256571#3,67472# 0,2417094#0,1819098#3,443507#-0,2567009#0,1497782#3,453644#0,2466319#0,2625681#3,505198#-0,2603357#0,2553463#3,531104#0,2201852#0,4684744#3,654767#-0,2547081#0,4635817#3,679574#0,1511693#0,6961864#3,638291#-0,1884414#0,6970583#3,656077#-0,01259155#0,4721799#3,683735#-0,0145418#0,4101797#3,628332#0,05634599#0,3375823#3,611683#-0,08490086#0,3353691#3,622339#0,1010522#-0,2098694#3,655312#-0,1158967#-0,2072018#3,651207#0,08282981#-0,5558155#3,68316#-0,08975642#-0,5528018#3,696054#0,08528688#-0,6164532#3,634731#-0,09369407#-0,6112766#3,665776#0  
frame18 #-0,03584114#1,034523#3,669675#-0,01430199#0,8315759#3,665704# 0,2323894#0,1493337#3,486432#-0,2501962#0,1460616#3,515331#0,2353729#0,2275567#3,544683#-0,2528632#0,2327674#3,560006#0,2161968#0,4595127#3,656993#-0,251319#0,4591483#3,686185#0,1451592#0,6969254#3,63503#-0,1884484#0,6970364#3,656099#-0,01248359#0,4726184#3,683087#-0,01534834#0,4087977#3,627972#0,05542529#0,3364979#3,611811#-0,08601981#0,3340074#3,623025#0,1016234#-0,2100305#3,656437#-0,1154851#-0,2072087#3,651847#0,08306864#-0,5537555#3,678647#-0,08993276#-0,5531207#3,696106#0,08577655#-0,6152576#3,632354#-0,09403059#-0,6125254#3,665282#0  
frame19 #-0,03701097#1,032927#3,668179#-0,01443444#0,8311077#3,663338# 0,2260898#0,121042#3,549779#-0,2498031#0,09758866#3,544791#0,224627#0,2022089#3,609564#-0,2537606#0,2212778#3,56519#0,2161166#0,4565643#3,657649#-0,2508667#0,454704#3,686096#0,1433727#0,697364#3,633501#-0,1888456#0,6970539#3,65559#-0,01224067#0,472449#3,682498#-0,01531853#0,4083453#3,627906#0,05547121#0,336064#3,61188#-0,08602376#0,3332426#3,623593#0,1017088#-0,2100006#3,656497#-0,115024#-0,2085243#3,652365#0,08073968#-0,5551404#3,676053#-0,08920876#-0,5531137#3,695979#0,08599384#-0,6152623#3,629855#-0,09398882#-0,6128471#3,66366#0  
frame20 #-0,0381766#1,033051#3,664677#-0,0159184#0,8308697#3,662083# 0,2305953#0,09834936#3,609996#-0,2464749#0,1368884#3,569986#0,2288941#0,1972194#3,629617#-0,249928#0,2043048#3,601536#0,2122803#0,4567386#3,66185#-0,2441692#0,45037#3,683323#0,1392045#0,6997857#3,629703#-0,1878046#0,6987911#3,655334#-0,01186656#0,4723768#3,682083#-0,01547362#0,4079966#3,627993#0,05506375#0,3359453#3,612243#-0,08584266#0,3331335#3,624023#0,102354#-0,2100048#3,656914#-0,1148322#-0,2092116#3,65349#0,0795579#-0,5547965#3,675856#-0,0836255#-0,5514124#3,695686#0,08633759#-0,6155251#3,629442#-0,09811764#-0,6096506#3,661845#0  
frame21 #-0,03705256#1,030157#3,659519#-0,01522091#0,8297747#3,658315# 0,2237011#0,1589651#3,620931#-0,2374443#0,1517597#3,58423#0,2096149#0,2198375#3,660536#-0,2405079#0,2183408#3,616323#0,2060216#0,4731728#3,670481#-0,238521#0,4511579#3,685611#0,139162#0,6997859#3,629483#-0,1878409#0,6991271#3,655043#-0,01203537#0,4728718#3,681372#-0,01568146#0,4080248#3,628081#0,05451341#0,3359222#3,613319#-0,08641314#0,3332616#3,624617#0,1014854#-0,2103587#3,655344#-0,1143473#-0,2100056#3,654079#0,07930407#-0,5560297#3,675559#-0,08516011#-0,5523046#3,69553#0,08632691#-0,6163575#3,629304#-0,0970632#-0,6115948#3,661296#0  
frame22 #-0,03680371#1,030641#3,658767#-0,01559241#0,8288774#3,653266# 0,2010198#0,2093231#3,646826#-0,2261209#0,1843051#3,647981#0,18599#0,2691707#3,687088#-0,2294035#0,2505485#3,68007#0,2049652#0,4968645#3,676587#-0,2311233#0,4521246#3,684573#0,1399056#0,699439#3,628562#-0,1878376#0,699503#3,654271#-0,01224449#0,4737206#3,679806#-0,01577099#0,4081537#3,627993#0,05453146#0,335947#3,61346#-0,08676141#0,3334346#3,624974#0,09821995#-0,2125339#3,654203#-0,1141371#-0,2118442#3,654791#0,08542219#-0,5535065#3,674127#-0,08758597#-0,5534276#3,695013#0,08605479#-0,6164337#3,627841#-0,09487244#-0,6142637#3,663419#0  
frame23 #-0,03674827#1,029478#3,653928#-0,01567674#0,8304122#3,650402# 0,1998448#0,1991257#3,649114#-0,2247553#0,1836882#3,642061#0,1848704#0,2587527#3,689228#-0,2280258#0,2496874#3,674032#0,2041228#0,4932392#3,678683#-0,227824#0,4673662#3,680344#0,1397783#0,699451#3,628198#-0,1875453#0,7010406#3,652709#-0,01276807#0,474283#3,677982#-0,01594706#0,4081643#3,627817#0,05436685#0,3360142#3,613881#-0,08716351#0,3334951#3,624902#0,093064#-0,2141133#3,651029#-0,1126196#-0,2117208#3,653386#0,08920189#-0,5516806#3,674942#-0,08846392#-0,5541407#3,693699#0,08629405#-0,6158166#3,626855#-0,09483653#-0,6150306#3,663038#0  
frame24 #-0,03867985#1,028375#3,647174#-0,0162661#0,8309716#3,647408# 0,1983151#0,2017128#3,637272#-0,2252416#0,2017515#3,648019#0,1834061#0,2610795#3,677211#-0,2284978#0,2674627#3,67985#0,2024094#0,4969867#3,668629#-0,223842#0,4625444#3,68384#0,1399502#0,699083#3,62834#-0,1875988#0,7011863#3,651975#-0,01313103#0,4750387#3,675981#-0,01602913#0,4083239#3,627672#0,05441856#0,3360893#3,613908#-0,0874052#0,3336892#3,625191#0,08920386#-0,2143334#3,64875#-0,1118205#-0,2113712#3,652614#0,08095688#-0,5520502#3,678966#-0,08869519#-0,5563431#3,694753#0,08676515#-0,6157675#3,626791#-0,09408967#-0,6172048#3,664714#0  
frame25 #-0,03859672#1,027647#3,645788#-0,01603948#0,8307741#3,646634# 0,2054977#0,2011096#3,633395#-0,2256448#0,2002078#3,638999#0,1906565#0,2602063#3,673152#-0,2288862#0,2656201#3,670685#0,2022528#0,4954745#3,669742#-0,2229657#0,4611922#3,684315#0,1400899#0,6991225#3,628505#-0,1872316#0,7011138#3,650936#-0,01336765#0,4751549#3,674485#-0,01604033#0,4083024#3,627634#0,05444773#0,3360155#3,614186#-0,08749261#0,333583#3,625408#0,08882798#-0,2142905#3,648493#-0,1111214#-0,2110202#3,652101#0,0802477#-0,5536543#3,679164#-0,09032676#-0,5566658#3,694078#0,08649221#-0,6156321#3,630408#-0,09322636#-0,6166145#3,66283#0  
frame26 #-0,03209201#1,029754#3,644906#-0,01583862#0,830994#3,646679# 0,2066745#0,1995782#3,635001#-0,225123#0,1970565#3,633695#0,1918837#0,2584742#3,674623#-0,2283534#0,2622466#3,665274#0,2015157#0,4713064#3,675472#-0,2218102#0,476742#3,681982#0,1407614#0,7008347#3,628696#-0,1864512#0,7019734#3,649704#-0,01362224#0,4752918#3,67315#-0,01606549#0,4083152#3,627579#0,05442664#0,3360252#3,614183#-0,08753394#0,3336047#3,625406#0,08693993#-0,2143061#3,647626#-0,1105438#-0,2113529#3,650917#0,07980279#-0,5542499#3,678991#-0,08846924#-0,5571812#3,693769#0,08670892#-0,6158182#3,630568#-0,09153956#-0,6165349#3,662173#0  
frame27 #-0,03194879#1,029692#3,645146#-0,01570886#0,8307918#3,646993# 0,212458#0,190982#3,630197#-0,2262513#0,1882818#3,639432#0,1977355#0,2496061#3,669636#-0,2294667#0,253171#3,670865#0,202089#0,4732496#3,673363#-0,2204752#0,4717788#3,682511#0,1409491#0,7013208#3,629417#-0,1855447#0,7028184#3,648021#-0,01390347#0,4752923#3,672075#-0,01601817#0,4082932#3,62756#0,05451722#0,3360532#3,614327#-0,08742062#0,3335844#3,625397#0,08433517#-0,2154573#3,64621#-0,1103763#-0,2112923#3,651002#0,08532898#-0,5548286#3,676386#-0,08843421#-0,5566574#3,693527#0,086564#-0,6159005#3,630667#-0,09935342#-0,6109207#3,655913#0  
frame28 #-0,02878899#1,027501#3,644937#-0,01631307#0,8308486#3,648462# 0,2067251#0,1711045#3,632963#-0,2258514#0,1797198#3,627903#0,1920659#0,2294762#3,672233#-0,229053#0,2443299#3,659201#0,2025036#0,4720595#3,673345#-0,2214701#0,4656243#3,682863#0,1405127#0,7019714#3,630259#-0,1849646#0,7028028#3,646886#-0,01440055#0,4749851#3,671222#-0,01628973#0,4079771#3,627476#0,05426731#0,3359548#3,614281#-0,0875118#0,3334506#3,625383#0,08412948#-0,2153816#3,645907#-0,1103911#-0,2111954#3,651009#0,08687134#-0,5550582#3,677044#-0,08858432#-0,5562238#3,693027#0,08634141#-0,6162714#3,631304#-0,09976505#-0,6106527#3,656319#0  
frame29 #-0,02868021#1,026669#3,642991#-0,01554431#0,8311551#3,652173# 0,2059012#0,1772875#3,631325#-0,2250448#0,1827647#3,619934#0,1912917#0,2354615#3,670461#-0,2282356#0,2471557#3,651125#0,2041791#0,4545895#3,683944#-0,2216638#0,4667031#3,681284#0,1412363#0,7023885#3,630284#-0,1853281#0,7036475#3,648395#-0,01414764#0,4748132#3,671019#-0,01623616#0,4081252#3,627599#0,05455914#0,3360444#3,614678#-0,08755194#0,3334798#3,625329#0,08404677#-0,2151543#3,645592#-0,1103449#-0,211169#3,651028#0,08702644#-0,5548218#3,67715#-0,08913206#-0,5554165#3,69182#0,08648935#-0,6167868#3,632229#-0,09998956#-0,6103891#3,656415#0  
