frame1 #-0,5709963#0,9174079#3,370137#-0,5309328#0,7225621#3,372448# -0,3548091#0,1366952#3,174357#-0,7436574#-0,01243427#3,399554#-0,2871667#0,2006514#3,162422#-0,6840557#0,05540055#3,425136#-0,2606336#0,3947356#3,196501#-0,6745601#0,3204738#3,464785#-0,4045507#0,6011438#3,29802#-0,6677342#0,5807859#3,432081#-0,5110954#0,3877776#3,382996#-0,5071279#0,3208207#3,388165#-0,4442893#0,2642701#3,373725#-0,5627218#0,255109#3,403579#-0,1377997#-0,2127996#3,362736#-0,7832639#-0,2215539#3,402644#-0,03594944#-0,491904#3,392749#-0,8578442#-0,5565487#3,387816#0,06352194#-0,5642934#3,370095#-0,892783#-0,6340841#3,351536#1  
frame2 #-0,5472484#0,9232439#3,376233#-0,5242422#0,7215484#3,373674# -0,4050153#0,1095936#3,235609#-0,75074#0,226872#3,300932#-0,33108#0,1794998#3,222564#-0,6764129#0,2262349#3,315905#-0,3031372#0,3838962#3,258415#-0,685329#0,3491981#3,551389#-0,3967949#0,5934924#3,300917#-0,6670567#0,5813655#3,434523#-0,4912857#0,3556087#3,382095#-0,4835172#0,277113#3,386714#-0,4172543#0,2123891#3,367868#-0,5420136#0,2141473#3,406469#-0,1729212#-0,1332089#3,36806#-0,7699753#-0,1992636#3,399376#-0,03146837#-0,4975744#3,394864#-0,8581663#-0,5565773#3,389377#0,06033629#-0,574504#3,385216#-0,8976726#-0,6290764#3,356642#1  
frame3 #-0,5409635#0,9218001#3,373016#-0,5105867#0,7190231#3,373158# -0,4076723#0,09896564#3,239783#-0,8679745#0,2974294#3,280457#-0,3363521#0,1663993#3,227199#-0,8009813#0,2739477#3,262847#-0,3066277#0,3838274#3,264656#-0,657892#0,2955287#3,442891#-0,3915238#0,5885836#3,301852#-0,6690178#0,5939109#3,461028#-0,4894308#0,355924#3,384285#-0,4825601#0,2790458#3,389593#-0,4165003#0,2124075#3,369526#-0,5417289#0,2159907#3,411441#-0,1720824#-0,132907#3,368809#-0,7762135#-0,2195285#3,395921#-0,002598107#-0,5119178#3,40815#-0,858344#-0,5567057#3,389836#0,066926#-0,5791904#3,384633#-0,8967156#-0,6218589#3,357708#1  
frame4 #-0,4873809#0,9096518#3,359834#-0,4814244#0,7218782#3,399961# -0,6890246#0,4819973#3,226032#-0,7220585#0,1227861#3,412589#-0,5930693#0,4651594#3,215965#-0,7160929#0,1873535#3,443466#-0,3140249#0,3916988#3,270631#-0,6981961#0,3810559#3,549412#-0,3576908#0,6013182#3,320736#-0,6471809#0,6031136#3,434286#-0,4809019#0,3611375#3,398644#-0,4783048#0,2870413#3,401568#-0,4113034#0,2232103#3,392352#-0,5410109#0,2197732#3,414075#-0,1704801#-0,1345671#3,370408#-0,7778794#-0,2194542#3,393657#0,005213283#-0,5170358#3,408865#-0,858546#-0,5567986#3,389471#0,06493963#-0,5790185#3,388198#-0,8946272#-0,6195937#3,358732#1  
frame5 #-0,482046#0,9114943#3,36342#-0,4716267#0,7246655#3,403336# -0,5712942#0,5631841#3,174982#-0,7137303#0,1336969#3,406619#-0,478918#0,5329477#3,177278#-0,7095719#0,1959265#3,439621#-0,2549854#0,42313#3,331357#-0,6970966#0,3826154#3,55193#-0,3519836#0,6086172#3,325904#-0,6373691#0,606457#3,433882#-0,4711887#0,3645725#3,402078#-0,4712055#0,2911311#3,402869#-0,4050146#0,2289113#3,399298#-0,5319924#0,2264587#3,405426#-0,1690413#-0,1364203#3,371244#-0,779092#-0,2191525#3,393563#0,004655824#-0,5212249#3,409921#-0,8587165#-0,5569033#3,388417#0,05973856#-0,5788903#3,388304#-0,9270832#-0,6175811#3,38933#1  
frame6 #-0,4690636#0,9661872#3,384312#-0,4424439#0,7895368#3,361735# -0,5015068#0,6450799#3,110736#-0,7146418#0,1612904#3,446576#-0,4190495#0,6015294#3,141717#-0,7166014#0,2292959#3,463949#-0,2634951#0,4383123#3,329449#-0,7224801#0,4333122#3,529482#-0,3001837#0,6844762#3,324029#-0,6420696#0,6142468#3,441486#-0,4604701#0,4111144#3,393287#-0,4653056#0,3322291#3,40044#-0,3921149#0,2664521#3,403044#-0,538544#0,2339058#3,405866#-0,1701311#-0,1356413#3,372743#-0,7812459#-0,2186049#3,391603#-0,03767638#-0,4920998#3,395008#-0,862923#-0,55991#3,386124#0,04582392#-0,5601751#3,390199#-0,9172596#-0,6180454#3,381514#1  
frame7 #-0,462516#0,9197356#3,385479#-0,4676973#0,7182242#3,441826# -0,449788#0,5807555#3,171688#-0,7755203#0,1628692#3,4385#-0,3919523#0,5491284#3,201796#-0,7632723#0,2288804#3,458075#-0,2936844#0,3693344#3,411563#-0,7265282#0,4269141#3,530132#-0,325437#0,6131636#3,40412#-0,6417407#0,601671#3,424652#-0,46382#0,3993112#3,411792#-0,4655071#0,3311632#3,403051#-0,3927613#0,2650212#3,405338#-0,5378487#0,2418817#3,400812#-0,1700954#-0,1358958#3,372898#-0,7817641#-0,2177652#3,390857#-0,03950881#-0,4916411#3,395454#-0,8628613#-0,5598981#3,385774#0,04708264#-0,5592214#3,389601#-0,9171539#-0,6185663#3,370927#1  
frame8 #-0,5034577#0,9055969#3,367283#-0,4775529#0,7194777#3,436436# -0,09298112#0,9018543#2,877886#-0,6900323#0,1765515#3,3721#-0,08815215#0,8521731#2,934584#-0,6961744#0,2329748#3,414469#-0,1527546#0,7361192#3,151038#-0,7146006#0,4022446#3,554878#-0,3332801#0,6182032#3,356501#-0,6485565#0,5979712#3,430449#-0,4697532#0,3869322#3,416413#-0,4713712#0,3200997#3,404195#-0,3979944#0,252398#3,399236#-0,5409801#0,2384284#3,401395#-0,1700517#-0,1358136#3,372746#-0,7845328#-0,2183748#3,388109#0,01223009#-0,5075595#3,414443#-0,8627548#-0,5595837#3,385041#0,06980312#-0,5800158#3,388256#-0,913001#-0,6189416#3,366278#1  
frame9 #-0,5053347#0,9051911#3,358288#-0,4795831#0,7196138#3,431711# -0,1231188#0,8906472#2,846218#-0,6842387#0,1686982#3,353448#-0,1206152#0,8406127#2,9056#-0,6895168#0,2241036#3,39863#-0,1586519#0,7317091#3,126116#-0,7053509#0,3903198#3,547422#-0,3314359#0,6167833#3,356073#-0,6483776#0,5978464#3,431824#-0,4690898#0,3865513#3,41892#-0,4713712#0,3200151#3,403861#-0,3977833#0,2518918#3,398162#-0,5410413#0,2387428#3,40119#-0,1691125#-0,1389765#3,373203#-0,7612412#-0,1729408#3,382754#-0,03145309#-0,4947388#3,398771#-0,8622687#-0,5593281#3,384368#0,05275343#-0,5638213#3,388926#-0,9157371#-0,6193618#3,375941#1  
frame10 #-0,5050037#0,9029222#3,368768#-0,4847012#0,7123416#3,415942# -0,04298837#0,8134174#2,825254#-0,6311992#0,1289759#3,203511#-0,06529386#0,7912875#2,89151#-0,6349341#0,1842346#3,24996#-0,1662075#0,7085637#3,09781#-0,6461386#0,3500108#3,402506#-0,3460658#0,6300961#3,341826#-0,6440363#0,5998241#3,436919#-0,4665202#0,3841735#3,419233#-0,4691941#0,3172747#3,404629#-0,397636#0,2519301#3,397959#-0,5336111#0,2384139#3,405656#-0,1683759#-0,1378281#3,379484#-0,7889482#-0,209614#3,385295#-0,03123349#-0,4947432#3,398775#-0,8622798#-0,5593845#3,38421#0,05417233#-0,5640582#3,38897#-0,9070691#-0,6181607#3,349547#1  
frame11 #-0,4907355#0,9046791#3,380528#-0,4844474#0,711811#3,415792# -0,07841952#0,686351#2,932168#-0,5937123#0,09002613#3,339139#-0,08464339#0,6451421#2,992266#-0,6109661#0,1636339#3,349906#-0,1370123#0,5719485#3,218102#-0,6627276#0,3844572#3,395406#-0,316375#0,6016939#3,39892#-0,6234356#0,6192725#3,416755#-0,470452#0,3766059#3,422531#-0,4693004#0,3088816#3,407936#-0,3986504#0,240786#3,406957#-0,53394#0,2357754#3,405482#-0,1663309#-0,1396656#3,386293#-0,7903744#-0,2114715#3,387269#0,006147273#-0,5276365#3,418898#-0,8610159#-0,5583755#3,384308#0,06658741#-0,5802585#3,392804#-0,9041671#-0,6191017#3,354369#1  
