frame1 #-0,8762516#0,9377778#3,504861#-0,8591762#0,737753#3,524486# -0,6376849#0,2580147#3,478036#-1,012503#0,6617343#3,382759#-0,6217582#0,2911299#3,57281#-0,9857188#0,5712703#3,380483#-0,6378171#0,4540324#3,701613#-0,9857623#0,3581801#3,437461#-0,7084585#0,6427793#3,594873#-0,9740219#0,587698#3,454296#-0,8500261#0,3803687#3,533674#-0,8398513#0,3098403#3,522628#-0,7772131#0,2583172#3,539726#-0,8967166#0,2335306#3,501002#-0,5603141#-0,1718314#3,497919#-1,129728#-0,1512295#3,4991#-0,9084486#-0,3797692#3,512278#-1,255756#-0,5321445#3,544364#-0,7983779#-0,4210315#3,522177#-1,210582#-0,5798389#3,465578#0  
frame2 #-0,8603466#0,9050504#3,490343#-0,8588734#0,7301859#3,522452# -0,6638599#0,2184466#3,584372#-1,006785#0,6085064#3,349563#-0,6299546#0,2680236#3,612069#-1,006785#0,5423657#3,349563#-0,6376144#0,452985#3,701336#-0,9847754#0,3577855#3,436932#-0,7066668#0,6342404#3,584009#-0,9716652#0,5869586#3,45425#-0,8497968#0,3779604#3,533653#-0,8403046#0,3079046#3,522985#-0,7781939#0,255367#3,540343#-0,896958#0,2329406#3,501535#-0,5642997#-0,1653495#3,497458#-1,117213#-0,1268489#3,503875#-0,4596108#-0,4891086#3,561267#-1,261154#-0,5525787#3,545944#-0,3747374#-0,5638809#3,539036#-1,219453#-0,5994753#3,467779#0  
frame3 #-0,8630997#0,9122728#3,493261#-0,8597922#0,7300608#3,521472# -0,6616428#0,2307491#3,58722#-1,016966#0,6710879#3,383936#-0,6559846#0,29059#3,615097#-1,006639#0,6159985#3,349836#-0,63901#0,4701125#3,711892#-0,9854062#0,3589486#3,434295#-0,7043671#0,6331582#3,586957#-0,9735701#0,5861839#3,455595#-0,850849#0,3797402#3,532377#-0,8418405#0,3104973#3,522177#-0,7786988#0,2567033#3,53941#-0,8997122#0,2353882#3,501297#-0,5628175#-0,1686782#3,4985#-1,132937#-0,1277436#3,497405#-0,4603823#-0,4952507#3,566906#-1,265298#-0,5642738#3,548284#-0,3729168#-0,572174#3,549198#-1,222775#-0,6122335#3,468361#0  
frame4 #-0,8616891#0,9102043#3,48843#-0,8597186#0,7291673#3,521744# -0,6451169#0,2531235#3,47494#-1,0086#0,6438925#3,375706#-0,6418908#0,2692788#3,582183#-0,9935282#0,5557016#3,380939#-0,6368085#0,4365328#3,705534#-0,9849586#0,3594031#3,433335#-0,7035905#0,6326893#3,587391#-0,9770602#0,5969917#3,462558#-0,8507617#0,3799511#3,532377#-0,8422855#0,3109445#3,522216#-0,7787992#0,2565193#3,539194#-0,9013294#0,2372586#3,501951#-0,5625966#-0,1686961#3,498607#-1,124604#-0,1269629#3,500101#-0,4603201#-0,4957287#3,56711#-1,266311#-0,5631484#3,55032#-0,3722925#-0,5729734#3,548712#-1,225556#-0,6115404#3,468931#0  
frame5 #-0,8625072#0,909681#3,489278#-0,8601458#0,7290103#3,522018# -0,6442679#0,2483619#3,477074#-1,01486#0,6695316#3,376881#-0,6274174#0,3141437#3,598748#-1,001208#0,6068283#3,349735#-0,6413525#0,4763755#3,728829#-0,9884183#0,3556125#3,442892#-0,7032065#0,6327555#3,58891#-0,9748182#0,5926133#3,463791#-0,8512108#0,3800527#3,53245#-0,8427284#0,3110821#3,522415#-0,7793238#0,2568899#3,539191#-0,9016313#0,2372693#3,502273#-0,5624382#-0,1696731#3,498936#-1,144516#-0,2003889#3,50555#-0,4610454#-0,4962158#3,567016#-1,267531#-0,5701253#3,551912#-0,3700852#-0,5754433#3,548327#-1,334724#-0,6273664#3,570585#0  
frame6 #-0,8640871#0,9086021#3,489221#-0,8600418#0,7293406#3,521844# -0,644111#0,242669#3,478267#-0,9970471#0,6453435#3,379535#-0,6387793#0,3008999#3,547972#-0,9461152#0,5700197#3,38275#-0,635138#0,4366822#3,709835#-0,9882559#0,3558968#3,440583#-0,7036406#0,6345941#3,593048#-0,9752778#0,5911577#3,463182#-0,8514539#0,3798773#3,532061#-0,8429038#0,3107376#3,52215#-0,7794561#0,2566948#3,538979#-0,9019644#0,2360739#3,501658#-0,562215#-0,1700769#3,49917#-1,12137#-0,1269904#3,501867#-0,4597278#-0,497045#3,565742#-1,264437#-0,559679#3,550051#-0,37012#-0,57601#3,548668#-1,221529#-0,6088338#3,467896#0  
frame7 #-0,8652962#0,914395#3,488966#-0,8582864#0,7300674#3,519383# -0,6430385#0,2403204#3,479574#-1,013874#0,6728372#3,373621#-0,6348853#0,2965609#3,550774#-1,00174#0,5958579#3,349731#-0,6353161#0,4366598#3,7093#-0,9885352#0,3562858#3,440963#-0,7022887#0,6337879#3,591455#-0,9734513#0,5877773#3,458667#-0,8517527#0,3802637#3,530864#-0,8434119#0,3110099#3,52137#-0,7801756#0,2570234#3,538149#-0,9026446#0,2361516#3,501016#-0,5620067#-0,1702632#3,499348#-1,121582#-0,1268917#3,501741#-0,4601744#-0,4958174#3,565255#-1,265046#-0,5610157#3,550517#-0,3709223#-0,5754866#3,54851#-1,221293#-0,610331#3,468734#0  
frame8 #-0,86508#0,9166588#3,488766#-0,8584513#0,7297369#3,518964# -0,6390595#0,2277388#3,530878#-1,013401#0,6728761#3,372057#-0,6352329#0,2882474#3,55944#-1,001936#0,6074675#3,34973#-0,6354327#0,4372071#3,709207#-0,9879869#0,3569441#3,441281#-0,703378#0,6337423#3,595783#-0,9723709#0,5863105#3,455836#-0,8517497#0,3801155#3,530649#-0,8431317#0,3107826#3,521891#-0,7797934#0,2540499#3,540943#-0,9016486#0,2374442#3,501442#-0,5615202#-0,1706855#3,499111#-1,139602#-0,1699159#3,506516#-0,4611214#-0,4943674#3,564407#-1,268049#-0,5700121#3,551915#-0,3717605#-0,5740167#3,55403#-1,222485#-0,6189644#3,47164#0  
frame9 #-0,8657024#0,915663#3,489072#-0,8588659#0,7303555#3,519106# -0,5972707#0,267904#3,557137#-1,011814#0,6743838#3,366832#-0,6334805#0,3059143#3,598521#-1,002488#0,6078777#3,349744#-0,6409726#0,4864056#3,699064#-0,988078#0,3550465#3,437529#-0,7034098#0,6337195#3,595795#-0,9746529#0,5883178#3,456948#-0,851593#0,3804466#3,530489#-0,8431433#0,3110736#3,521967#-0,7797778#0,2536397#3,540767#-0,9015399#0,2400095#3,501757#-0,5614167#-0,1706332#3,498908#-1,155898#-0,2174291#3,502248#-0,460432#-0,4952736#3,564839#-1,270181#-0,5708292#3,548335#-0,3715455#-0,5742668#3,554176#-1,225435#-0,6194925#3,468284#0  
frame10 #-0,8661222#0,9175137#3,489406#-0,8582657#0,730521#3,518623# -0,5768443#0,2806378#3,55932#-1,012813#0,6833773#3,370104#-0,6353348#0,2966124#3,586981#-1,007642#0,6178007#3,359409#-0,6370816#0,4661307#3,706692#-0,9880565#0,3554095#3,43715#-0,7056817#0,6343694#3,593802#-0,9760526#0,5874728#3,461375#-0,8506082#0,380583#3,530072#-0,8424764#0,3111765#3,521771#-0,7788752#0,2529783#3,540395#-0,9005388#0,2413063#3,501508#-0,5613422#-0,1706628#3,498848#-1,155914#-0,2174378#3,502179#-0,4613655#-0,4875532#3,570423#-1,270558#-0,5708661#3,548595#-0,375666#-0,5692066#3,558945#-1,227485#-0,6194551#3,468107#0  
frame11 #-0,866361#0,9175798#3,489816#-0,8578816#0,7314667#3,518402# -0,5816712#0,2796092#3,548667#-1,018316#0,6825607#3,389772#-0,6329616#0,2997805#3,585885#-1,009691#0,6192416#3,371357#-0,6382611#0,4707189#3,702181#-0,9880372#0,3550705#3,437167#-0,7044463#0,634124#3,59257#-0,9762198#0,5878609#3,460678#-0,850117#0,3811899#3,529432#-0,8421388#0,3117206#3,521308#-0,7781738#0,2525231#3,539802#-0,9005446#0,2426729#3,500569#-0,5610945#-0,1708535#3,498724#-1,150531#-0,2009045#3,500492#-0,4618406#-0,4876355#3,570223#-1,271119#-0,5708143#3,548398#-0,3761285#-0,5686442#3,55492#-1,228346#-0,6194124#3,467757#0  
