frame1 #-0,0612275#0,8463526#2,998973#0,005183412#0,6710587#3,013581# -0,2568401#0,2451403#2,716071#-0,6075513#0,5286967#2,933356#-0,1669028#0,260481#2,717345#-0,5338414#0,4889336#2,969569#0,01237447#0,3613198#2,760617#-0,3673461#0,4304594#3,049976#0,1125329#0,5459679#2,902314#-0,1877284#0,5262081#3,098241#0,02075724#0,2958586#3,022587#0,006337265#0,2223611#3,001151#0,07409529#0,1493264#2,958592#-0,06102227#0,1404344#3,034501#0,2618683#-0,253039#2,967091#-0,2605518#-0,2701043#3,043077#0,4050946#-0,5320197#2,99453#-0,3571653#-0,5985573#3,028467#0,3556198#-0,5784022#2,92216#-0,4147187#-0,6704752#2,999813#0  
frame2 #-0,06132956#0,8474112#2,999904#0,004858608#0,669714#3,013686# -0,2620526#0,2441119#2,715534#-0,6330215#0,5454324#2,917004#-0,1687075#0,2598205#2,716289#-0,530576#0,4886011#2,970819#0,01061025#0,3602618#2,76085#-0,3645288#0,4309738#3,05126#0,1125959#0,5445814#2,901762#-0,1879403#0,5256801#3,098387#0,02079768#0,2953416#3,022776#0,006396188#0,2219385#3,001386#0,07427124#0,1487709#2,958956#-0,06097681#0,140127#3,034651#0,2632262#-0,2601954#2,967924#-0,2602435#-0,2700227#3,043386#0,4755732#-0,5825912#3,01492#-0,3584497#-0,5987182#3,027698#0,4231903#-0,6316375#2,938473#-0,4148597#-0,6706769#3,000365#0  
frame3 #-0,06135756#0,8483865#3,000862#0,004682726#0,6685517#3,013535# -0,2448032#0,2493543#2,715132#-0,6327652#0,5428044#2,913979#-0,1528246#0,2671074#2,715456#-0,5284801#0,4885206#2,971541#0,01044645#0,3601415#2,760433#-0,362944#0,431211#3,052239#0,1125092#0,5443999#2,901796#-0,188039#0,5255427#3,098356#0,02076368#0,2952645#3,022638#0,006385381#0,2219202#3,001234#0,07426387#0,1487497#2,95885#-0,06098088#0,1401239#3,034477#0,263207#-0,2598194#2,968202#-0,259854#-0,2699415#3,043482#0,4048805#-0,5351923#2,990579#-0,3588994#-0,598658#3,027#0,3532574#-0,5835452#2,91521#-0,4162#-0,6714596#2,999565#0  
frame4 #-0,06071738#0,8486835#3,000954#0,005203251#0,668283#3,014915# -0,2459364#0,2488765#2,715113#-0,6330651#0,5399712#2,9116#-0,1542117#0,2663383#2,715564#-0,5746055#0,5122862#2,96456#0,01109882#0,3604495#2,760262#-0,3627222#0,4311174#3,052576#0,1122764#0,5441591#2,901445#-0,1884204#0,5254708#3,098471#0,02095195#0,2953161#3,022716#0,006455987#0,222122#3,001113#0,07432353#0,1489083#2,958681#-0,06094457#0,1404021#3,034214#0,2633489#-0,2610175#2,968343#-0,259909#-0,2698269#3,0432#0,4049195#-0,5351923#2,990651#-0,359348#-0,5984203#3,026943#0,353508#-0,5831638#2,91577#-0,4173212#-0,6716815#2,999372#0  
frame5 #-0,05998057#0,8478762#3,002858#0,005651243#0,6671747#3,015102# -0,2473743#0,2483817#2,71612#-0,6333587#0,5380235#2,913005#-0,1549051#0,2656119#2,717381#-0,5279989#0,4829683#2,970512#0,0111724#0,3604279#2,760284#-0,3622371#0,4309824#3,0531#0,1121735#0,5435202#2,901602#-0,1884668#0,5253922#3,098615#0,02062835#0,2944723#3,023369#0,005912789#0,2213378#3,001789#0,07345366#0,1478839#2,95978#-0,0615973#0,1399032#3,034723#0,2636187#-0,2622836#2,968853#-0,2599495#-0,2698242#3,043239#0,4728586#-0,5744679#3,016494#-0,3591766#-0,5990341#3,026615#0,4202087#-0,6235832#2,93981#-0,4170417#-0,6717576#2,999139#0  
frame6 #-0,05999734#0,8480769#3,002793#0,005709435#0,6672799#3,014876# -0,2469321#0,2483534#2,716048#-0,6407126#0,5473279#2,908071#-0,1548223#0,2653719#2,717278#-0,5271018#0,4839445#2,97236#0,01254064#0,3611028#2,760797#-0,3613134#0,4310344#3,053089#0,112144#0,5433408#2,901725#-0,1888489#0,5253121#3,09872#0,02048975#0,2945907#3,023423#0,005677779#0,2215019#3,001885#0,07320081#0,1480519#2,960096#-0,06205406#0,1401288#3,034808#0,2632279#-0,2580095#2,968913#-0,2594245#-0,2694988#3,043502#0,401569#-0,5302646#2,989563#-0,3595656#-0,5990007#3,026585#0,3493621#-0,5790211#2,913421#-0,4165576#-0,6713981#2,9979#0  
frame7 #-0,0597337#0,8459684#3,003593#0,004869968#0,6656594#3,015922# -0,2467015#0,2483526#2,716104#-0,6382074#0,5410129#2,908786#-0,1549386#0,2650095#2,717636#-0,5270296#0,483683#2,971835#0,009420489#0,3559942#2,760044#-0,3613951#0,4310054#3,053163#0,1117032#0,5427463#2,902171#-0,1890061#0,5246003#3,098943#0,02030241#0,2941867#3,023805#0,00551744#0,2213039#3,002038#0,0730619#0,1479818#2,960267#-0,06210365#0,1400562#3,034782#0,2607076#-0,2551038#2,968642#-0,2592223#-0,2692163#3,04345#0,4027108#-0,5306851#2,990432#-0,3602332#-0,5983711#3,026611#0,3508485#-0,5790891#2,914793#-0,4049012#-0,6672593#2,994535#0  
frame8 #-0,05997476#0,8453368#3,003788#0,004580359#0,664797#3,016627# -0,2472482#0,2479594#2,716184#-0,6377595#0,5401699#2,908633#-0,1556973#0,2641796#2,717808#-0,5266689#0,4818473#2,969883#0,0074444#0,3528023#2,759059#-0,3611223#0,431473#3,053609#0,1112946#0,5425315#2,902227#-0,1890547#0,5243788#3,098826#0,02059758#0,2936118#3,024144#0,005796887#0,2208184#3,002148#0,0732998#0,1477473#2,960385#-0,06163113#0,1396766#3,034653#0,2619796#-0,259205#2,969735#-0,2590309#-0,2690493#3,04382#0,4039696#-0,5321115#2,991375#-0,3600876#-0,5980089#3,026812#0,3523557#-0,5802565#2,916128#-0,4096025#-0,6669534#2,9951#0  
frame9 #-0,05977383#0,8462009#3,005222#0,004340623#0,6641194#3,018378# -0,2456296#0,2443958#2,717328#-0,6361337#0,5369492#2,906276#-0,1540744#0,2631922#2,721265#-0,5721123#0,5010257#2,950432#0,00758628#0,3525634#2,759246#-0,3555848#0,434636#3,055593#0,1097468#0,541909#2,901897#-0,1890951#0,5243315#3,099023#0,0208938#0,2931667#3,024655#0,005869012#0,2205498#3,00227#0,07327119#0,1477248#2,96085#-0,06136961#0,1397557#3,034327#0,2611528#-0,2551903#2,970222#-0,2585269#-0,2682766#3,044011#0,4759466#-0,575341#3,016331#-0,3589818#-0,5964805#3,027921#0,4237859#-0,6236418#2,940899#-0,4109507#-0,6679046#2,996871#0  
frame10 #-0,05932298#0,8446583#3,007047#0,004432885#0,6638303#3,018662# -0,2416958#0,2463417#2,717616#-0,6359853#0,5359226#2,90706#-0,1497364#0,2652815#2,721435#-0,5233452#0,4805178#2,975317#0,01109265#0,3552044#2,760127#-0,3559794#0,4343073#3,055875#0,1094645#0,5415944#2,902208#-0,1893586#0,5240495#3,099083#0,02002751#0,2905585#3,02602#0,004582486#0,2173006#3,003627#0,07262862#0,146504#2,961496#-0,06414258#0,1334935#3,036599#0,2616579#-0,2575682#2,970486#-0,2585648#-0,2682795#3,044013#0,4758953#-0,5751923#3,01624#-0,3588823#-0,597022#3,028219#0,4236093#-0,623674#2,940525#-0,4125842#-0,6692195#2,997692#0  
frame11 #-0,05815398#0,8434661#3,007811#0,004646931#0,6617829#3,02026# -0,243822#0,2461135#2,718907#-0,6358384#0,534856#2,908984#-0,1512487#0,26423#2,723799#-0,5242551#0,47907#2,977105#0,009792536#0,3540954#2,759475#-0,3561462#0,434117#3,056016#0,1104483#0,5411997#2,903112#-0,1894419#0,5238017#3,099384#0,01929305#0,2899914#3,027222#0,003667918#0,2171036#3,004493#0,07150539#0,1464311#2,96282#-0,06519285#0,1332416#3,036913#0,2536147#-0,2463168#2,969676#-0,259006#-0,2687532#3,044112#0,4728969#-0,5712069#3,015118#-0,3587334#-0,5968949#3,028322#0,420683#-0,6197447#2,939029#-0,4127703#-0,6698536#2,998154#0  
frame12 #-0,05788693#0,8426581#3,008526#0,004738391#0,6614539#3,020886# -0,2459549#0,2450724#2,718642#-0,6344227#0,533622#2,907344#-0,153018#0,2633443#2,723562#-0,5713764#0,5011232#2,945407#0,008713878#0,3530228#2,75898#-0,3739533#0,4331259#3,052948#0,1107196#0,5408196#2,903472#-0,1894928#0,5237356#3,099466#0,01953574#0,2899181#3,027665#0,003811318#0,2171406#3,004617#0,07185853#0,1467749#2,963085#-0,06511075#0,1331895#3,036844#0,2551555#-0,2477451#2,969893#-0,2592827#-0,2680468#3,043587#0,4745606#-0,5748569#3,015584#-0,3587407#-0,5967115#3,028377#0,4223073#-0,6234895#2,939246#-0,4130332#-0,669995#2,997935#0  
frame13 #-0,05753686#0,8414873#3,009039#0,0043106#0,6613221#3,021725# -0,2470778#0,244925#2,71773#-0,6338649#0,5325168#2,906289#-0,1542356#0,2622035#2,72227#-0,5372642#0,4858618#2,970124#0,007921357#0,3516116#2,75889#-0,3724779#0,4326244#3,053591#0,1095916#0,5406838#2,903687#-0,1896805#0,5234005#3,099878#0,01798969#0,2882146#3,028949#0,001828103#0,2151722#3,005709#0,06992412#0,1454718#2,963493#-0,06728505#0,1311138#3,03827#0,2584004#-0,2576179#2,970403#-0,2592157#-0,267915#3,043569#0,4052426#-0,5322361#2,994105#-0,35886#-0,5967517#3,028319#0,3529965#-0,5806752#2,918118#-0,414401#-0,6699912#2,997338#0  
frame14 #-0,05735097#0,8409203#3,009603#0,004592057#0,6607559#3,02085# -0,2488328#0,2437789#2,716216#-0,6341162#0,5321876#2,901273#-0,1558447#0,261775#2,719988#-0,5679857#0,4979516#2,942665#0,006933264#0,350222#2,759258#-0,3759134#0,4328729#3,053602#0,1096077#0,5400127#2,903378#-0,1898109#0,5229409#3,099997#0,01774043#0,2876359#3,029069#0,00140995#0,2145408#3,005925#0,06947282#0,1449237#2,963814#-0,06803131#0,1302024#3,038721#0,2593234#-0,2597251#2,970152#-0,2591363#-0,2675912#3,043612#0,4699672#-0,5824347#3,012263#-0,3584653#-0,5966344#3,028557#0,4175977#-0,6309746#2,936207#-0,4144202#-0,6699863#2,997239#0  
frame15 #-0,05909129#0,8435066#3,008524#0,003833008#0,6633355#3,020404# -0,2455708#0,2454192#2,717813#-0,6336437#0,5313537#2,900708#-0,1522493#0,2630066#2,720917#-0,5340065#0,4864849#2,96509#0,009555904#0,353304#2,760863#-0,3714202#0,4322407#3,054223#0,1096486#0,540014#2,903393#-0,1897852#0,5228922#3,099939#0,01739098#0,2887129#3,029241#0,001136741#0,2154566#3,006145#0,06899439#0,1457622#2,964278#-0,06801496#0,1314756#3,03883#0,2593044#-0,2587714#2,969977#-0,2590259#-0,2672052#3,043338#0,470533#-0,5827473#3,012579#-0,3586704#-0,5964478#3,028908#0,4181807#-0,6313578#2,936492#-0,4114645#-0,6679716#2,992267#0  
frame16 #-0,0592268#0,8438659#3,007857#0,003238077#0,6628023#3,020353# -0,2418631#0,2479344#2,71712#-0,6333355#0,5303026#2,904692#-0,1486348#0,2640885#2,721737#-0,5695081#0,4977241#2,943731#0,01203165#0,3566074#2,760595#-0,3689648#0,4329296#3,055615#0,1095765#0,5399376#2,903347#-0,1898445#0,5229815#3,099934#0,01673134#0,2889604#3,029411#0,0004297295#0,2159171#3,006408#0,06792887#0,1460495#2,964584#-0,06843805#0,1320384#3,039075#0,2593209#-0,2609041#2,969681#-0,2588388#-0,2669491#3,043269#0,4029231#-0,5321608#2,988204#-0,3577179#-0,5944103#3,031089#0,3507183#-0,580639#2,912344#-0,4116223#-0,6680508#2,992495#0  
frame17 #-0,05837191#0,846633#3,006143#0,001943581#0,6630102#3,02029# -0,2428676#0,2478246#2,71711#-0,6327972#0,5297816#2,904073#-0,1496451#0,2625479#2,722414#-0,5400873#0,4840043#2,962076#0,01109656#0,3561211#2,76052#-0,3813414#0,421612#3,053652#0,1064144#0,5370961#2,901222#-0,1899757#0,5229536#3,099889#0,01560531#0,2888542#3,02946#-0,0008060255#0,2157412#3,006691#0,06575616#0,1460122#2,965224#-0,06892704#0,1322296#3,039184#0,2588257#-0,2633461#2,968738#-0,258923#-0,26679#3,043208#0,4041214#-0,5345084#2,988533#-0,3575881#-0,5939659#3,031395#0,3513274#-0,5828826#2,91333#-0,4056366#-0,6652079#2,989085#0  
frame18 #-0,06288637#0,8445134#3,007189#-0,00201886#0,6622693#3,018445# -0,2335106#0,2173403#2,709066#-0,6345047#0,5293077#2,904809#-0,1508537#0,2613046#2,72117#-0,5442162#0,482755#2,961395#0,009714263#0,3552302#2,760189#-0,3863804#0,4178607#3,053647#0,105717#0,5369102#2,901174#-0,192114#0,5219128#3,100703#0,01379423#0,2888146#3,028827#-0,002101606#0,2156147#3,006397#0,06442142#0,1462094#2,965291#-0,06961255#0,131937#3,038789#0,2565742#-0,265991#2,967213#-0,2610034#-0,2633778#3,040341#0,4063064#-0,5365187#2,986713#-0,3558623#-0,5846034#3,036049#0,3536787#-0,5849661#2,911663#-0,4089008#-0,6665443#2,993941#0  
frame19 #-0,06753621#0,8427274#3,008527#-0,01300746#0,6588413#3,022286# -0,2328403#0,215504#2,708291#-0,6503279#0,5321549#2,900965#-0,1758706#0,2452778#2,716386#-0,5916924#0,4940135#2,942583#-0,01492154#0,3413901#2,752823#-0,4123011#0,4126638#3,049501#0,09574172#0,5335217#2,899306#-0,196997#0,517941#3,101338#0,007558581#0,282857#3,029013#-0,008076824#0,2092175#3,006009#0,05924591#0,1406742#2,964439#-0,07357806#0,1278758#3,037994#0,2554053#-0,2658666#2,965884#-0,2673262#-0,260725#3,037292#0,4065662#-0,537937#2,985044#-0,3555224#-0,5850585#3,034438#0,3527474#-0,5864265#2,910601#-0,382623#-0,6619627#2,984525#0  
