frame1 #-0,1255881#0,8299007#3,159125#-0,04870236#0,6721513#3,207671# -0,1705317#0,2234811#2,886879#-0,7005532#0,5255077#3,091994#-0,08054438#0,2643378#2,899257#-0,6146923#0,4992215#3,135088#0,06224459#0,3701029#2,955774#-0,4516291#0,4650635#3,224414#0,0756937#0,5469517#3,088142#-0,2445602#0,5485849#3,273403#-0,01218488#0,2799293#3,21822#-0,02949304#0,2042079#3,18136#0,04564398#0,1288137#3,152657#-0,09847028#0,1295486#3,196904#0,2046608#-0,222213#3,146333#-0,3112198#-0,2620872#3,209159#0,4413319#-0,5767375#3,174679#-0,3813649#-0,5719982#3,189811#0,3918414#-0,6276867#3,092397#-0,4140806#-0,6604582#3,127841#0  
frame2 #-0,1264715#0,8336226#3,156285#-0,04872481#0,672132#3,207471# -0,2300641#0,2169889#2,885458#-0,7132993#0,5299197#3,085326#-0,1559259#0,2279415#2,898899#-0,6180828#0,4993922#3,134642#0,05232765#0,3593119#2,956421#-0,4521863#0,4650971#3,223002#0,07565726#0,5469105#3,088234#-0,2447019#0,5485247#3,273026#-0,01235803#0,2800309#3,218113#-0,02966397#0,2043649#3,181272#0,04548572#0,1289384#3,152574#-0,09870552#0,1296885#3,196872#0,2045055#-0,2219732#3,146055#-0,3101873#-0,2607101#3,209197#0,4416531#-0,5762035#3,173723#-0,3811409#-0,571891#3,190389#0,3926196#-0,6267931#3,091964#-0,4133609#-0,6601585#3,13247#0  
frame3 #-0,1278315#0,8352991#3,154447#-0,04934789#0,6714423#3,207126# -0,1813906#0,2262986#2,888761#-0,7274754#0,5469199#3,095102#-0,08703714#0,2630538#2,90157#-0,6115361#0,4973507#3,137359#0,06476548#0,372547#2,962454#-0,4476342#0,464746#3,225223#0,07557435#0,5465839#3,087518#-0,2452482#0,5481611#3,272944#-0,01222505#0,2803455#3,217873#-0,02934506#0,2049593#3,181057#0,0461566#0,1294494#3,152072#-0,09838422#0,1300526#3,196852#0,2044193#-0,2218307#3,14578#-0,307495#-0,2565413#3,209991#0,4415078#-0,5762175#3,173552#-0,3795557#-0,5697767#3,19157#0,392446#-0,6267975#3,091908#-0,4149789#-0,659969#3,131224#0  
frame4 #-0,129239#0,8292409#3,149694#-0,05100244#0,6692052#3,208169# -0,1732516#0,219339#2,88493#-0,7268513#0,5479158#3,095871#-0,08221756#0,261171#2,899159#-0,6120827#0,4949088#3,14489#0,05769677#0,3692213#2,955395#-0,445861#0,4645248#3,226079#0,07555492#0,54643#3,087203#-0,2460431#0,5475791#3,271541#-0,0124824#0,2804331#3,217975#-0,02948277#0,2053814#3,180891#0,04625725#0,1297628#3,151319#-0,09848386#0,1301817#3,196861#0,204203#-0,2219623#3,145472#-0,305012#-0,2538562#3,211446#0,4412316#-0,5743588#3,17251#-0,3772504#-0,5660225#3,194742#0,392019#-0,6253763#3,089936#-0,4168791#-0,6589528#3,13168#0  
frame5 #-0,1334326#0,8260012#3,14932#-0,05262305#0,6682446#3,207401# -0,1948165#0,2094568#2,875374#-0,7273577#0,5448449#3,08828#-0,1039966#0,2511756#2,888592#-0,6145022#0,4941844#3,144219#0,04142075#0,3482778#2,95393#-0,447349#0,462936#3,223888#0,07437509#0,5466507#3,087253#-0,2471735#0,5472808#3,271467#-0,01267306#0,2805113#3,217779#-0,02957346#0,2054383#3,180661#0,04618272#0,1298469#3,15063#-0,09847318#0,1301089#3,196832#0,2040276#-0,2217966#3,145351#-0,3048928#-0,2535948#3,211684#0,4409911#-0,5740867#3,172256#-0,37683#-0,5671232#3,194307#0,3928553#-0,6240822#3,091452#-0,414961#-0,6588839#3,132302#0  
frame6 #-0,1404685#0,8138857#3,147823#-0,05776669#0,664534#3,210163# -0,2293241#0,2211236#2,888388#-0,7277898#0,5410243#3,087286#-0,15654#0,2362192#2,896562#-0,6168712#0,493559#3,141235#0,05278075#0,3600332#2,954703#-0,4497185#0,462526#3,222529#0,07305873#0,5471118#3,086836#-0,2486714#0,5466266#3,271653#-0,01363462#0,2789032#3,21873#-0,03044453#0,2041979#3,180807#0,04598214#0,1290424#3,150104#-0,09889299#0,1287004#3,197#0,204156#-0,2224129#3,145418#-0,3015798#-0,2514163#3,212404#0,4416389#-0,5746431#3,17242#-0,3756681#-0,5660744#3,197598#0,3931201#-0,6249015#3,09123#-0,415835#-0,6574684#3,132935#0  
frame7 #-0,1436539#0,8163705#3,148532#-0,05891097#0,6647764#3,2098# -0,241313#0,2133233#2,88536#-0,724606#0,5364363#3,080672#-0,1688959#0,2272909#2,89459#-0,6303423#0,4917749#3,131849#0,04128239#0,3511567#2,952566#-0,4505501#0,4622403#3,221479#0,07199568#0,5469332#3,08504#-0,2495756#0,5467882#3,271204#-0,01521383#0,2787744#3,21895#-0,03212986#0,2040014#3,181028#0,04323592#0,1318199#3,150693#-0,1013758#0,1246532#3,197517#0,2041942#-0,2224029#3,145416#-0,3002399#-0,2509674#3,212531#0,4411311#-0,5729825#3,171952#-0,375395#-0,5650108#3,197416#0,3925998#-0,6229873#3,091366#-0,4158055#-0,6564296#3,13399#0  
frame8 #-0,1507728#0,8202704#3,146632#-0,06034939#0,6655678#3,208268# -0,2225072#0,2255164#2,886971#-0,7248212#0,5338404#3,080519#-0,1507455#0,2393707#2,898352#-0,6305336#0,4911296#3,13189#0,05530107#0,3685469#2,958285#-0,4508989#0,4619895#3,221518#0,0712788#0,5476264#3,084631#-0,2506756#0,5460814#3,269894#-0,0168349#0,279729#3,218889#-0,03362015#0,2049047#3,181151#0,04007404#0,1371491#3,151852#-0,1020319#0,1239442#3,197556#0,2040983#-0,2223174#3,1452#-0,2992307#-0,2505594#3,212104#0,4412877#-0,5733265#3,17222#-0,3745783#-0,5654695#3,197516#0,3931723#-0,6232101#3,091857#-0,4166404#-0,6559455#3,131232#0  
frame9 #-0,1899495#0,8026101#3,125774#-0,0961695#0,6537261#3,195221# -0,2619442#0,1796514#2,861791#-0,7409182#0,5005417#3,076983#-0,191261#0,2004537#2,87477#-0,6299398#0,455449#3,13506#-0,007832956#0,3220838#2,94276#-0,4530551#0,4409137#3,223748#0,03310914#0,5407406#3,080705#-0,2723926#0,5349113#3,268833#-0,03556705#0,27205#3,212233#-0,04916559#0,1960686#3,177691#0,02538765#0,1363072#3,14841#-0,1106627#0,1104021#3,196357#0,1989492#-0,2251016#3,140445#-0,3024219#-0,2483203#3,208876#0,4412207#-0,5773208#3,174174#-0,3740379#-0,565425#3,195178#0,3914789#-0,6278957#3,096457#-0,4059897#-0,6562468#3,135801#0  
frame10 #-0,2237112#0,7888998#3,115697#-0,1458802#0,6287519#3,185975# -0,2580312#0,152084#2,858668#-0,7612246#0,4656756#3,056793#-0,192081#0,1877909#2,863929#-0,6599482#0,4302928#3,111805#-0,01444677#0,3383679#2,932624#-0,4795742#0,4128922#3,214417#-0,01569548#0,5240777#3,074586#-0,3104323#0,5143822#3,260172#-0,07063275#0,2541569#3,207791#-0,07922985#0,1777392#3,177768#-0,003833498#0,1222275#3,147151#-0,1336997#0,09186215#3,200584#0,1870285#-0,2425096#3,137025#-0,3190938#-0,2486763#3,202877#0,441323#-0,5802504#3,173294#-0,3823877#-0,5651852#3,183175#0,3915761#-0,6318817#3,096994#-0,4105957#-0,6557128#3,125755#0  
frame11 #-0,2594907#0,7781228#3,101662#-0,1790572#0,6175351#3,179141# -0,2614792#0,1351824#2,838706#-0,813372#0,4498963#3,027321#-0,1939162#0,1782373#2,855308#-0,6815292#0,3998991#3,10024#-0,04824657#0,3011702#2,923303#-0,4962288#0,4002118#3,208891#-0,03632265#0,5157132#3,068355#-0,3396769#0,4991741#3,257999#-0,0920052#0,2464484#3,20696#-0,09722101#0,169192#3,180215#-0,01769854#0,1141904#3,149316#-0,1529165#0,08130019#3,206156#0,1848805#-0,2498397#3,138295#-0,3297589#-0,2500656#3,199996#0,4411819#-0,5873666#3,172134#-0,3776675#-0,5755722#3,193851#0,3923488#-0,6401864#3,096203#-0,4143173#-0,6590922#3,123417#0  
